time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/std
1,3,95.31334865263159,21.347368421052632,609,2048,,,,,,,,,,,
2,10,103.346263,23.18,389,4096,0.020569097,-24.12605008482933,10,-0.06101298315916211,453.34991455078125,0.0003,0.22216796875,-0.002310633659362793,1198.663277053833,0.2,1.0000689029693604
3,17,101.26311108,22.56,346,6144,0.023630094,-24.101883697509766,20,-0.06761955274268985,417.55682373046875,0.0003,0.24697265625,0.0191381573677063,977.7150161743164,0.2,0.998004674911499
4,24,101.59651154,22.66,336,8192,0.025779206,-24.07107343673706,30,-0.07525646236608736,317.30694580078125,0.0003,0.28125,0.0032047033309936523,914.943828201294,0.2,0.9956101775169373
5,30,106.88104394,23.79,332,10240,0.0338929,-24.067206007242202,40,-0.08472972235758788,370.14031982421875,0.0003,0.35107421875,0.006934523582458496,817.8370403289795,0.2,0.996502697467804
6,37,109.45613353000003,24.47,330,12288,0.032543156,-24.037861269712447,50,-0.0871474830317311,346.3314208984375,0.0003,0.355078125,0.01830834150314331,856.430365371704,0.2,0.9946284890174866
7,44,119.10207859,26.6,323,14336,0.029465038,-24.04907740354538,60,-0.08236117933411151,425.8753356933594,0.0003,0.31806640625,0.030806660652160645,854.7288146972656,0.2,0.9967249631881714
8,50,121.87052204,27.16,322,16384,0.024020642,-24.054126334190368,70,-0.07406432795687579,405.6847229003906,0.0003,0.26318359375,0.06069368124008179,973.3044193267822,0.2,0.995269775390625
9,57,120.04746727000001,26.91,320,18432,0.02164542,-24.015843760967254,80,-0.07211622642353177,423.5430908203125,0.0003,0.237060546875,0.06950771808624268,910.2286809921264,0.2,0.9927987456321716
10,64,131.79298075999998,29.05,319,20480,0.01796913,-23.99337220788002,90,-0.0651607695966959,487.54248046875,0.0003,0.17890625,0.14606118202209473,835.7128807067871,0.2,0.9921465516090393
