time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,97.50698133333333,3,21.870967741935484,629,1,,,,,,,,,,,
4096,99.21582903999999,9,22.11,431,2,0.218212890625,0.019398436,0.0003,1452.3375675201416,-0.060950713357306084,-24.116450786590576,653.2589721679688,10,-0.0014339685440063477,0.2,0.9990366697311401
6144,99.33280731,15,22.23,389,3,0.13955078125,0.012794955,0.0003,1430.3064544677734,-0.05385161617887206,-24.106247240304945,586.052001953125,20,0.004066109657287598,0.2,0.9990042448043823
8192,104.15451911,22,23.18,365,4,0.111328125,0.011377134,0.0003,1283.6970773696899,-0.048579503447399475,-24.104964518547057,619.591552734375,30,-0.0320279598236084,0.2,0.9990471005439758
10240,107.10316574000001,28,23.91,354,5,0.109423828125,0.012525966,0.0003,1144.9015350341797,-0.049720173666719346,-24.10108470916748,493.3007507324219,40,-0.05431008338928223,0.2,0.9986172914505005
12288,107.32478084,35,23.82,349,6,0.1767578125,0.02021633,0.0003,959.4276498794555,-0.05780741996713914,-24.07765637040138,340.5120849609375,50,-0.041791677474975586,0.2,0.9961779117584229
14336,104.50271608999999,41,23.41,346,7,0.324609375,0.037750565,0.0003,791.6241620063781,-0.07692004874988925,-24.03833075761795,256.1070861816406,60,-0.00030922889709472656,0.2,0.9932302832603455
16384,116.92666639000001,47,25.97,343,8,0.3900390625,0.041888878,0.0003,820.7907510757447,-0.08183662251685746,-23.987430906295778,367.4087219238281,70,0.01703697443008423,0.2,0.9904459714889526
18432,128.54785542000002,53,28.55,343,9,0.37568359375,0.040716603,0.0003,1024.0025550842286,-0.08216366141568869,-23.931815606355666,559.746337890625,80,0.010703802108764648,0.2,0.9877325892448425
20480,125.44909227,60,27.92,341,10,0.38173828125,0.043501765,0.0003,1042.9822101593018,-0.08248847034119536,-23.903641694784163,529.2262573242188,90,0.011635303497314453,0.2,0.986856997013092
