time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,97.52772853763442,3,21.774193548387096,651,1,,,,,,,,,,,
4096,99.03506169,9,22.06,438,2,0.192822265625,0.017145002,0.0003,1501.8517700195312,-0.05363554920477327,-24.129147988557815,708.039306640625,10,0.001108407974243164,0.2,1.0007333755493164
6144,103.80203899000001,15,23.09,395,3,0.15234375,0.01342953,0.0003,1463.210396194458,-0.05218820958398283,-24.12181116938591,864.74658203125,20,0.013809144496917725,0.2,0.9994596838951111
8192,102.62822021999999,21,22.94,375,4,0.10068359375,0.010749192,0.0003,1448.3561626434325,-0.0437334414338693,-24.10301274061203,648.525634765625,30,-0.0024390220642089844,0.2,0.9984474182128906
10240,104.13472580999998,27,23.23,367,5,0.080859375,0.010355986,0.0003,1151.5748210906982,-0.03713324297859799,-24.08847764134407,477.8961486816406,40,-0.05507338047027588,0.2,0.9974773526191711
12288,107.10719959,34,23.92,354,6,0.16669921875,0.019738447,0.0003,843.0029335021973,-0.05187517697631847,-24.050164157152174,331.083740234375,50,-0.08498525619506836,0.2,0.9939338564872742
14336,103.01338003999997,40,22.98,351,7,0.316796875,0.041295834,0.0003,781.4416026115417,-0.07124471112329048,-24.010707253217696,315.6126708984375,60,-0.02434980869293213,0.2,0.9926500916481018
16384,114.12369094,47,25.71,345,8,0.433642578125,0.044085335,0.0003,771.1504638671875,-0.08421160877333023,-24.010705149173738,428.48504638671875,70,-0.003831148147583008,0.2,0.9929206967353821
18432,113.75717121999998,53,25.22,342,9,0.356298828125,0.034413785,0.0003,923.3601554870605,-0.08140157977468335,-23.999647277593613,387.6829833984375,80,-0.0033538341522216797,0.2,0.9922429323196411
20480,121.49859658000001,60,26.65,340,10,0.26015625,0.023216106,0.0003,998.0425901412964,-0.06803093965281733,-23.99367036819458,476.3305969238281,90,-0.004472255706787109,0.2,0.9929595589637756
