time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,94.16076101030929,3,21.072164948453608,617,1,,,,,,,,,,,
4096,93.77557395999996,10,20.97,397,2,0.202734375,0.017365254,0.0003,1217.5729497909547,-0.055195071632624604,-24.113326293230056,399.688720703125,10,0.0010134577751159668,0.2,0.9986583590507507
6144,101.36913374,16,22.84,363,3,0.271484375,0.025713118,0.0003,832.1406215667724,-0.0696738208818715,-24.081177777051927,317.5491638183594,20,0.029307246208190918,0.2,0.9969020485877991
8192,108.73671162,22,24.32,359,4,0.2888671875,0.027033526,0.0003,846.1710067749024,-0.07399582535726949,-24.05012321472168,410.9875183105469,30,0.02134948968887329,0.2,0.9953723549842834
10240,109.69324536999999,28,24.27,360,5,0.304248046875,0.028191764,0.0003,938.9628330230713,-0.07758028476382606,-24.04924992918968,473.94464111328125,40,0.019667744636535645,0.2,0.9950902462005615
12288,104.77113382000002,33,23.52,362,6,0.356982421875,0.03444679,0.0003,830.5093658447265,-0.08317968119808938,-24.040766024589537,374.7784118652344,50,0.024978697299957275,0.2,0.9951746463775635
14336,108.88861931000001,40,24.41,356,7,0.332861328125,0.028694037,0.0003,733.4549139022827,-0.08065965755959041,-24.035835409164427,427.4284973144531,60,0.04341369867324829,0.2,0.9950875639915466
16384,111.50561753999999,46,24.93,351,8,0.266650390625,0.023946678,0.0003,820.9900592803955,-0.07398932781361509,-24.018883669376372,344.5618591308594,70,0.03940880298614502,0.2,0.9935345649719238
18432,111.72295915000001,52,24.85,349,9,0.2103515625,0.02042608,0.0003,811.4748474121094,-0.06725292372866534,-24.007344979047776,369.7441101074219,80,0.07189631462097168,0.2,0.9929102659225464
20480,114.38558805999999,58,25.46,347,10,0.171630859375,0.017536897,0.0003,805.3480474472046,-0.06279619669367094,-23.985513067245485,326.7789001464844,90,0.10522878170013428,0.2,0.991366446018219
