time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,100.47488256043957,3,22.428571428571427,639,1,,,,,,,,,,,
4096,105.20493220999997,9,23.48,440,2,0.192919921875,0.015960652,0.0003,1341.463261795044,-0.05291650555154774,-24.13512760400772,460.8578186035156,10,-0.001871347427368164,0.2,1.0009809732437134
6144,108.61661011999999,14,24.22,411,3,0.250341796875,0.023709506,0.0003,989.3051252365112,-0.0674955361202592,-24.15024709701538,356.2269287109375,20,0.011975347995758057,0.2,1.0016146898269653
8192,106.37140227000003,21,23.83,384,4,0.2923828125,0.026611341,0.0003,994.576674079895,-0.0760515539208427,-24.148397529125212,395.1033630371094,30,0.0009027719497680664,0.2,1.001280665397644
10240,109.90920648000001,27,24.5,373,5,0.335546875,0.030217357,0.0003,823.8279905319214,-0.08205762912111822,-24.141181617975235,432.3716735839844,40,0.0004062056541442871,0.2,1.0002260208129883
12288,119.07269121999998,34,26.59,360,6,0.36201171875,0.03517639,0.0003,906.4812372207641,-0.08547536504338496,-24.090875506401062,387.24835205078125,50,0.0001742839813232422,0.2,0.9969843626022339
14336,125.15448782000001,40,27.69,351,7,0.3708984375,0.039286822,0.0003,1030.2667417526245,-0.08429554832400754,-24.023893117904663,471.1114196777344,60,0.00015407800674438477,0.2,0.9923434853553772
16384,122.54371219000001,47,27.17,347,8,0.34775390625,0.029580638,0.0003,1035.362721824646,-0.08448434369056486,-23.96451815366745,480.494873046875,70,0.0014047622680664062,0.2,0.9899635314941406
18432,125.75349091,53,28.01,343,9,0.22890625,0.01850782,0.0003,987.6723447799683,-0.06602906491316389,-23.951490753889082,375.995361328125,80,0.009754955768585205,0.2,0.9901168942451477
20480,123.06933136000002,60,27.32,339,10,0.172900390625,0.016343901,0.0003,1058.3140216827392,-0.05983066924090963,-23.947809952497483,605.8004150390625,90,0.030513107776641846,0.2,0.9897781610488892
