time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,93.98535548453607,3,20.969072164948454,606,1,,,,,,,,,,,
4096,100.63851703,9,22.52,439,2,0.22890625,0.019586204,0.0003,1194.022053337097,-0.06094270852045156,-24.087248253822327,371.58551025390625,10,-0.0023031234741210938,0.2,0.9967260956764221
6144,99.36951978999997,15,22.33,408,3,0.25419921875,0.024154577,0.0003,972.53648853302,-0.07202959911082871,-24.05281468629837,413.0680847167969,20,0.020287632942199707,0.2,0.995089590549469
8192,110.33278861,20,24.61,396,4,0.303515625,0.027191479,0.0003,809.0516277313233,-0.07931299645570107,-24.037223130464554,397.57403564453125,30,0.016171753406524658,0.2,0.9947420954704285
10240,106.81015691,27,23.94,373,5,0.32138671875,0.030310914,0.0003,924.362209892273,-0.08287968910299241,-24.022954839468003,465.064208984375,40,0.01299285888671875,0.2,0.9937317967414856
12288,108.82127882,33,24.09,362,6,0.35908203125,0.030804288,0.0003,773.8699798583984,-0.08525477930961642,-24.0021948158741,326.24749755859375,50,0.021250247955322266,0.2,0.9918199181556702
14336,101.71144802999997,39,22.61,359,7,0.28984375,0.026587846,0.0003,869.1578163146972,-0.07686184887425043,-23.970319962501527,410.01019287109375,60,0.039916932582855225,0.2,0.9900280237197876
16384,121.43304486999997,46,26.91,353,8,0.25791015625,0.022795938,0.0003,738.6380844116211,-0.07634374583722092,-23.92919683456421,356.7641906738281,70,0.06237667798995972,0.2,0.9876033663749695
18432,124.56248095999997,53,27.41,344,9,0.218359375,0.020974254,0.0003,988.3685319900512,-0.06878882573801093,-23.89598673582077,487.28924560546875,80,0.1478443741798401,0.2,0.9861952662467957
20480,118.22850296,59,26.28,343,10,0.207861328125,0.021012984,0.0003,906.803339767456,-0.06766510668676347,-23.87376582622528,512.6333618164062,90,0.21194511651992798,0.2,0.9851844906806946
