time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,97.81617832608694,3,21.98913043478261,590,1,,,,,,,,,,,
4096,100.57970652000002,9,22.54,427,2,0.204150390625,0.017991688,0.0003,1226.685180091858,-0.056596177877509035,-24.16972372531891,394.8261413574219,10,0.0014654994010925293,0.2,1.0038267374038696
6144,103.85812485000001,16,23.19,380,3,0.250732421875,0.023413287,0.0003,943.7165647506714,-0.06831871675967705,-24.168449020385744,417.15240478515625,20,-0.001925826072692871,0.2,1.0020923614501953
8192,108.25437132,22,24.23,360,4,0.294873046875,0.025806855,0.0003,902.5341711044312,-0.07715925148804673,-24.154325836896895,352.0698547363281,30,0.001538991928100586,0.2,1.0017329454421997
10240,102.56304589000001,29,22.8,350,5,0.316064453125,0.028494442,0.0003,938.1690376281738,-0.0809620117986924,-24.12613261938095,339.7025451660156,40,0.0009753108024597168,0.2,0.9993792176246643
12288,105.79070793,36,23.64,338,6,0.38046875,0.030589022,0.0003,722.9291213989258,-0.08658532075351104,-24.09172331690788,335.744873046875,50,0.0014818310737609863,0.2,0.9981945157051086
14336,110.44033481000001,42,24.5,336,7,0.28671875,0.024925344,0.0003,806.6869745254517,-0.07705289195582736,-24.06268193721771,378.36846923828125,60,0.015014052391052246,0.2,0.995577871799469
16384,113.12074938999999,49,25.07,333,8,0.230029296875,0.019561112,0.0003,862.4455274581909,-0.07178917686687783,-24.04402893781662,478.4928283691406,70,0.048311591148376465,0.2,0.9953476190567017
18432,116.64665342,55,26.05,332,9,0.186962890625,0.017973702,0.0003,817.3708343505859,-0.0632839675352443,-24.023689013719558,439.8227233886719,80,0.11258244514465332,0.2,0.9934122562408447
20480,113.4460238,61,25.32,331,10,0.15302734375,0.01539518,0.0003,700.7248308181763,-0.0585404076759005,-23.996514201164246,283.0343933105469,90,0.22482585906982422,0.2,0.9918296933174133
