time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,95.57583956842103,4,21.48421052631579,506,1,,,,,,,,,,,
4096,98.94642173999999,11,22.02,363,2,0.19892578125,0.018505335,0.0003,1066.1311857223511,-0.05092088879318908,-24.083246743679048,426.1453552246094,10,-0.0033960342407226562,0.2,0.9962764382362366
6144,103.23312479,17,22.96,345,3,0.20810546875,0.020235062,0.0003,1002.578841972351,-0.0555135360598797,-24.071007251739502,431.7655944824219,20,0.017123043537139893,0.2,0.9974269866943359
8192,107.00560028,23,23.84,347,4,0.29716796875,0.02711457,0.0003,943.6305778503418,-0.07049466447788291,-24.081665349006652,382.1536560058594,30,0.016523361206054688,0.2,0.9968368411064148
10240,107.26556984000001,28,23.86,358,5,0.30458984375,0.027872007,0.0003,892.6783582687378,-0.07629958782927133,-24.066391903162003,452.99066162109375,40,0.02634608745574951,0.2,0.9964208006858826
12288,107.80878281000001,34,24.04,356,6,0.32431640625,0.030002106,0.0003,851.8465908050537,-0.07553464419033844,-24.0784533560276,338.5233154296875,50,0.02198970317840576,0.2,0.9969145655632019
14336,112.49924970999999,40,24.98,353,7,0.319873046875,0.027918834,0.0003,795.7677444458008,-0.07657997796486597,-24.036731177568434,335.39642333984375,60,0.01935708522796631,0.2,0.9937629699707031
16384,114.19323308999999,47,25.39,347,8,0.26416015625,0.022161048,0.0003,724.7335313796997,-0.06952412068494596,-24.012951254844666,377.4494934082031,70,0.2094517946243286,0.2,0.9938446283340454
18432,119.30609274000003,53,26.71,345,9,0.1853515625,0.017872972,0.0003,734.6822754859925,-0.05973322776844725,-24.004511976242064,399.4764404296875,80,0.31432223320007324,0.2,0.9924597144126892
20480,126.92648692,59,28.45,341,10,0.176416015625,0.01577293,0.0003,764.5210289001465,-0.05590676219726447,-23.964166033267976,415.8876953125,90,0.3482629656791687,0.2,0.9897585511207581
