time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,91.86841884848488,3,20.545454545454547,523,1,,,,,,,,,,,
4096,103.17511804,9,23.0,422,2,0.1748046875,0.013548345,0.0003,977.4091623306274,-0.028604499556240625,-24.106307721138002,346.703857421875,10,0.002970397472381592,0.2,0.9980960488319397
6144,108.89790275,16,24.34,381,3,0.190185546875,0.015328368,0.0003,1099.7120725631714,-0.035574362400802785,-24.110466915369035,406.2483215332031,20,0.037058115005493164,0.2,1.0007094144821167
8192,114.38014697000004,22,25.49,361,4,0.184814453125,0.0152706,0.0003,1016.0203020095826,-0.03292490056483075,-24.19093234539032,408.4888610839844,30,0.01217508316040039,0.2,1.0065864324569702
10240,128.79631151,29,28.62,352,5,0.21328125,0.018247053,0.0003,1039.2114210128784,-0.038966715123387986,-24.224865978956224,457.8856201171875,40,0.019900619983673096,0.2,1.006183385848999
12288,128.47680158999998,35,28.32,345,6,0.234033203125,0.019431468,0.0003,1171.0834011077882,-0.0419297113083303,-24.219558084011076,567.21533203125,50,0.02350902557373047,0.2,1.0065053701400757
14336,128.70594744,42,28.62,339,7,0.23271484375,0.022290438,0.0003,1089.055246925354,-0.04134831970732193,-24.212848562002183,414.8018493652344,60,0.02608126401901245,0.2,1.0049965381622314
16384,127.53254777999999,49,28.47,331,8,0.241943359375,0.019395454,0.0003,1087.456654548645,-0.0437403483199887,-24.187072932720184,412.7607421875,70,0.021123290061950684,0.2,1.0036035776138306
18432,143.87317843,55,31.68,330,9,0.19775390625,0.016423257,0.0003,868.860765838623,-0.03913491857238114,-24.18630693554878,369.60400390625,80,0.24852585792541504,0.2,1.00498628616333
20480,158.05795515,62,34.46,329,10,0.201513671875,0.017469076,0.0003,1134.6687662124634,-0.04283039287547581,-24.2168137550354,515.3053588867188,90,0.26358479261398315,0.2,1.0066887140274048
