time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,100.63776465555557,3,22.644444444444446,649,1,,,,,,,,,,,
4096,102.44673927,8,23.04,476,2,0.13544921875,0.012680374,0.0003,1081.5761089324951,-0.015955431936890817,-24.123030173778535,426.16192626953125,10,0.0034584999084472656,0.2,0.9998424649238586
6144,110.30871691,14,24.74,413,3,0.1318359375,0.0117015075,0.0003,1104.7448690414428,-0.01697686398983933,-24.10491234064102,566.1896362304688,20,0.0002487301826477051,0.2,0.998972475528717
8192,113.69960259,21,25.44,386,4,0.176806640625,0.014708328,0.0003,1147.9765747070312,-0.02413634756812826,-24.07416450381279,541.1873168945312,30,7.450580596923828e-05,0.2,0.9960563778877258
10240,134.11007354,27,29.85,373,5,0.14404296875,0.012730681,0.0003,1063.7313690185547,-0.01899079905997496,-24.04013103246689,496.967041015625,40,3.319978713989258e-05,0.2,0.9952664375305176
12288,144.96197289,33,32.13,361,6,0.16318359375,0.014490893,0.0003,1326.2206804275513,-0.02350777355604805,-24.025077331066132,663.1710815429688,50,2.1338462829589844e-05,0.2,0.9944876432418823
14336,141.77463634,40,31.45,355,7,0.17451171875,0.017877774,0.0003,1271.7006998062134,-0.02487194922869094,-24.019526505470274,609.6172485351562,60,1.043081283569336e-05,0.2,0.994280219078064
16384,145.57154594,47,32.38,348,8,0.19951171875,0.018845465,0.0003,1188.6158557891845,-0.02422865116095636,-23.988208907842637,447.71966552734375,70,7.867813110351562e-06,0.2,0.9907861351966858
18432,152.43964387000003,53,33.9,343,9,0.18271484375,0.017287966,0.0003,1247.488184928894,-0.018873437168076636,-23.930777698755264,546.3085327148438,80,7.092952728271484e-06,0.2,0.9892125129699707
20480,157.99753993,59,34.77,341,10,0.24296875,0.021772861,0.0003,1315.0927322387695,-0.028206562745617704,-23.89177812933922,585.9434204101562,90,6.377696990966797e-06,0.2,0.9853057861328125
