time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,102.70512940449439,3,22.97752808988764,612,1,,,,,,,,,,,
4096,100.20151754999999,10,22.49,405,2,0.21513671875,0.018577868,0.0003,1467.4014713287354,-0.05999514946597628,-24.1292494058609,539.4818725585938,10,-0.006063580513000488,0.2,1.0005453824996948
6144,108.45362754999996,16,24.22,382,3,0.1509765625,0.015541583,0.0003,1069.0190126419068,-0.053693355183349924,-24.13358441591263,341.9334411621094,20,-0.007127165794372559,0.2,1.0009125471115112
8192,99.02450812,22,22.18,362,4,0.209521484375,0.023216289,0.0003,967.173703956604,-0.06305889355717227,-24.15191751718521,374.1636047363281,30,-0.013904333114624023,0.2,1.002660870552063
10240,105.57368537000002,29,23.55,351,5,0.287158203125,0.030867128,0.0003,757.0053169250489,-0.07364844667026774,-24.206681913137437,334.8468933105469,40,-0.0018758773803710938,0.2,1.0052566528320312
12288,109.09365695000002,35,24.39,343,6,0.325,0.033593684,0.0003,786.8249628067017,-0.0783094688464189,-24.194297784566878,383.3695373535156,50,0.020308256149291992,0.2,1.0034022331237793
14336,112.22263277,41,25.07,343,7,0.345263671875,0.037476696,0.0003,821.5834636688232,-0.07819315502420068,-24.18516317009926,316.5722351074219,60,0.016201019287109375,0.2,1.0024354457855225
16384,114.28618177,48,25.18,338,8,0.3359375,0.040885214,0.0003,905.4174299240112,-0.07644341719569639,-24.157184302806854,353.7200012207031,70,0.0042296648025512695,0.2,1.0017447471618652
18432,118.27892991,55,26.13,334,9,0.315185546875,0.03475587,0.0003,973.5987382888794,-0.07413302664645016,-24.153320121765137,441.8053894042969,80,0.0010775327682495117,0.2,1.0013095140457153
20480,128.38935224,61,28.3,334,10,0.299951171875,0.03018274,0.0003,1025.0622095108033,-0.07466230688150972,-24.11709178686142,566.8321533203125,90,-0.0009530782699584961,0.2,0.9983130097389221
