time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,97.93567140217392,3,21.92391304347826,634,1,,,,,,,,,,,
4096,102.23418052000001,9,22.85,428,2,0.196337890625,0.015460117,0.0003,1417.4779529571533,-0.05346382475108839,-24.134160739183425,607.9548950195312,10,-0.0003789663314819336,0.2,1.0006835460662842
6144,105.25675413,16,23.46,376,3,0.128369140625,0.013550843,0.0003,1074.9445402145386,-0.047983087608008644,-24.137369537353514,424.2975769042969,20,-0.0448993444442749,0.2,1.0010799169540405
8192,100.31872275000002,22,22.43,365,4,0.19296875,0.02078581,0.0003,937.483491897583,-0.05660930910671595,-24.12888258099556,380.158203125,30,-0.0429154634475708,0.2,0.999523401260376
10240,110.04901668000001,28,24.68,354,5,0.275,0.028076747,0.0003,819.3551083564759,-0.06621172212762758,-24.086495822668077,238.29917907714844,40,-0.04792952537536621,0.2,0.9970725774765015
12288,108.85848488999999,35,24.46,346,6,0.325341796875,0.03237091,0.0003,853.2772623062134,-0.07595776800590101,-24.091631358861925,420.3631286621094,50,-0.0092087984085083,0.2,0.9978806972503662
14336,114.85620337999998,42,25.52,339,7,0.367724609375,0.03985431,0.0003,813.8811176300048,-0.0769926622218918,-24.10452989935875,434.2362976074219,60,-0.022055506706237793,0.2,0.9987807869911194
16384,122.39973149000001,49,27.21,333,8,0.33291015625,0.03702936,0.0003,995.7178897857666,-0.07409056320611854,-24.101005285978317,421.1155090332031,70,-0.015418767929077148,0.2,0.998278021812439
18432,109.52077957000002,56,24.43,327,9,0.273193359375,0.026864834,0.0003,1042.2621433258057,-0.06997252277797088,-24.079584968090057,490.1766662597656,80,-0.010609269142150879,0.2,0.9969515204429626
20480,115.84221881000002,62,25.82,325,10,0.350537109375,0.031732187,0.0003,963.9874170303344,-0.07220853391918354,-24.073470693826675,542.7880249023438,90,-0.009585857391357422,0.2,0.9971261620521545
