time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,96.39885675531914,3,21.638297872340427,617,1,,,,,,,,,,,
4096,101.60893414999998,10,22.47,400,2,0.212939453125,0.017795052,0.0003,1176.1347761154175,-0.052946026454446835,-24.09106975197792,412.633544921875,10,-0.001185297966003418,0.2,0.9973403811454773
6144,104.09100193,16,23.14,372,3,0.21005859375,0.020728761,0.0003,1052.8375879287719,-0.05834757052361965,-24.060588318109513,381.3215026855469,20,0.018158674240112305,0.2,0.995032012462616
8192,105.47263112,22,23.41,356,4,0.267138671875,0.023850556,0.0003,978.297347831726,-0.06829831381037366,-24.050183880329133,412.27044677734375,30,0.030718088150024414,0.2,0.9954333901405334
10240,112.62334206000001,29,25.03,348,5,0.280126953125,0.02552272,0.0003,937.3692516326904,-0.07153297170589212,-23.986257296800613,449.0040588378906,40,0.017923474311828613,0.2,0.9902989864349365
12288,117.9306535,35,26.06,346,6,0.308837890625,0.027195068,0.0003,938.2117835998536,-0.07601957948645577,-23.97304270863533,406.3062438964844,50,0.017005205154418945,0.2,0.990987241268158
14336,124.81790987000001,41,27.37,345,7,0.33115234375,0.030769708,0.0003,962.4081754684448,-0.07610657108016312,-23.994751501083375,425.5560302734375,60,0.02195751667022705,0.2,0.9926513433456421
16384,133.04295829,48,29.34,340,8,0.30126953125,0.031813096,0.0003,988.429545211792,-0.07351615692314226,-23.99561812877655,456.00177001953125,70,0.032377004623413086,0.2,0.992340087890625
18432,139.90738629999998,53,30.62,341,9,0.303076171875,0.02818923,0.0003,1105.5160709381103,-0.07292326709721238,-23.986069214344024,526.3610229492188,80,0.019124269485473633,0.2,0.9917657375335693
20480,140.63861097999998,60,30.85,340,10,0.2244140625,0.021407112,0.0003,1036.3124446868896,-0.06276731534453575,-23.96167933344841,583.1196899414062,90,0.07287997007369995,0.2,0.9902825951576233
