time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,94.67465970833332,3,21.239583333333332,660,1,,,,,,,,,,,
4096,96.15235932000002,9,21.6,436,2,0.180712890625,0.01723466,0.0003,1079.774627494812,-0.048385788960149514,-24.115738940238952,453.5169372558594,10,0.0022713541984558105,0.2,0.9992164373397827
6144,99.11906701,15,22.22,390,3,0.205859375,0.018785488,0.0003,932.7049871444702,-0.05608334897842724,-24.120236390829085,421.4233093261719,20,-0.021362781524658203,0.2,1.000915288925171
8192,103.94299582000002,22,23.24,370,4,0.24833984375,0.022632677,0.0003,855.1573816299439,-0.0639715377241373,-24.139538180828094,389.64752197265625,30,-0.0026994943618774414,0.2,1.001118779182434
10240,105.58446825000001,28,23.29,359,5,0.28232421875,0.025080275,0.0003,837.9726465225219,-0.07303047411842271,-24.12951380610466,340.9196472167969,40,-0.0007544755935668945,0.2,0.999438464641571
12288,108.82907612,34,24.33,354,6,0.31201171875,0.03535635,0.0003,819.8739055633545,-0.07129021583823487,-24.097289139032362,382.8445739746094,50,-0.0004972219467163086,0.2,0.9973447322845459
14336,114.87291157,41,25.61,344,7,0.34140625,0.032089338,0.0003,887.083551979065,-0.08008498176350258,-24.07897385954857,338.25244140625,60,-0.008926630020141602,0.2,0.9969001412391663
16384,119.12216321,48,26.54,337,8,0.36796875,0.045454193,0.0003,898.7714185714722,-0.0747142934880685,-24.05269613265991,490.554443359375,70,0.0016492605209350586,0.2,0.9943439364433289
18432,128.02736407999998,54,28.44,338,9,0.202783203125,0.016056621,0.0003,887.9631065368652,-0.06372071809892077,-24.01697779893875,423.97509765625,80,0.013316690921783447,0.2,0.9937076568603516
20480,132.91158963,61,29.3,335,10,0.15458984375,0.015444599,0.0003,727.1284369468689,-0.053777162870392206,-24.0148022711277,276.7080993652344,90,0.3495713472366333,0.2,0.9936416745185852
