time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,98.82147830769229,3,22.0989010989011,635,1,,,,,,,,,,,
4096,108.57773860999995,9,24.17,416,2,0.1421875,0.012627032,0.0003,1199.8147415161134,-0.03270255989045836,-24.145636528730392,484.62835693359375,10,0.005861639976501465,0.2,1.001927375793457
6144,110.67457757,16,24.69,378,3,0.15712890625,0.015808664,0.0003,1163.0929824829102,-0.038137165387161075,-24.167145240306855,387.255859375,20,0.019933640956878662,0.2,1.0025731325149536
8192,113.10344719999999,22,25.28,362,4,0.17275390625,0.015411856,0.0003,1008.9281488418579,-0.03952907474595122,-24.194601136446,404.2496643066406,30,0.012808024883270264,0.2,1.0046972036361694
10240,116.04022931999998,27,25.96,366,5,0.1939453125,0.019981418,0.0003,953.0311605453492,-0.042375970841385426,-24.187727427482606,373.9450378417969,40,0.01477062702178955,0.2,1.0027527809143066
12288,129.44047201,33,28.6,369,6,0.198974609375,0.02140718,0.0003,957.1642147064209,-0.04216019679151941,-24.18597690463066,381.7532043457031,50,0.016857564449310303,0.2,1.0046831369400024
14336,129.26406788999998,39,28.63,362,7,0.20478515625,0.022046538,0.0003,1091.689144706726,-0.0452709397446597,-24.222777169942855,522.8790893554688,60,0.016946494579315186,0.2,1.0071914196014404
16384,133.34019039999998,46,29.61,353,8,0.2306640625,0.023511365,0.0003,1099.6518730163575,-0.04625619553553406,-24.278636348247527,560.32763671875,70,0.010863542556762695,0.2,1.0107989311218262
18432,138.64603505000002,52,30.95,352,9,0.227685546875,0.024093058,0.0003,1116.7033281326294,-0.04352433814201504,-24.31105555295944,536.2393188476562,80,0.024393081665039062,0.2,1.0117452144622803
20480,146.03518032,59,32.52,346,10,0.168212890625,0.015984764,0.0003,1141.1689056396485,-0.04088376969448291,-24.328295201063156,659.3955688476562,90,0.023391664028167725,0.2,1.0131442546844482
