time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,94.98042075257733,3,21.103092783505154,646,1,,,,,,,,,,,
4096,95.20540212,9,21.29,428,2,0.205419921875,0.01793282,0.0003,1381.3436489105225,-0.05785155832709279,-24.109164494276047,581.7514038085938,10,-0.0024585723876953125,0.2,0.9984269738197327
6144,102.38909976999999,16,22.79,379,3,0.13984375,0.012945149,0.0003,1082.4094215393065,-0.05051601183367893,-24.106965804100035,305.5960998535156,20,-0.024965286254882812,0.2,0.9992257356643677
8192,105.23141065,22,23.41,368,4,0.134033203125,0.014101292,0.0003,1036.9176234245301,-0.04878601803502534,-24.093741858005522,427.8045959472656,30,-0.04288673400878906,0.2,0.9975070953369141
10240,99.57010959000002,27,22.32,370,5,0.16083984375,0.016284779,0.0003,947.4771097183227,-0.051244458969449624,-24.074269706010817,359.69757080078125,40,-0.057686567306518555,0.2,0.9970923066139221
12288,112.07267252000001,32,24.97,380,6,0.2361328125,0.023323786,0.0003,766.0028631210328,-0.06070199282839894,-24.077918684482576,410.6499938964844,50,-0.026242375373840332,0.2,0.9979000091552734
14336,119.70629919,38,26.62,372,7,0.249560546875,0.02453216,0.0003,937.2309770584106,-0.061308833383372986,-24.079050195217132,332.54168701171875,60,-0.018752694129943848,0.2,0.9966639280319214
16384,113.92138986,45,25.19,363,8,0.313427734375,0.034677528,0.0003,962.875601196289,-0.07288782290997915,-24.04996343255043,432.7306213378906,70,0.00292891263961792,0.2,0.9955222010612488
18432,111.02169096000002,51,24.63,358,9,0.31875,0.033127546,0.0003,861.1020713806153,-0.07056116528692655,-24.025447207689286,301.6875,80,0.012937188148498535,0.2,0.9941152930259705
20480,120.02457729,57,26.65,355,10,0.259521484375,0.026209917,0.0003,895.5553747177124,-0.06588938063941896,-24.01619335412979,329.6452941894531,90,-0.00828850269317627,0.2,0.9930736422538757
