time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,105.86049622093024,3,23.6046511627907,610,1,,,,,,,,,,,
4096,100.34321413999999,9,22.37,419,2,0.22607421875,0.019671008,0.0003,1662.468770980835,-0.061088781696162185,-24.11584571003914,781.9509887695312,10,-0.0024591684341430664,0.2,0.9991112947463989
6144,99.37111982,15,22.31,385,3,0.1376953125,0.012743499,0.0003,1229.577449798584,-0.05022519862977788,-24.095619881153105,485.7038269042969,20,0.010004639625549316,0.2,0.9981704950332642
8192,101.54005491000002,22,22.85,367,4,0.107470703125,0.012033058,0.0003,1003.8538599014282,-0.04343750623811502,-24.079041969776153,410.29132080078125,30,-0.031114816665649414,0.2,0.9968452453613281
10240,105.55965213000002,28,23.65,357,5,0.146533203125,0.01608681,0.0003,928.531538772583,-0.04834500040742569,-24.061585277318954,448.523193359375,40,-0.058025479316711426,0.2,0.9966480135917664
12288,106.32969384999998,34,23.72,351,6,0.173828125,0.02056845,0.0003,941.8869314193726,-0.04947712353314273,-24.079102218151093,335.95343017578125,50,-0.07265329360961914,0.2,0.9983938932418823
14336,110.54635346999997,41,24.52,348,7,0.2796875,0.029953059,0.0003,847.2154251098633,-0.06100453494582325,-24.075270110368727,371.7856750488281,60,-0.04107379913330078,0.2,0.9960407018661499
16384,110.55482144,47,24.37,345,8,0.32109375,0.031231431,0.0003,875.1022755622864,-0.0700226511893561,-24.051236975193024,399.0746154785156,70,-0.021604537963867188,0.2,0.9952832460403442
18432,110.02771421,54,24.52,340,9,0.2908203125,0.026708003,0.0003,925.4330261230468,-0.06965550417953636,-24.019890147447587,478.98675537109375,80,-0.011681318283081055,0.2,0.993941605091095
20480,118.10235039000001,60,26.16,338,10,0.276123046875,0.026568118,0.0003,895.4605211257934,-0.06629978378477971,-24.011547261476515,484.93328857421875,90,-0.006062030792236328,0.2,0.9937425255775452
