time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,98.12274111956519,3,22.108695652173914,593,1,,,,,,,,,,,
4096,108.15562535000001,9,24.3,432,2,0.207958984375,0.017782383,0.0003,1263.9082319259644,-0.05802997321006842,-24.096047967672348,551.1307983398438,10,-0.0007652044296264648,0.2,0.9976568818092346
6144,107.44440803999998,14,23.93,410,3,0.229931640625,0.023485737,0.0003,1073.2132869720458,-0.06478060188819654,-24.100272119045258,455.72821044921875,20,0.030313491821289062,0.2,0.9995090365409851
8192,104.85559458,21,23.31,376,4,0.3021484375,0.028716803,0.0003,928.169202041626,-0.07721736292005517,-24.104328840970993,485.4142150878906,30,0.013638854026794434,0.2,0.9982289671897888
10240,105.26694638999999,28,23.64,356,5,0.339404296875,0.032732166,0.0003,851.2715841293335,-0.08194311799306889,-24.045117604732514,355.2200012207031,40,0.022015511989593506,0.2,0.9933927059173584
12288,106.27164602,34,23.65,351,6,0.341650390625,0.032683384,0.0003,813.4668008804322,-0.08320491713820957,-23.985242849588396,345.5140075683594,50,0.029229819774627686,0.2,0.9908642768859863
14336,107.06248176000001,41,23.84,346,7,0.299072265625,0.026998028,0.0003,838.5913026809692,-0.0802307935373392,-23.95848971605301,504.1014099121094,60,0.0432819128036499,0.2,0.9901351928710938
16384,111.72247570000002,48,24.97,340,8,0.276171875,0.025585853,0.0003,842.1030794143677,-0.07570951498055364,-23.940186524391173,401.4942626953125,70,0.05343353748321533,0.2,0.9890674352645874
18432,118.09831449,54,26.23,338,9,0.238916015625,0.022104854,0.0003,891.9357242584229,-0.0724129793496104,-23.929435557127,362.826416015625,80,0.0645906925201416,0.2,0.9886282682418823
20480,118.25942239,60,26.58,339,10,0.227197265625,0.021063115,0.0003,881.5499687194824,-0.07108727527374867,-23.91599507331848,476.83697509765625,90,0.10527616739273071,0.2,0.9876312017440796
