time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,101.50729805555558,3,22.58888888888889,586,1,,,,,,,,,,,
4096,95.06165333999999,10,21.34,407,2,0.199462890625,0.01758088,0.0003,1329.018371963501,-0.05635689556656871,-24.098879700899126,454.00604248046875,10,0.0006363987922668457,0.2,0.9976963996887207
6144,101.59653311,16,22.9,370,3,0.25625,0.024053155,0.0003,853.5486417770386,-0.06786668913846369,-24.052163738012315,340.19775390625,20,0.011388957500457764,0.2,0.9956926703453064
8192,103.16222873000001,23,23.11,352,4,0.30380859375,0.027340364,0.0003,864.4014177322388,-0.07668149296659976,-24.024952441453934,382.532470703125,30,0.001307666301727295,0.2,0.9934196472167969
10240,100.12592897999998,29,22.44,342,5,0.326708984375,0.030449055,0.0003,822.1393991470337,-0.0815548559941817,-23.990176373720168,358.5257568359375,40,0.0008478760719299316,0.2,0.9910143613815308
12288,109.99064942000001,35,24.41,342,6,0.329931640625,0.026224725,0.0003,742.4956961631775,-0.08163639188278467,-23.979601311683655,378.72296142578125,50,0.0025066137313842773,0.2,0.992031991481781
14336,108.42363661000002,42,24.11,338,7,0.25341796875,0.022122126,0.0003,854.5490135192871,-0.07119618618453387,-23.98618134856224,364.114013671875,60,0.029764950275421143,0.2,0.9918286800384521
16384,116.80495792999999,48,25.95,336,8,0.226611328125,0.02008636,0.0003,890.39869556427,-0.06756374946562574,-23.96532949209213,303.7252502441406,70,0.03218787908554077,0.2,0.9907119870185852
18432,117.91992841,55,26.18,333,9,0.227294921875,0.021180324,0.0003,909.1366533279419,-0.06965855073358398,-23.93964291214943,424.8681640625,80,0.03457719087600708,0.2,0.9885450005531311
20480,113.94137257999999,62,25.59,329,10,0.185302734375,0.01782078,0.0003,887.8570039749145,-0.06451268357632216,-23.909398025274278,433.0189208984375,90,0.06389051675796509,0.2,0.9869406223297119
