time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,98.59254501086954,3,22.054347826086957,620,1,,,,,,,,,,,
4096,98.20154484999999,9,22.03,417,2,0.1857421875,0.016426764,0.0003,1240.1415966033935,-0.053175720447325145,-24.091769963502884,443.222900390625,10,0.002911686897277832,0.2,0.9971928596496582
6144,104.80257391,15,23.35,399,3,0.264013671875,0.025328603,0.0003,873.4007600784302,-0.07256705662584864,-24.065913850069045,362.5608825683594,20,0.020789802074432373,0.2,0.9959494471549988
8192,104.65519560999999,21,23.26,376,4,0.294775390625,0.026479047,0.0003,925.993634223938,-0.07930654259107542,-24.024836939573287,356.4864196777344,30,0.012609899044036865,0.2,0.9937793612480164
10240,102.43006921,28,22.99,360,5,0.3517578125,0.033954956,0.0003,822.4705312728881,-0.08728213220310863,-23.978131860494614,347.7471008300781,40,0.0134429931640625,0.2,0.989788293838501
12288,107.64141297,35,24.06,350,6,0.38134765625,0.03683458,0.0003,755.5169431686402,-0.08684740535099991,-23.930480039119722,380.8655700683594,50,0.03038400411605835,0.2,0.9877939820289612
14336,113.46452373,41,25.18,342,7,0.290478515625,0.026778653,0.0003,818.9096897125244,-0.07759160083951429,-23.913155096769334,405.1060485839844,60,0.04901999235153198,0.2,0.9873161315917969
16384,115.40978076999998,48,25.64,339,8,0.2478515625,0.024083251,0.0003,865.4391185760499,-0.07295209176081699,-23.88871384859085,439.04534912109375,70,0.04466289281845093,0.2,0.9861201047897339
18432,110.52923349000001,54,24.75,338,9,0.217822265625,0.020002883,0.0003,887.2030225753784,-0.07280672448105178,-23.863483130931854,353.28265380859375,80,0.0790824294090271,0.2,0.9844573736190796
20480,118.97417032,61,26.44,333,10,0.1849609375,0.018722452,0.0003,707.9400107383728,-0.06444075222534593,-23.84455798268318,343.3171691894531,90,0.15532910823822021,0.2,0.9832904934883118
