time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,94.52188997916666,3,21.208333333333332,653,1,,,,,,,,,,,
4096,106.07686214999998,9,23.81,444,2,0.207373046875,0.017502949,0.0003,1175.213233947754,-0.05681441701599397,-24.10568586587906,418.1043701171875,10,-0.005344033241271973,0.2,0.997869610786438
6144,101.15482461000003,15,22.63,390,3,0.24736328125,0.023552889,0.0003,1098.9076601028441,-0.0697315266210353,-24.097233134508134,358.6067199707031,20,-0.009771347045898438,0.2,0.9987808465957642
8192,107.24492530999999,22,24.06,368,4,0.330126953125,0.028673207,0.0003,848.349754524231,-0.08240126850723754,-24.079684168100357,317.6590576171875,30,0.0003024935722351074,0.2,0.9962657690048218
10240,110.25979278999999,28,24.58,356,5,0.340576171875,0.027984818,0.0003,929.458189201355,-0.08398102074861527,-24.0209901869297,480.42144775390625,40,0.0006777048110961914,0.2,0.9928174018859863
12288,110.48650330000001,34,24.65,351,6,0.364111328125,0.031878714,0.0003,865.5660274505615,-0.0876449347648304,-23.97306234240532,390.9568786621094,50,0.0025458931922912598,0.2,0.9902599453926086
14336,117.5731555,41,26.16,345,7,0.293408203125,0.024666011,0.0003,866.3931705474854,-0.07903737975866534,-23.937771219015122,366.71478271484375,60,0.015225052833557129,0.2,0.9884532690048218
16384,118.40352324999999,48,26.2,338,8,0.256787109375,0.022662338,0.0003,1000.3612609863281,-0.0755283560603857,-23.91871734857559,471.6275634765625,70,0.04554736614227295,0.2,0.9876827001571655
18432,120.76155733000002,55,26.87,334,9,0.176416015625,0.01675806,0.0003,924.4823268890381,-0.06295221579493955,-23.900388437509537,377.76165771484375,80,0.08208638429641724,0.2,0.9868407845497131
20480,123.18132969999999,61,27.24,332,10,0.159814453125,0.01622513,0.0003,665.1857545852661,-0.06126623335585464,-23.88528915643692,319.6522216796875,90,0.2653595805168152,0.2,0.9857650995254517
