time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,97.25156543010756,3,21.78494623655914,654,1,,,,,,,,,,,
4096,99.23123378999999,9,22.33,415,2,0.224658203125,0.020737277,0.0003,1082.5699733734132,-0.05468792417086661,-24.13094140291214,448.9137268066406,10,0.0036878585815429688,0.2,1.00025475025177
6144,104.76071504000001,15,23.51,386,3,0.262646484375,0.024488067,0.0003,997.619785118103,-0.06892402543453499,-24.115299570560456,355.6700744628906,20,0.025851786136627197,0.2,0.9987669587135315
8192,103.21847697,22,22.85,367,4,0.291357421875,0.026155487,0.0003,962.7005350112915,-0.07573531460948288,-24.0727698802948,315.50750732421875,30,0.022939622402191162,0.2,0.9961776733398438
10240,110.62598274999996,28,24.54,354,5,0.362353515625,0.0318866,0.0003,844.092995262146,-0.0825734663521871,-24.049452686309813,406.4681396484375,40,0.011958479881286621,0.2,0.995669424533844
12288,116.44513581999996,35,25.92,343,6,0.3580078125,0.031372845,0.0003,862.0354522705078,-0.08293933061067946,-24.040269553661346,338.9821472167969,50,0.017918109893798828,0.2,0.9941542148590088
14336,114.43840612,43,25.32,331,7,0.291162109375,0.02517208,0.0003,874.9403736114502,-0.07588680034095888,-23.994020521640778,454.676513671875,60,0.12002676725387573,0.2,0.9913671016693115
16384,127.9455943,49,28.47,330,8,0.302197265625,0.025758531,0.0003,758.8188611030579,-0.07627460080839228,-23.958162194490434,318.5244140625,70,0.30763381719589233,0.2,0.9899841547012329
18432,133.86639305,54,29.87,337,9,0.225634765625,0.022536773,0.0003,877.6600416183471,-0.06582603395654588,-23.944019639492033,429.333984375,80,0.3115023970603943,0.2,0.9893285036087036
20480,145.82725349999998,61,32.52,334,10,0.2208984375,0.021381546,0.0003,938.8776899337769,-0.06620456422388088,-23.924796795845033,415.67657470703125,90,0.29960405826568604,0.2,0.9880339503288269
