time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,104.07943152873561,3,23.413793103448278,633,1,,,,,,,,,,,
4096,102.60296382,9,22.91,431,2,0.242578125,0.02128426,0.0003,1145.8726863861084,-0.056265483205788766,-24.09201146364212,501.55474853515625,10,0.0007039308547973633,0.2,0.9973743557929993
6144,101.80266443999999,15,22.69,385,3,0.23251953125,0.02023752,0.0003,1073.8885940551759,-0.0634552849456668,-24.080431616306306,405.1815490722656,20,-0.00023031234741210938,0.2,0.9977101683616638
8192,102.09963314999999,22,22.79,364,4,0.276123046875,0.025310222,0.0003,930.4957405090332,-0.0725209188181907,-24.092412012815476,437.1473083496094,30,6.961822509765625e-05,0.2,0.9983404874801636
10240,105.94833453000001,28,23.67,353,5,0.30712890625,0.028937863,0.0003,850.7121746063233,-0.07771051448071375,-24.080486130714416,331.7924499511719,40,9.298324584960938e-05,0.2,0.9965088963508606
12288,119.91272113999997,35,26.54,350,6,0.3509765625,0.03178809,0.0003,790.1394048690796,-0.08249271330423653,-24.023713290691376,427.4858703613281,50,5.048513412475586e-05,0.2,0.9925982356071472
14336,122.68257985999999,41,27.09,348,7,0.338232421875,0.029188931,0.0003,1048.2703546524049,-0.08337989145074971,-23.98836080431938,401.2574768066406,60,0.00011783838272094727,0.2,0.9917231202125549
16384,119.75644625000002,47,26.42,345,8,0.2654296875,0.024637789,0.0003,679.7013187885284,-0.07427184724365361,-23.944753581285475,243.71295166015625,70,0.188645601272583,0.2,0.9884498715400696
18432,123.85959806,53,27.42,342,9,0.29033203125,0.0271154,0.0003,665.5709601402283,-0.0800763054343406,-23.889726066589354,268.305419921875,80,0.4661709666252136,0.2,0.9856217503547668
20480,140.08688828999996,60,30.95,339,10,0.3080078125,0.028121378,0.0003,667.0256222724914,-0.07947321909014135,-23.830007326602935,254.79835510253906,90,0.5459407269954681,0.2,0.9813602566719055
