time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,94.60539053125001,3,21.239583333333332,632,1,,,,,,,,,,,
4096,97.3811086,10,21.83,406,2,0.22275390625,0.020116538,0.0003,1036.6749429702759,-0.05114920836349483,-24.126397627592088,336.74359130859375,10,0.005903363227844238,0.2,1.0004010200500488
6144,103.12778782999997,16,22.94,365,3,0.228759765625,0.019465113,0.0003,930.6739236831665,-0.054282433027401565,-24.145091938972474,452.9463806152344,20,0.039329707622528076,0.2,1.0014150142669678
8192,105.63806840999997,23,23.51,351,4,0.26826171875,0.023670934,0.0003,963.6896881103515,-0.06101101994572673,-24.103031754493713,397.8883972167969,30,0.026792705059051514,0.2,0.997304379940033
10240,105.39484042000002,29,23.52,346,5,0.289208984375,0.0277204,0.0003,864.8979761123658,-0.0670830387098249,-24.06065567135811,360.60791015625,40,0.019221186637878418,0.2,0.9957700371742249
12288,119.66853909,35,26.79,341,6,0.305810546875,0.030407803,0.0003,815.6371359825134,-0.06981266617076472,-24.04395487308502,309.8181457519531,50,0.011322557926177979,0.2,0.9954745173454285
14336,121.22969522000002,40,26.77,351,7,0.31240234375,0.02796663,0.0003,1000.6524736404419,-0.06935308233951218,-24.084126192331315,604.2066650390625,60,0.020309805870056152,0.2,0.998784601688385
16384,135.53420785,47,30.0,348,8,0.273486328125,0.023575027,0.0003,1012.2894386291504,-0.06806485783599783,-24.07366423010826,496.58123779296875,70,0.008105039596557617,0.2,0.9964365363121033
18432,148.72638922,53,33.07,343,9,0.212353515625,0.019185344,0.0003,1015.7068222045898,-0.06143128562835045,-24.03718501329422,402.319091796875,80,0.22837233543395996,0.2,0.9945119023323059
20480,151.43821556,59,33.46,342,10,0.194873046875,0.019231511,0.0003,1068.2827472686768,-0.05658873762586154,-24.009290438890456,483.67608642578125,90,0.24871331453323364,0.2,0.9929153323173523
