time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,98.39495199999999,3,22.02173913043478,614,1,,,,,,,,,,,
4096,100.14112953000001,9,22.31,429,2,0.214990234375,0.019232834,0.0003,1060.5886219024658,-0.04657502839399967,-24.119172847270967,454.2027282714844,10,0.004294455051422119,0.2,0.9991054534912109
6144,108.37749625000002,15,24.18,391,3,0.19921875,0.017725611,0.0003,1050.051284980774,-0.04895338600617834,-24.132163274288178,427.0265197753906,20,9.85860824584961e-05,0.2,1.0010087490081787
8192,109.64144486000001,22,24.35,368,4,0.24619140625,0.020419728,0.0003,1036.7708707809447,-0.054238867762614974,-24.118938475847244,402.77252197265625,30,3.4928321838378906e-05,0.2,0.9989928007125854
10240,122.70522497000002,28,27.2,358,5,0.26982421875,0.02271273,0.0003,1028.0175977706908,-0.05988904641708359,-24.079407858848572,432.6531982421875,40,2.7179718017578125e-05,0.2,0.997134268283844
12288,123.75676972,35,27.59,350,6,0.2759765625,0.021916565,0.0003,1079.03120803833,-0.06130771889584139,-24.058831733465194,607.3283081054688,50,3.2961368560791016e-05,0.2,0.995717465877533
14336,128.50546824,41,28.64,345,7,0.276513671875,0.024855902,0.0003,1084.9758394241333,-0.05984030461404473,-24.02707204222679,505.92864990234375,60,1.9431114196777344e-05,0.2,0.9938210844993591
16384,139.4364353,48,31.11,340,8,0.318017578125,0.027415339,0.0003,1070.5848211288453,-0.06591345086344517,-23.99503099322319,525.7080078125,70,1.4483928680419922e-05,0.2,0.9903461337089539
18432,138.02904566,55,30.47,334,9,0.288818359375,0.02771525,0.0003,1235.8884136199952,-0.06428758244146593,-23.922993183135986,607.6341552734375,80,2.5212764739990234e-05,0.2,0.986852765083313
20480,142.1767645,62,31.49,329,10,0.350390625,0.027049843,0.0003,1086.3011337280273,-0.06806088651355821,-23.880223840475082,403.13665771484375,90,3.5762786865234375e-05,0.2,0.9855776429176331
