time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,97.5723896451613,3,21.881720430107528,528,1,,,,,,,,,,,
4096,98.10448864000001,11,22.02,369,2,0.217578125,0.018562902,0.0003,1353.975791168213,-0.060312950273510066,-24.129949969053268,478.6855163574219,10,0.00022745132446289062,0.2,1.0000882148742676
6144,97.10887069,17,21.77,351,3,0.167529296875,0.017026339,0.0003,999.462829208374,-0.058472497953334826,-24.130339139699934,367.76898193359375,20,-0.03908348083496094,0.2,1.0007553100585938
8192,101.53685930999998,23,22.84,343,4,0.227783203125,0.023545535,0.0003,836.9817173004151,-0.06629779180220793,-24.126365000009535,240.850341796875,30,0.0013709664344787598,0.2,0.9996474981307983
10240,106.09613311999998,29,23.65,342,5,0.271923828125,0.03233953,0.0003,769.1559228897095,-0.0706592588685453,-24.10481132864952,262.42333984375,40,-0.0009742975234985352,0.2,0.9981510043144226
12288,110.88515281,36,24.66,337,6,0.300048828125,0.030113738,0.0003,867.5679315567016,-0.07455879646586254,-24.108261919021608,382.4587707519531,50,0.0018815994262695312,0.2,0.9992002844810486
14336,106.90816315999999,42,23.91,339,7,0.34638671875,0.038007833,0.0003,890.9580722808838,-0.07944390173943247,-24.098593389987947,434.8250427246094,60,0.009829699993133545,0.2,0.9972916841506958
16384,109.95008041999999,48,24.58,335,8,0.3419921875,0.039462186,0.0003,834.6686614990234,-0.07776107704266906,-24.057316887378693,499.8717041015625,70,0.00042724609375,0.2,0.9953355193138123
18432,114.28436718,55,25.41,332,9,0.27919921875,0.029460672,0.0003,920.8663187026978,-0.07272592516092118,-24.04511998295784,365.0646057128906,80,0.004333674907684326,0.2,0.9954637885093689
20480,117.49435509999999,62,26.19,328,10,0.29150390625,0.031309113,0.0003,875.6091474533081,-0.07549333937931806,-24.019252651929854,507.6490173339844,90,0.011698603630065918,0.2,0.9931067228317261
