time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,100.52110147777776,3,22.6,555,1,,,,,,,,,,,
4096,95.95396246999996,10,21.72,405,2,0.204443359375,0.016452331,0.0003,1434.8689878463745,-0.05583837957819924,-24.11368324160576,576.3282470703125,10,0.002487003803253174,0.2,0.9991840124130249
6144,104.46133076,15,23.45,384,3,0.158740234375,0.015800424,0.0003,956.0228038787842,-0.05209662534180097,-24.067271411418915,436.8065185546875,20,-0.03312385082244873,0.2,0.9949039220809937
8192,110.62873662000001,20,24.76,400,4,0.1833984375,0.019365571,0.0003,984.881471824646,-0.057952358588227074,-24.032981431484224,463.38427734375,30,-0.050980448722839355,0.2,0.9943308234214783
10240,110.92871960999999,25,24.69,394,5,0.21103515625,0.023517122,0.0003,987.7072462081909,-0.05867496882856358,-24.04361612200737,468.876220703125,40,-0.04237997531890869,0.2,0.9957104921340942
12288,112.14146105000002,32,24.97,380,6,0.31259765625,0.033537198,0.0003,871.1666345596313,-0.07383278447086923,-24.07727167606354,330.95318603515625,50,-0.022615432739257812,0.2,0.9972552061080933
14336,119.36129706000001,38,26.58,374,7,0.34208984375,0.03920261,0.0003,871.8403135299683,-0.07579715347092134,-24.05567047595978,360.06365966796875,60,-0.023130059242248535,0.2,0.9954425692558289
16384,118.90932880000003,44,26.56,368,8,0.398291015625,0.06330173,0.0003,942.7042854309082,-0.0764135720935883,-24.067167282104492,369.1752624511719,70,-0.0009392499923706055,0.2,0.9962472319602966
18432,119.07379105999999,50,26.66,362,9,0.403173828125,0.04352621,0.0003,950.163891029358,-0.07937030004104599,-24.046828174591063,546.4046630859375,80,-0.010267019271850586,0.2,0.9942054748535156
20480,117.09085644000001,57,26.24,358,10,0.35224609375,0.032870397,0.0003,1001.0820199966431,-0.07728982493863441,-24.03110337853432,450.7915954589844,90,0.001092076301574707,0.2,0.9945897459983826
