time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,96.52685058510639,3,21.585106382978722,625,1,,,,,,,,,,,
4096,97.84189898000002,9,21.92,440,2,0.21845703125,0.018813087,0.0003,1147.957415008545,-0.054878563265083356,-24.096602988243102,427.7980041503906,10,0.0045601725578308105,0.2,0.9980579018592834
6144,106.49403204999999,15,23.89,392,3,0.222216796875,0.022671469,0.0003,951.4568675994873,-0.06364541579969227,-24.039170998334885,370.0364990234375,20,-0.0026099681854248047,0.2,0.9934656620025635
8192,107.40604429999999,22,23.91,369,4,0.260986328125,0.023167137,0.0003,983.1194421768189,-0.0705738050834043,-24.03087201118469,496.04351806640625,30,0.023639917373657227,0.2,0.9952219724655151
10240,112.33560535000001,28,24.93,359,5,0.305859375,0.027649842,0.0003,874.7609924316406,-0.07776772798097227,-24.074932754039764,448.6788024902344,40,0.020457446575164795,0.2,0.9974778294563293
12288,114.30998145000001,34,25.54,354,6,0.333251953125,0.03046836,0.0003,962.1659898757935,-0.0787408792268252,-24.073235785961153,436.907470703125,50,0.0006784200668334961,0.2,0.9959543943405151
14336,123.48077421999999,41,27.23,349,7,0.36796875,0.035802864,0.0003,848.5014901161194,-0.08051826088048983,-24.025119668245317,402.89886474609375,60,0.018414676189422607,0.2,0.9933883547782898
16384,130.17944691,47,28.79,344,8,0.3294921875,0.028333187,0.0003,1055.0052814483643,-0.08257398659770843,-23.982403510808943,529.4714965820312,70,0.011829197406768799,0.2,0.990583062171936
18432,135.24966432999997,54,29.91,340,9,0.298095703125,0.028770706,0.0003,1070.7084169387817,-0.07606235652056056,-23.953429299592973,434.0671691894531,80,0.016193807125091553,0.2,0.9890642762184143
20480,132.68253693,60,29.37,337,10,0.271826171875,0.024491569,0.0003,1023.0207468032837,-0.07378641704563052,-23.930880135297777,435.9826354980469,90,0.04573768377304077,0.2,0.9887587428092957
