time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,96.14004574736843,3,21.31578947368421,656,1,,,,,,,,,,,
4096,101.02241603,9,22.57,429,2,0.210107421875,0.019115586,0.0003,1154.8808099746705,-0.0550449050439056,-24.116401189565657,483.7123107910156,10,-0.003982901573181152,0.2,0.99932861328125
6144,102.48279494999998,15,22.96,387,3,0.228662109375,0.020767728,0.0003,1058.403712463379,-0.06050384499249049,-24.125308680534364,331.30389404296875,20,-0.02541971206665039,0.2,0.9995355010032654
8192,104.47682076,22,23.24,369,4,0.284228515625,0.024938352,0.0003,919.726748085022,-0.07401902254205198,-24.07785235643387,454.206787109375,30,-0.008549094200134277,0.2,0.9955233335494995
10240,101.37692212999998,28,22.75,360,5,0.2828125,0.026243333,0.0003,875.2874050140381,-0.07599626897717826,-24.04425930380821,343.822021484375,40,0.0007164478302001953,0.2,0.9945723414421082
12288,111.75413536,35,24.73,349,6,0.351611328125,0.03713945,0.0003,769.2800661087036,-0.08295006038679276,-24.024816232919694,339.0260314941406,50,-0.0013759136199951172,0.2,0.9930893182754517
14336,117.67367988,41,26.2,345,7,0.327734375,0.032354295,0.0003,955.489450263977,-0.08232600932242348,-23.987535619735716,527.6090698242188,60,-0.00021374225616455078,0.2,0.990956723690033
16384,124.09530818000002,47,27.62,343,8,0.3666015625,0.039241437,0.0003,972.2745597839355,-0.0846978738962207,-23.94400198459625,559.286865234375,70,0.004092276096343994,0.2,0.9872416257858276
18432,124.77563960000002,53,27.54,342,9,0.323291015625,0.026202688,0.0003,1091.7985958099366,-0.0782663098158082,-23.891095024347305,438.62481689453125,80,-0.01623094081878662,0.2,0.986483097076416
20480,121.67922578999998,60,26.81,340,10,0.162939453125,0.01568628,0.0003,761.9417808532714,-0.059146029234398156,-23.89035924077034,436.1507263183594,90,0.09282475709915161,0.2,0.9867827296257019
