time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,96.28385913684212,3,21.49473684210526,593,1,,,,,,,,,,,
4096,96.59545764,9,21.57,421,2,0.195166015625,0.017823257,0.0003,1235.2433853149414,-0.04918712745129596,-24.12060785293579,609.939208984375,10,-0.0009150505065917969,0.2,1.000126600265503
6144,98.60163615999998,15,22.13,388,3,0.206005859375,0.019644463,0.0003,949.0331348419189,-0.05081565020664129,-24.12237000465393,411.5816955566406,20,-0.03432750701904297,0.2,0.9998608827590942
8192,102.32415813000001,22,22.72,369,4,0.262548828125,0.024616491,0.0003,863.4741195678711,-0.06305590500123799,-24.070158892869948,325.1846923828125,30,0.014513909816741943,0.2,0.9954355955123901
10240,107.82746811999999,28,24.15,361,5,0.277880859375,0.024726331,0.0003,786.094986152649,-0.06519764420518186,-24.03715810775757,336.8394470214844,40,0.029201030731201172,0.2,0.9951348304748535
12288,114.75620417000003,34,25.63,353,6,0.277783203125,0.026800577,0.0003,929.7316289901734,-0.06644740163465031,-24.046035182476043,533.595458984375,50,0.02829355001449585,0.2,0.9949934482574463
14336,114.08686356000004,41,25.53,345,7,0.26337890625,0.023789015,0.0003,894.2163251876831,-0.06429210018832236,-24.076728117465972,450.1314697265625,60,0.014273405075073242,0.2,0.9984597563743591
16384,121.81416591000001,47,27.37,342,8,0.31611328125,0.030016292,0.0003,867.291481590271,-0.07017392400593962,-24.058189308643342,472.5333251953125,70,0.017138957977294922,0.2,0.9953431487083435
18432,125.80206278000001,54,27.89,340,9,0.20693359375,0.021214632,0.0003,959.8408679962158,-0.05718069294234738,-24.01774526834488,433.0238037109375,80,0.02172994613647461,0.2,0.9928205013275146
20480,132.05127002,60,29.14,339,10,0.229248046875,0.022075191,0.0003,1035.475348854065,-0.055890512085170485,-23.97706698179245,555.4537963867188,90,0.009086191654205322,0.2,0.9911000728607178
