time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,101.6225545,3,22.488888888888887,631,1,,,,,,,,,,,
4096,102.19936423999998,9,22.86,418,2,0.197216796875,0.016215857,0.0003,1345.8262844085693,-0.04341845061280765,-24.120696026086808,473.6573791503906,10,0.005434572696685791,0.2,0.999721109867096
6144,103.63562201999997,15,23.1,384,3,0.154150390625,0.014812596,0.0003,1043.8215532302856,-0.04215998684521764,-24.129973232746124,310.2700500488281,20,-0.06669461727142334,0.2,1.0006428956985474
8192,109.88099966999998,22,24.58,369,4,0.20205078125,0.018811855,0.0003,974.5802730560303,-0.050143316152389164,-24.13888249397278,459.6477966308594,30,-0.010675191879272461,0.2,1.0007057189941406
10240,110.81752769,28,24.71,358,5,0.260205078125,0.022194043,0.0003,964.7080451965332,-0.05847577643580735,-24.082840079069136,438.9009094238281,40,-0.0025262832641601562,0.2,0.9960091710090637
12288,114.89773858000001,35,25.44,350,6,0.268408203125,0.023783728,0.0003,874.7862621307373,-0.05989950685761869,-24.02497771382332,464.4027099609375,50,-0.0007981061935424805,0.2,0.9934694766998291
14336,112.93436350999998,41,24.87,348,7,0.31865234375,0.032004006,0.0003,897.4045570373535,-0.051435473858145994,-24.002128332853317,410.92816162109375,60,-0.0003921985626220703,0.2,0.9921632409095764
16384,118.60532725999998,47,26.38,342,8,0.354052734375,0.056081843,0.0003,935.5084218978882,-0.05042541578004602,-23.962084263563156,437.90582275390625,70,-0.0002319812774658203,0.2,0.9892350435256958
18432,124.47315329999999,54,27.9,337,9,0.37197265625,0.036853448,0.0003,1003.3859073638916,-0.04821717455633916,-23.91426087021828,501.9738464355469,80,-0.0001308917999267578,0.2,0.986918032169342
20480,131.2548444,61,29.33,333,10,0.3578125,0.03540595,0.0003,1050.384121322632,-0.04965269875247032,-23.86292044520378,524.8690185546875,90,-0.0001322031021118164,0.2,0.983523428440094
