time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,97.57486136559139,3,21.967741935483872,656,1,,,,,,,,,,,
4096,96.68970629000002,9,21.71,436,2,0.08310546875,0.0086200675,0.0003,1128.9865743637085,-0.016704468612442725,-24.112718570232392,481.10272216796875,10,-0.014205098152160645,0.2,0.9991996884346008
6144,102.06613324999998,15,22.75,390,3,0.10966796875,0.011138771,0.0003,918.5405330657959,-0.01891230254259426,-24.088435578346253,384.0306396484375,20,-0.02196192741394043,0.2,0.9966740608215332
8192,117.18276129000002,22,26.11,366,4,0.143603515625,0.013203593,0.0003,980.4927471160888,-0.02469923961616587,-24.041750526428224,363.5234069824219,30,-0.00430142879486084,0.2,0.9945911169052124
10240,123.38070185999997,28,27.28,353,5,0.12705078125,0.01353308,0.0003,1119.710202407837,-0.02506785623845644,-23.97107827067375,354.218994140625,40,-0.001605987548828125,0.2,0.9887962341308594
12288,127.17909911000001,35,28.38,342,6,0.1435546875,0.014726762,0.0003,1097.1935300827026,-0.026876831840490924,-23.918191450834275,530.2567138671875,50,-0.0007838010787963867,0.2,0.9883930087089539
14336,135.08561585,42,30.04,334,7,0.1380859375,0.015175717,0.0003,1076.977112197876,-0.02738115642569028,-23.917857283353804,491.1321105957031,60,-0.0004544258117675781,0.2,0.9885076880455017
16384,152.4617073,49,33.69,333,8,0.175146484375,0.017050013,0.0003,1196.3935070037842,-0.031778330379165706,-23.87782832980156,675.051513671875,70,-0.00026476383209228516,0.2,0.9846552610397339
18432,153.68472944999996,55,33.63,334,9,0.1552734375,0.018963251,0.0003,1324.2206424713136,-0.029014348011696712,-23.818339431285857,622.1505737304688,80,-0.00014984607696533203,0.2,0.9809645414352417
20480,163.58901958,61,35.82,333,10,0.168115234375,0.018092267,0.0003,1324.1590993881225,-0.021939801768166945,-23.82021269798279,657.186767578125,90,-0.00012755393981933594,0.2,0.9831507205963135
