time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,97.76496651086954,3,21.902173913043477,632,1,,,,,,,,,,,
4096,98.07621802,9,22.09,415,2,0.1927734375,0.017338958,0.0003,1456.565763092041,-0.05761079717776738,-24.122960937023162,670.4795532226562,10,-0.0026454925537109375,0.2,1.0002988576889038
6144,104.61650949999999,16,23.59,379,3,0.129736328125,0.012456603,0.0003,1235.8999137878418,-0.05123227221192792,-24.11780641078949,453.837646484375,20,-0.008631110191345215,0.2,0.9995425939559937
8192,109.69369266,22,24.72,359,4,0.098828125,0.011471033,0.0003,1164.904902458191,-0.04470300837128889,-24.095730084180833,459.5406799316406,30,-0.014011144638061523,0.2,0.9974694848060608
10240,104.33590107,28,23.38,355,5,0.110009765625,0.012482112,0.0003,1194.8191610336303,-0.04756187733146362,-24.06432953476906,605.0684204101562,40,-0.08868527412414551,0.2,0.9956349730491638
12288,116.95284473999999,35,26.05,347,6,0.1037109375,0.012276167,0.0003,949.7799436569214,-0.045420721454138405,-24.04173281788826,395.1736145019531,50,-0.09029591083526611,0.2,0.9950262904167175
14336,117.79305290999999,41,26.53,345,7,0.13427734375,0.014338639,0.0003,1189.180048561096,-0.04977621720172465,-24.008974033594132,612.1907958984375,60,-0.07607555389404297,0.2,0.9919020533561707
16384,116.30662983999997,47,25.99,342,8,0.1291015625,0.014142161,0.0003,1070.3603755950928,-0.04891358524910174,-23.988449656963347,480.1168212890625,70,-0.10527753829956055,0.2,0.9925256371498108
18432,116.82848441,54,26.02,338,9,0.15546875,0.017235234,0.0003,953.4364759445191,-0.05072299648309127,-24.00573710203171,485.0624084472656,80,-0.06489646434783936,0.2,0.993418276309967
20480,121.53762164,60,26.84,336,10,0.151806640625,0.016708067,0.0003,1079.4067068099976,-0.05184482777258381,-24.000455981492998,536.8491821289062,90,-0.10425472259521484,0.2,0.9922236204147339
