time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,96.51677570967742,3,21.688172043010752,613,1,,,,,,,,,,,
4096,94.78908941,9,21.19,430,2,0.204931640625,0.016835067,0.0003,1463.5886737823487,-0.05474922852299642,-24.14533039331436,665.876708984375,10,-0.0017421245574951172,0.2,1.001565933227539
6144,98.27009921999998,16,21.94,375,3,0.115380859375,0.011865158,0.0003,1243.3964599609376,-0.0452356117835734,-24.156984996795654,525.2748413085938,20,-0.022523999214172363,0.2,1.002257227897644
8192,106.90735389,22,23.83,365,4,0.09033203125,0.010403527,0.0003,1052.560172843933,-0.040109088079771024,-24.152803188562395,475.0058288574219,30,-0.05948436260223389,0.2,1.0012081861495972
10240,105.96096460000001,28,23.75,356,5,0.055322265625,0.00868872,0.0003,1207.7640085220337,-0.035067750612506644,-24.147101616859437,551.9755249023438,40,-0.12293815612792969,0.2,1.0017451047897339
12288,104.48234172000001,35,23.44,348,6,0.081640625,0.010958774,0.0003,1019.8273471832275,-0.0366512554086512,-24.14131829738617,419.39129638671875,50,-0.14163589477539062,0.2,1.00040864944458
14336,105.70032647,41,23.5,343,7,0.085546875,0.011220718,0.0003,906.5447158813477,-0.03929151736374479,-24.130762147903443,406.8533630371094,60,-0.12971925735473633,0.2,1.0009435415267944
16384,101.78529698999999,48,22.45,339,8,0.118017578125,0.013416323,0.0003,943.8803363800049,-0.043238712463062254,-24.143304884433746,373.42059326171875,70,-0.09959423542022705,0.2,1.0015345811843872
18432,112.87497126999999,54,25.0,335,9,0.19384765625,0.019736607,0.0003,808.9324132919312,-0.0538281090586679,-24.125374245643616,319.8262634277344,80,-0.06474876403808594,0.2,0.9994539618492126
20480,114.16691788999998,61,25.42,333,10,0.218359375,0.0223949,0.0003,907.268987083435,-0.05751589376013726,-24.109847015142442,403.3946533203125,90,-0.06106972694396973,0.2,0.9991815090179443
