time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,94.4440995,3,21.208333333333332,567,1,,,,,,,,,,,
4096,99.53146126000003,9,22.34,417,2,0.2171875,0.017335474,0.0003,1189.962359046936,-0.05550930275931023,-24.097617375850678,388.14532470703125,10,0.002282440662384033,0.2,0.99824458360672
6144,100.50207065,14,22.49,431,3,0.24130859375,0.023122707,0.0003,933.360578250885,-0.0650261850678362,-24.089452856779097,413.283203125,20,0.01241976022720337,0.2,0.997070848941803
8192,106.49959604,18,23.92,432,4,0.27685546875,0.024173144,0.0003,888.3212083816528,-0.07300002052215859,-24.078685075044632,349.4382019042969,30,0.0017222762107849121,0.2,0.9967449307441711
10240,106.48978442000002,25,23.71,405,5,0.317333984375,0.030368552,0.0003,822.888543510437,-0.08057604879140853,-24.083227771520615,363.2513732910156,40,0.0008642077445983887,0.2,0.9972161650657654
12288,104.74072091999999,31,23.47,390,6,0.33046875,0.02634195,0.0003,820.133589553833,-0.08300839613075368,-24.08959616422653,382.4986267089844,50,0.0010883212089538574,0.2,0.998155951499939
14336,104.58666103000002,37,23.28,380,7,0.245849609375,0.021701716,0.0003,766.2941181182862,-0.07088280431489694,-24.071846866607665,371.0271301269531,60,0.024126648902893066,0.2,0.9964799284934998
16384,111.92166309,44,24.96,368,8,0.180419921875,0.017818384,0.0003,763.3188458442688,-0.06137494013819378,-24.049868255853653,349.4325866699219,70,0.05201464891433716,0.2,0.9953047633171082
18432,119.46692077000002,50,26.74,363,9,0.1353515625,0.014789815,0.0003,911.3169340133667,-0.05550312324194238,-24.03601384162903,464.967041015625,80,0.05245715379714966,0.2,0.9945494532585144
20480,113.82795746999999,57,25.53,355,10,0.175634765625,0.017841209,0.0003,884.4752321243286,-0.059281946005648935,-24.028344345092773,393.9938049316406,90,0.09756386280059814,0.2,0.9944825172424316
