time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,98.16809573118277,3,21.989247311827956,652,1,,,,,,,,,,,
4096,101.15300232999998,9,22.58,430,2,0.22119140625,0.019169144,0.0003,1241.8330909729004,-0.05950808007910382,-24.1327842772007,481.2680969238281,10,0.0017143487930297852,0.2,1.0011978149414062
6144,102.80570523000002,15,23.02,388,3,0.242919921875,0.023020588,0.0003,953.2826889038085,-0.06850001937418711,-24.116221517324448,357.7398986816406,20,0.023969054222106934,0.2,0.998346209526062
8192,98.24982715999997,22,21.97,370,4,0.289599609375,0.026837993,0.0003,899.2014167785644,-0.07684872294194064,-24.105128931999207,379.13763427734375,30,0.02453690767288208,0.2,0.9996049404144287
10240,109.65480249000001,28,24.5,359,5,0.339453125,0.03304967,0.0003,735.7723976135254,-0.08356146849109791,-24.102185946702956,320.05999755859375,40,0.01852482557296753,0.2,0.9982419013977051
12288,113.78564820999998,34,25.4,353,6,0.315087890625,0.03048015,0.0003,828.8158117294312,-0.08252043125539785,-24.08661451935768,385.57598876953125,50,0.02762991189956665,0.2,0.9968585968017578
14336,113.86666213000002,41,25.15,348,7,0.313916015625,0.02785026,0.0003,965.6681825637818,-0.07852441088762134,-24.036609572172164,535.31103515625,60,0.044362008571624756,0.2,0.9932299256324768
16384,112.05856914,47,24.86,344,8,0.271875,0.025714058,0.0003,977.1555786132812,-0.07778307805710938,-23.984426683187486,398.85888671875,70,0.05706942081451416,0.2,0.9906602501869202
18432,118.34822267,53,26.15,342,9,0.218310546875,0.021026198,0.0003,849.6541942596435,-0.06963600599265192,-23.943472450971605,406.20001220703125,80,0.08781939744949341,0.2,0.9887109398841858
20480,125.45161005,60,27.84,341,10,0.226171875,0.020167511,0.0003,885.820012664795,-0.071456015430158,-23.920546919107437,336.3381652832031,90,0.10429906845092773,0.2,0.9879151582717896
