time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,101.38065571910114,3,22.865168539325843,646,1,,,,,,,,,,,
4096,104.14859796,9,23.32,432,2,0.20888671875,0.01807568,0.0003,1342.333169555664,-0.055914490012219174,-24.09877554178238,513.6005249023438,10,-0.0037358999252319336,0.2,0.9976483583450317
6144,99.62286857999999,15,22.25,387,3,0.2578125,0.022936828,0.0003,1029.8599546432495,-0.06946070597041398,-24.07633967399597,467.78955078125,20,0.004573702812194824,0.2,0.9969155788421631
8192,108.22920515000001,22,24.13,360,4,0.307763671875,0.027598249,0.0003,837.9746021270752,-0.07760243768861982,-24.087736397981644,348.1274108886719,30,0.0016668438911437988,0.2,0.9976611733436584
10240,106.26095152000003,29,23.62,351,5,0.2935546875,0.026304517,0.0003,967.0307830810547,-0.08149581442994532,-24.071343809366226,353.514892578125,40,0.0036388039588928223,0.2,0.9967477321624756
12288,114.95769384,35,25.58,347,6,0.325439453125,0.028631512,0.0003,837.3760135650634,-0.08276976287015714,-24.05280882716179,338.43206787109375,50,0.009939134120941162,0.2,0.9951942563056946
14336,120.98103896999999,41,26.86,345,7,0.289404296875,0.02584611,0.0003,986.9582279205322,-0.07937538031837903,-24.044246745109557,463.2221984863281,60,0.017301738262176514,0.2,0.9957776069641113
16384,123.02692742,48,27.18,340,8,0.282763671875,0.025071424,0.0003,914.4540075302124,-0.07846958255395294,-24.058264911174774,416.6918029785156,70,0.04047536849975586,0.2,0.996401846408844
18432,120.74169432000001,54,26.69,337,9,0.189111328125,0.016783528,0.0003,920.6925661087037,-0.06472372966527473,-24.023562645912172,364.9947814941406,80,0.08681553602218628,0.2,0.993034839630127
20480,131.24016318000002,61,29.05,334,10,0.14716796875,0.015172536,0.0003,752.783722782135,-0.056254478741902855,-23.98684629201889,340.2026672363281,90,0.2430904507637024,0.2,0.9915772676467896
