time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,101.16192913483147,3,22.820224719101123,665,1,,,,,,,,,,,
4096,105.57797634999997,9,23.57,434,2,0.198046875,0.018076576,0.0003,1159.2270568847657,-0.05120855835848488,-24.11989091038704,395.0740661621094,10,-0.007686972618103027,0.2,0.9994568824768066
6144,106.58536623,15,23.77,392,3,0.248388671875,0.023254022,0.0003,1116.4820669174194,-0.0655997236201074,-24.13594576716423,417.92962646484375,20,0.020953774452209473,0.2,1.000731110572815
8192,106.63659780000002,21,23.76,386,4,0.30419921875,0.027459439,0.0003,1019.9381507873535,-0.07683192217955366,-24.151202261447906,552.0620727539062,30,0.016965031623840332,0.2,1.00201416015625
10240,100.21232346000002,27,22.4,374,5,0.316259765625,0.029226363,0.0003,864.0922386169434,-0.07771837497421075,-24.18836643099785,346.4988098144531,40,0.010539770126342773,0.2,1.0037559270858765
12288,109.83283969,33,24.58,366,6,0.35419921875,0.034778107,0.0003,750.6238507270813,-0.0789069945923984,-24.18110585808754,355.6654968261719,50,0.013669729232788086,0.2,1.003037452697754
14336,111.48828832,39,24.86,359,7,0.31083984375,0.025076268,0.0003,809.7211003303528,-0.07758907869574613,-24.18484236598015,284.71240234375,60,0.021881103515625,0.2,1.0045137405395508
16384,112.67417617999999,45,25.08,356,8,0.2494140625,0.022696625,0.0003,658.3320372581481,-0.07281695012643467,-24.171395206451415,369.8630065917969,70,0.29336076974868774,0.2,1.0021674633026123
18432,119.81650069,52,26.76,354,9,0.210693359375,0.019558003,0.0003,672.2060489654541,-0.06164481346204411,-24.14847376346588,358.5393981933594,80,0.3709401488304138,0.2,1.00128173828125
20480,136.44064855,58,30.25,347,10,0.195263671875,0.018272163,0.0003,730.4196980476379,-0.05979841452935943,-24.1219543159008,333.96942138671875,90,0.3839417099952698,0.2,0.9995653629302979
