time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,104.69766568965515,3,23.448275862068964,562,1,,,,,,,,,,,
4096,98.7624395,10,22.11,390,2,0.219580078125,0.019896483,0.0003,1189.6409057617188,-0.05436030677810777,-24.10634535551071,503.9253845214844,10,-0.004709124565124512,0.2,0.9988718628883362
6144,105.06768485,16,23.4,366,3,0.240869140625,0.021352194,0.0003,998.5198986053467,-0.06194845748832449,-24.115674954652786,450.6619873046875,20,0.0002772212028503418,0.2,0.9995449185371399
8192,110.59644212999997,23,24.54,354,4,0.271337890625,0.023810416,0.0003,1027.9059000015259,-0.07356681035307702,-24.09553908109665,358.2481689453125,30,0.00018399953842163086,0.2,0.9974656701087952
10240,112.76151619000001,29,24.97,350,5,0.29150390625,0.025453584,0.0003,999.3546323776245,-0.07225407176883891,-24.047407686710358,461.2403869628906,40,0.00012022256851196289,0.2,0.9942095279693604
12288,113.36366891,35,25.3,345,6,0.345751953125,0.030864872,0.0003,898.9688777923584,-0.0826404790917877,-23.970638382434846,437.96533203125,50,7.480382919311523e-05,0.2,0.9890316128730774
14336,116.9596484,41,26.13,342,7,0.3931640625,0.032543667,0.0003,923.4805814743042,-0.08516316062014084,-23.912552320957182,360.9440612792969,60,0.00024247169494628906,0.2,0.9864944219589233
16384,129.00596022,48,28.4,340,8,0.264501953125,0.023168858,0.0003,744.5853477478028,-0.07308883777004667,-23.901896685361862,280.76202392578125,70,0.20816445350646973,0.2,0.9876706600189209
18432,143.45943053999997,54,31.39,340,9,0.257568359375,0.022486676,0.0003,903.4420538902283,-0.0726370221702382,-23.864565259218217,344.57025146484375,80,0.32973015308380127,0.2,0.9831973910331726
20480,144.00890528,60,31.67,340,10,0.285986328125,0.02494217,0.0003,839.0931007385254,-0.07776491262193304,-23.805345511436464,303.91790771484375,90,0.5059975981712341,0.2,0.9803062677383423
