time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,98.75138457608693,3,22.02173913043478,650,1,,,,,,,,,,,
4096,100.88675163999999,9,22.56,434,2,0.2015625,0.018188566,0.0003,1109.8768711090088,-0.049237874383106825,-24.133246624469756,434.5127868652344,10,0.006987869739532471,0.2,1.0010117292404175
6144,100.99579135999998,15,22.44,389,3,0.233203125,0.020592732,0.0003,1021.2626176834107,-0.057989399321377276,-24.13271171450615,408.63385009765625,20,0.02685987949371338,0.2,1.0000650882720947
8192,104.04398634999998,21,23.0,374,4,0.259716796875,0.023475524,0.0003,865.8150116920472,-0.05986199927283451,-24.13351900577545,350.0457763671875,30,0.019384384155273438,0.2,1.001251459121704
10240,116.26085004000001,28,25.79,359,5,0.28251953125,0.024800327,0.0003,906.1864381790161,-0.06251950176374521,-24.1187790453434,456.9747314453125,40,0.02102363109588623,0.2,0.9989228248596191
12288,120.6311359,34,26.85,359,6,0.3115234375,0.028076751,0.0003,984.8201892852783,-0.06923270969709847,-24.058603113889696,414.7528076171875,50,0.02097618579864502,0.2,0.9945139288902283
14336,119.69213961999999,40,26.63,351,7,0.333642578125,0.030796262,0.0003,884.9352499008179,-0.07248421316035092,-23.98726055622101,419.2333984375,60,0.01734071969985962,0.2,0.9909437894821167
16384,133.81459493,47,29.63,346,8,0.281591796875,0.027850688,0.0003,1004.6532011032104,-0.06519755955960135,-23.930581277608873,460.3087463378906,70,0.016988813877105713,0.2,0.9867920875549316
18432,144.14404059,53,31.77,341,9,0.269775390625,0.02668497,0.0003,1147.567059135437,-0.06575735121732577,-23.901243418455124,625.1238403320312,80,0.011457622051239014,0.2,0.9872496128082275
20480,154.63047071,60,33.93,340,10,0.241064453125,0.022137254,0.0003,1303.581371498108,-0.06304066805168987,-23.920506089925766,645.3877563476562,90,0.016648590564727783,0.2,0.9883070588111877
