time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,96.95155619148939,3,21.638297872340427,610,1,,,,,,,,,,,
4096,97.57676853999999,9,22.05,433,2,0.210107421875,0.01845037,0.0003,1347.5424242019653,-0.060213285926147365,-24.11960240602493,718.4717407226562,10,-0.008960723876953125,0.2,1.000451922416687
6144,101.84092980000001,16,22.71,378,3,0.164453125,0.016350646,0.0003,994.3629367828369,-0.05948804125946481,-24.129529690742494,404.8476257324219,20,-0.04257798194885254,0.2,1.0002052783966064
8192,104.56207554000002,22,23.43,361,4,0.219091796875,0.022770662,0.0003,922.9597063064575,-0.06415563267364632,-24.13341091275215,399.6995849609375,30,-0.026392698287963867,0.2,1.0005640983581543
10240,106.65999265999999,29,23.68,352,5,0.248046875,0.024631288,0.0003,867.2757852554321,-0.06698047970421613,-24.164301061630248,334.36761474609375,40,-0.00922393798828125,0.2,1.0034428834915161
12288,105.72326299000001,35,23.64,347,6,0.306103515625,0.030297706,0.0003,859.8966829299927,-0.0740422742208466,-24.178304839134217,341.54876708984375,50,-0.016326427459716797,0.2,1.0027427673339844
14336,110.95966075999999,41,24.76,343,7,0.31845703125,0.038739458,0.0003,841.3569368362427,-0.07222495220776182,-24.142064541578293,436.1976623535156,60,-0.0037620067596435547,0.2,0.9996959567070007
16384,123.63268009,48,27.6,340,8,0.35234375,0.0386433,0.0003,823.537646484375,-0.0748840635016677,-24.075045692920686,350.51190185546875,70,0.009364902973175049,0.2,0.995357096195221
18432,122.74648713,54,27.2,336,9,0.28466796875,0.030935189,0.0003,963.4250438690185,-0.07239388607558794,-24.015677577257158,339.3347473144531,80,0.009975969791412354,0.2,0.992977499961853
20480,120.68895931000003,60,26.78,336,10,0.292529296875,0.033423945,0.0003,1059.3543508529663,-0.07041991667065303,-23.993351846933365,402.76007080078125,90,-0.022956252098083496,0.2,0.9913067817687988
