time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,98.54148541935484,3,21.956989247311828,633,1,,,,,,,,,,,
4096,94.46746883000002,9,21.14,426,2,0.18447265625,0.015457769,0.0003,1421.4725046157837,-0.05440691543626599,-24.116166615486144,673.162841796875,10,0.0008963346481323242,0.2,0.9996145963668823
6144,99.68633395,15,22.13,386,3,0.134716796875,0.014736745,0.0003,971.1663333892823,-0.05175047829397954,-24.11296953558922,334.9728088378906,20,-0.059009432792663574,0.2,0.9990095496177673
8192,97.97565910000002,22,21.91,367,4,0.1796875,0.01887591,0.0003,931.9935621261596,-0.054379986022831873,-24.100203025341035,343.216796875,30,-0.05898857116699219,0.2,0.9982382655143738
10240,101.21304377,28,22.54,356,5,0.262890625,0.02623425,0.0003,752.4934804916381,-0.06314102812611963,-24.08876740336418,327.2767639160156,40,-0.05118215084075928,0.2,0.9975684881210327
12288,102.46096294,35,22.94,342,6,0.318701171875,0.03167969,0.0003,776.1637348175049,-0.07661656134587247,-24.07670266032219,351.6745910644531,50,-0.013609170913696289,0.2,0.9964191317558289
14336,108.64820665999996,42,24.27,340,7,0.352490234375,0.037531197,0.0003,765.0562116622925,-0.0751992067147512,-24.026374757289886,370.8884582519531,60,-0.016604185104370117,0.2,0.9925606846809387
16384,113.87015538999998,48,25.42,339,8,0.331591796875,0.037134532,0.0003,846.2618337631226,-0.07389786423300393,-23.979570865631104,353.6436462402344,70,-0.00720369815826416,0.2,0.9908989071846008
18432,115.55728716,54,25.68,339,9,0.30546875,0.033573434,0.0003,961.7705093383789,-0.07135144094936549,-23.94950234889984,570.5712890625,80,-0.018133997917175293,0.2,0.9895340204238892
20480,119.75804556000001,60,26.67,336,10,0.282275390625,0.02719803,0.0003,974.568338394165,-0.0646780675946502,-23.920335525274275,412.2699279785156,90,-0.043474555015563965,0.2,0.987157940864563
