time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,100.42925929670328,3,22.395604395604394,577,1,,,,,,,,,,,
4096,99.49906012,9,22.26,417,2,0.1943359375,0.017482948,0.0003,1256.9485885620118,-0.051941702808835546,-24.16346741914749,535.37548828125,10,-0.004478335380554199,0.2,1.0039149522781372
6144,98.11002082,16,21.95,381,3,0.224267578125,0.022082783,0.0003,933.7772869110107,-0.06156624165014364,-24.187547421455385,344.4950256347656,20,-0.009099602699279785,0.2,1.0038201808929443
8192,104.54625739,22,23.51,370,4,0.272802734375,0.0248324,0.0003,812.460250377655,-0.07073572669760324,-24.218944317102434,344.0496826171875,30,0.021938204765319824,0.2,1.0063676834106445
10240,108.0578299,28,24.22,362,5,0.30830078125,0.028530587,0.0003,864.6738355636596,-0.07632832373783457,-24.22264164686203,333.85589599609375,40,0.012707173824310303,0.2,1.0053021907806396
12288,124.61815871,35,27.82,350,6,0.341796875,0.0334026,0.0003,859.4908985137939,-0.07971131970989517,-24.220315557718276,450.1798095703125,50,0.014777839183807373,0.2,1.00513756275177
14336,120.32099828,41,26.82,344,7,0.32080078125,0.03496967,0.0003,1002.0242599487304,-0.07871648198342882,-24.180288898944855,638.8572998046875,60,0.004194676876068115,0.2,1.0018795728683472
16384,117.68391793000005,47,26.33,343,8,0.327734375,0.031161793,0.0003,955.7264602661132,-0.07717099186847917,-24.140435814857483,442.157470703125,70,-0.0026923418045043945,0.2,0.99985671043396
18432,117.75918885000002,54,26.11,338,9,0.286376953125,0.026562368,0.0003,934.906676864624,-0.07449357681907713,-24.105687069892884,510.19024658203125,80,0.013939142227172852,0.2,0.9978873133659363
20480,119.42743227,61,26.44,335,10,0.229443359375,0.020380823,0.0003,929.9784162521362,-0.06602329181332607,-24.071807968616486,379.6396789550781,90,0.022860467433929443,0.2,0.9966328740119934
