time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,95.12594906250001,3,21.333333333333332,560,1,,,,,,,,,,,
4096,95.61302774999999,10,21.46,393,2,0.217138671875,0.01906111,0.0003,1117.0224052429198,-0.053245724257430994,-24.093638974428178,371.33355712890625,10,-0.008759379386901855,0.2,0.9975064396858215
6144,101.14759772,16,22.65,365,3,0.200341796875,0.019955821,0.0003,914.9674587249756,-0.05832087585586123,-24.091888320446014,387.5611877441406,20,-0.03995788097381592,0.2,0.9979649782180786
8192,107.84102101000002,22,24.21,357,4,0.251171875,0.02169021,0.0003,902.1922504425049,-0.06760478646610864,-24.104260843992233,430.63641357421875,30,-0.004244208335876465,0.2,0.9990575313568115
10240,106.38590854,29,23.63,349,5,0.27724609375,0.024372626,0.0003,912.6632810592652,-0.07430881280160975,-24.126295560598372,334.2612609863281,40,0.0011010169982910156,0.2,1.0004456043243408
12288,110.19311314000001,35,24.55,345,6,0.3162109375,0.028785225,0.0003,889.5818002700805,-0.08049919971090276,-24.153884667158128,365.89666748046875,50,-0.0003838539123535156,0.2,1.0022069215774536
14336,108.58585518,42,24.3,341,7,0.35029296875,0.0364001,0.0003,864.8172603607178,-0.08152885053423234,-24.15684027671814,405.4652099609375,60,-0.006374835968017578,0.2,1.001715898513794
16384,115.63516902999999,48,25.79,338,8,0.419189453125,0.037989825,0.0003,809.5608600616455,-0.08595018787164008,-24.17797259092331,379.36639404296875,70,0.0083543062210083,0.2,1.003490686416626
18432,119.30428667999999,54,26.59,338,9,0.23505859375,0.01958947,0.0003,869.9145517349243,-0.07015427895239554,-24.16498718261719,419.7664794921875,80,0.010862171649932861,0.2,1.0018056631088257
20480,132.01321011,60,29.39,336,10,0.15830078125,0.015794687,0.0003,732.6736285209656,-0.05620308028301224,-24.131502306461336,399.9928894042969,90,0.24788737297058105,0.2,0.9998127222061157
