rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
103.88777376136363,2048,3,548,1,23.09090909090909,,,,,,,,,,,
102.86615287000001,4096,9,440,2,22.85,0.212353515625,0.2,0.9978429079055786,10,0.018627077,0.0003,1593.896732711792,-24.102554512023925,-0.0583729500969639,-0.0054514408111572266,755.342529296875
103.87289986000002,6144,14,411,3,23.2,0.148583984375,0.2,0.9992781281471252,20,0.013662912,0.0003,1433.7659812927245,-24.098993837833405,-0.05604237629740964,-0.005901932716369629,716.4284057617188
105.47937531,8192,20,399,4,23.57,0.111865234375,0.2,0.9985928535461426,30,0.012224752,0.0003,1332.1815132141114,-24.104318857192993,-0.04718071244133171,-0.0644679069519043,488.70684814453125
106.86852929000001,10240,26,391,5,23.72,0.098779296875,0.2,0.9971091151237488,40,0.012438523,0.0003,1102.7498413085937,-24.08624737262726,-0.0463594363478478,-0.09494197368621826,385.5491027832031
112.35637171,12288,31,384,6,24.85,0.2505859375,0.2,0.9941176176071167,50,0.029132485,0.0003,891.3638030052185,-24.048382741212844,-0.06816280252533033,-0.026582837104797363,356.904052734375
123.89766029999998,14336,37,378,7,27.32,0.357080078125,0.2,0.992299497127533,60,0.037163075,0.0003,882.0709035873413,-24.00707727074623,-0.07865512807911727,0.014234364032745361,362.55609130859375
125.45837721999999,16384,44,368,8,27.98,0.360498046875,0.2,0.9918926358222961,70,0.035053737,0.0003,1096.4387718200683,-23.9836516559124,-0.08284006550093181,0.02970600128173828,495.5423889160156
120.45250346999995,18432,50,365,9,26.79,0.333740234375,0.2,0.9910581111907959,80,0.03316328,0.0003,1057.609089279175,-23.97707535624504,-0.07926865359477234,0.004155218601226807,605.7428588867188
129.20625593,20480,56,365,10,28.77,0.2525390625,0.2,0.9902061223983765,90,0.023317799,0.0003,1030.0623838424683,-23.959512186050414,-0.07209109899122268,0.029753923416137695,531.44384765625
