rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
93.11132304123713,2048,3,560,1,20.855670103092784,,,,,,,,,,,
101.62676354,4096,8,464,2,22.65,0.218115234375,0.2,1.0007213354110718,10,0.020072289,0.0003,944.6511981964111,-24.12612048983574,-0.05131532497762237,-0.0003383159637451172,302.5599365234375
100.27329113000002,6144,15,405,3,22.44,0.215771484375,0.2,1.0005927085876465,20,0.01997325,0.0003,1055.2165422439575,-24.132774621248245,-0.057470945405657406,-3.6716461181640625e-05,467.1794128417969
109.92115883999999,8192,21,380,4,24.4,0.2673828125,0.2,0.998413622379303,30,0.023480143,0.0003,906.9540468215943,-24.10857098698616,-0.06593547472148202,0.0001297593116760254,542.3103637695312
105.10342211999999,10240,27,368,5,23.47,0.296240234375,0.2,0.993935763835907,40,0.026420482,0.0003,973.2110670089721,-24.042772072553635,-0.0711913941486273,9.143352508544922e-05,461.83343505859375
112.01053599,12288,34,359,6,24.85,0.314990234375,0.2,0.9920749664306641,50,0.028274814,0.0003,816.4190847396851,-23.994550734758377,-0.07395333248423412,6.371736526489258e-05,313.0068664550781
109.15845556000001,14336,40,353,7,24.51,0.318505859375,0.2,0.9902356266975403,60,0.024052074,0.0003,838.8981838226318,-23.96188371181488,-0.08008894002705347,0.0006485581398010254,291.1026916503906
121.72087345,16384,46,349,8,27.14,0.2521484375,0.2,0.9917246699333191,70,0.02287791,0.0003,517.37517786026,-23.96974704861641,-0.06758194305875805,0.4111212491989136,213.81454467773438
119.11218697,18432,53,347,9,26.71,0.2603515625,0.2,0.9923168420791626,80,0.02415479,0.0003,602.235598564148,-23.98549583554268,-0.06751977601961698,0.4819875955581665,248.3268280029297
133.29744799000002,20480,59,346,10,29.65,0.287353515625,0.2,0.9924699068069458,90,0.025340319,0.0003,487.675537776947,-23.992954820394516,-0.07343758229690138,0.5794278681278229,162.23121643066406
