rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
93.66013854639176,2048,3,548,1,20.969072164948454,,,,,,,,,,,
97.32651460999999,4096,9,421,2,21.72,0.19765625,0.2,0.9992412328720093,10,0.019151054,0.0003,1026.3481859207154,-24.121168309450148,-0.05063412827439606,0.0010129213333129883,437.775146484375
103.19490556,6144,15,389,3,22.99,0.219873046875,0.2,0.9963218569755554,20,0.020677768,0.0003,969.1757623672486,-24.082100415229796,-0.057717481823056006,0.031748056411743164,363.1666259765625
108.52464110000001,8192,22,370,4,24.33,0.24130859375,0.2,0.9957861304283142,30,0.021651033,0.0003,957.9480554580689,-24.05345736145973,-0.061068719037575644,0.02591603994369507,465.01544189453125
115.96560573999999,10240,28,360,5,25.91,0.266064453125,0.2,0.9971927404403687,40,0.02456598,0.0003,931.6551025390625,-24.06627200245857,-0.06670339598204009,0.01588338613510132,452.2506408691406
116.33970116,12288,34,353,6,25.94,0.285546875,0.2,0.9971340298652649,50,0.024883773,0.0003,984.2980638504029,-24.07268789410591,-0.06642983301426283,0.022282958030700684,445.6944274902344
121.83009794,14336,41,348,7,26.98,0.330029296875,0.2,1.0001628398895264,60,0.030475825,0.0003,913.349013710022,-24.110060501098634,-0.07321169320784975,0.021493136882781982,495.83709716796875
128.21016022,16384,47,344,8,28.18,0.31787109375,0.2,0.9993844628334045,70,0.02644762,0.0003,1034.0370460510253,-24.11360921263695,-0.06960917797114234,0.017386555671691895,472.9697265625
130.41593244,18432,53,341,9,28.65,0.22158203125,0.2,0.9992865324020386,80,0.021722486,0.0003,929.4045520782471,-24.109794425964356,-0.06279374366567936,0.1838909387588501,442.3031005859375
142.08464408,20480,60,339,10,31.33,0.231884765625,0.2,0.9981300234794617,90,0.02050941,0.0003,959.8144720077514,-24.097229170799256,-0.05956015955307521,0.2553827166557312,556.5843505859375
