rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
99.13863333695653,2048,3,541,1,22.26086956521739,,,,,,,,,,,
105.17724646,4096,9,418,2,23.46,0.202783203125,0.2,0.9999856352806091,10,0.016555376,0.0003,1417.421490097046,-24.128013372421265,-0.05463866246282123,-0.0013265609741210938,711.4434204101562
102.38853322999998,6144,16,380,3,22.73,0.125048828125,0.2,0.998852014541626,20,0.013964109,0.0003,1134.325969696045,-24.111191296577452,-0.04600586884771474,-0.05037081241607666,421.2532043457031
105.78623825000001,8192,22,365,4,23.64,0.1931640625,0.2,0.9975476861000061,30,0.021974927,0.0003,956.994860458374,-24.092753076553343,-0.05881011416204274,-0.03590500354766846,422.37408447265625
110.62052694999998,10240,28,355,5,24.82,0.294189453125,0.2,0.9975953698158264,40,0.030045468,0.0003,846.787000465393,-24.088288897275923,-0.07181245009414852,-0.0279771089553833,334.513671875
113.37732506999998,12288,35,349,6,25.13,0.31337890625,0.2,0.9963794946670532,50,0.0316462,0.0003,860.8837921142579,-24.07630753517151,-0.07156544633908198,-0.03692150115966797,413.7312927246094
103.60521416999998,14336,41,344,7,23.12,0.384423828125,0.2,0.992696225643158,60,0.04096777,0.0003,848.7581729888916,-24.02145037651062,-0.0824975041905418,-0.0035947561264038086,403.0106506347656
112.91239834,16384,47,341,8,25.09,0.455126953125,0.2,0.9909369349479675,70,0.04623933,0.0003,808.8181865692138,-23.986987990140914,-0.07834673926699906,-0.0035477876663208008,408.5243225097656
117.34818218000002,18432,54,339,9,26.2,0.207763671875,0.2,0.9885532259941101,80,0.021299789,0.0003,897.4473791122437,-23.948818230628966,-0.06303616182995028,-0.009824395179748535,495.0279541015625
120.84040544,20480,60,337,10,26.93,0.241162109375,0.2,0.9902875423431396,90,0.023419976,0.0003,971.4207202911377,-23.944501239061356,-0.06900951409770642,-0.00014388561248779297,475.2521667480469
