rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
95.12318942708335,2048,3,541,1,21.3125,,,,,,,,,,,
100.42565538,4096,9,417,2,22.48,0.21552734375,0.2,0.9995081424713135,10,0.018081788,0.0003,1413.2046951293946,-24.11639022231102,-0.05983894051751122,0.004741191864013672,717.713623046875
101.67360491999997,6144,16,378,3,22.73,0.149951171875,0.2,0.9993076324462891,20,0.013842368,0.0003,1309.8960102081298,-24.111821419000627,-0.054845328925875944,-0.013140678405761719,509.4547424316406
103.28526173,8192,22,362,4,23.19,0.1001953125,0.2,0.9987402558326721,30,0.0122353975,0.0003,1120.1716527938843,-24.104047620296477,-0.046522884018486366,-0.018822789192199707,363.5482482910156
108.48690414,10240,28,353,5,24.5,0.096044921875,0.2,0.9973548650741577,40,0.011666249,0.0003,990.658876991272,-24.091477388143538,-0.045879337488440794,-0.0365520715713501,473.2019958496094
111.46184520000001,12288,35,347,6,24.71,0.1162109375,0.2,0.9969766139984131,50,0.013418676,0.0003,1024.5497734069825,-24.074794501066208,-0.049548673056415284,-0.07898843288421631,441.926025390625
115.08345887999998,14336,41,347,7,25.61,0.115185546875,0.2,0.9959503412246704,60,0.013271954,0.0003,1048.2728561401368,-24.060228615999222,-0.04993156610289588,-0.08062779903411865,518.28955078125
117.06241889,16384,47,344,8,25.8,0.13603515625,0.2,0.9961354732513428,70,0.016445223,0.0003,1058.8787878036499,-24.056991070508957,-0.05013213033962529,-0.07245707511901855,475.0715637207031
121.03351056,18432,53,341,9,26.77,0.206103515625,0.2,0.9981988072395325,80,0.02082441,0.0003,1028.8334146499633,-24.070165073871614,-0.0570668480853783,-0.05170333385467529,478.158935546875
122.73538538000001,20480,60,339,10,27.35,0.221337890625,0.2,0.9956842064857483,90,0.021838631,0.0003,971.1485527038574,-24.059653162956238,-0.061013009698945096,-0.031633734703063965,480.580322265625
