rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
102.4616243483146,2048,3,537,1,22.876404494382022,,,,,,,,,,,
97.88170311999998,4096,9,409,2,21.88,0.209228515625,0.2,0.9989404082298279,10,0.0175891,0.0003,1151.5251934051514,-24.107274335622787,-0.044140701630385595,8.308887481689453e-05,508.63751220703125
100.90936031999998,6144,16,376,3,22.57,0.208642578125,0.2,0.9977058172225952,20,0.018684091,0.0003,1032.8744298934937,-24.081832939386366,-0.04661959090444725,0.0006675124168395996,426.45013427734375
101.74188874000001,8192,22,361,4,22.82,0.22900390625,0.2,0.993799090385437,30,0.020299444,0.0003,940.8640338897706,-24.03572282791138,-0.054137306220945904,0.0001933574676513672,400.82501220703125
110.27559888,10240,28,353,5,24.55,0.2568359375,0.2,0.9934670925140381,40,0.023247305,0.0003,802.6952459335328,-24.019647377729417,-0.057174809041316624,8.165836334228516e-05,326.87286376953125
117.30647782,12288,35,347,6,26.02,0.2654296875,0.2,0.9928255677223206,50,0.024070922,0.0003,909.1580032348633,-24.009052181243895,-0.06215560452255886,0.00010216236114501953,431.6909484863281
118.96431393,14336,41,342,7,26.32,0.3099609375,0.2,0.9920463562011719,60,0.029446263,0.0003,952.9739078521728,-23.9927279651165,-0.05888965181657113,4.5359134674072266e-05,461.8297424316406
121.58053440000002,16384,48,341,8,26.92,0.3234375,0.2,0.9909257292747498,70,0.03782575,0.0003,979.2495363235473,-23.97763003706932,-0.06035086050396785,3.224611282348633e-05,444.1487121582031
134.58823303,18432,53,342,9,29.81,0.37470703125,0.2,0.9922072291374207,80,0.04935839,0.0003,1026.3850345611572,-23.96892631649971,-0.0583678243419854,2.7418136596679688e-05,592.0791625976562
138.58713018,20480,60,339,10,30.76,0.142041015625,0.2,0.9909660220146179,90,0.011973759,0.0003,983.6113233566284,-23.97271402478218,-0.04514097900828347,0.03506547212600708,545.5205078125
