rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
99.29306379120881,2048,3,542,1,22.263736263736263,,,,,,,,,,,
100.52624890000001,4096,9,411,2,22.41,0.003759765625,0.2,0.9999361634254456,10,0.0031213162,0.0003,1323.9259590148927,-24.124730813503266,-0.004899884536280296,0.0,355.1920471191406
108.21822860999998,6144,16,375,3,24.08,0.06962890625,0.2,0.9964824318885803,20,0.008789049,0.0003,936.6020696640014,-24.09028758406639,-0.0099536364316009,0.0,324.2293395996094
121.19893246999999,8192,22,359,4,26.74,0.081005859375,0.2,0.9920768737792969,30,0.008695244,0.0003,953.2701383590698,-24.023307067155837,-0.009617617950425483,0.0,331.59771728515625
119.30589868999999,10240,29,350,5,26.61,0.080419921875,0.2,0.9907453060150146,40,0.008136245,0.0003,1156.5539464950562,-23.9701748251915,-0.011198677956417668,0.0,513.400634765625
131.53612138999998,12288,35,347,6,29.22,0.15185546875,0.2,0.9901571869850159,50,0.011841561,0.0003,926.7105068206787,-23.94336165189743,-0.015146949121844954,0.0,351.3706359863281
144.01531839999998,14336,41,343,7,32.02,0.107177734375,0.2,0.9846089482307434,60,0.010666221,0.0003,1202.5257232666015,-23.89607492685318,-0.012739474399131723,0.0,675.8963012695312
155.52790238,16384,48,340,8,34.32,0.096337890625,0.2,0.98667973279953,70,0.008551901,0.0003,1220.1849828720092,-23.866785728931426,-0.009010478996788151,0.0,584.5816650390625
169.44642704,18432,54,337,9,37.12,0.09970703125,0.2,0.9834529757499695,80,0.011894901,0.0003,1423.3746143341064,-23.86274433732033,-0.009414785433909856,1.1920928955078125e-07,703.324951171875
175.21163806000004,20480,60,336,10,38.47,0.09541015625,0.2,0.9767401218414307,90,0.009971777,0.0003,1464.3333539962769,-23.783958435058594,-0.009823269938351586,0.0,699.8317260742188
