train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
6,-13.062236785888672,121.49822998046875,0.9984956383705139,0.0003,-0.03993266820907593,4,701,125.24913275,0,26.75,107
92,-29.728225708007812,29.09798240661621,0.9725310802459717,0.0003,-0.790836751461029,8,115,112.59497,1,24.125,193
166,-32.22541046142578,61.75428771972656,0.950913667678833,0.0003,-1.432867407798767,12,83,103.78471775000001,3,22.25,267
264,-36.749732971191406,57.66619873046875,0.9232043027877808,0.0003,-2.2615785598754883,16,70,107.0155051875,5,22.8125,365
353,-40.706329345703125,71.19871520996094,0.8990286588668823,0.0003,-2.9215970039367676,20,65,105.70700775,6,22.7,454
452,-44.9976806640625,62.109249114990234,0.8735615611076355,0.0003,-3.538726806640625,24,62,106.77418266666666,8,23.041666666666668,553
528,-51.36974334716797,62.279232025146484,0.8550436496734619,0.0003,-3.9117915630340576,28,60,103.33392835714285,10,22.464285714285715,629
605,-54.889671325683594,66.6272964477539,0.8371919989585876,0.0003,-4.352023124694824,32,59,101.08434596875,11,22.0625,706
674,-59.012969970703125,46.284576416015625,0.8216328620910645,0.0003,-4.784903526306152,36,58,98.38540794444445,13,21.52777777777778,775
741,-62.746726989746094,41.55181121826172,0.8067131042480469,0.0003,-5.281891822814941,40,57,96.172417475,14,21.05,842
817,-67.88172912597656,55.290096282958984,0.7897869348526001,0.0003,-5.783726215362549,44,56,94.98029015909091,16,20.863636363636363,918
935,-69.51824951171875,59.9111213684082,0.7643312811851501,0.0003,-6.287459373474121,48,57,98.77347420833333,18,21.583333333333332,1036
1103,-80.02726745605469,79.2974624633789,0.7300896644592285,0.0003,-7.123628616333008,52,56,106.81692686538463,21,23.153846153846153,1204
1224,-81.67263793945312,67.35236358642578,0.7063959836959839,0.0003,-7.759628772735596,56,56,109.64346205357143,23,23.660714285714285,1325
1336,-86.60431671142578,78.44825744628906,0.6851555109024048,0.0003,-8.25381851196289,60,55,111.21765606666666,25,23.95,1437
1438,-90.05274963378906,78.58769989013672,0.6664875149726868,0.0003,-8.995450019836426,64,55,111.764801875,27,24.046875,1539
1572,-89.93446350097656,97.05464172363281,0.6427425146102905,0.0003,-9.638870239257812,68,54,114.4490044411765,30,24.602941176470587,1673
1688,-96.58432006835938,103.96485900878906,0.6230458617210388,0.0003,-10.032638549804688,72,54,115.56832590277776,32,24.84722222222222,1789
1797,-100.1368179321289,128.00088500976562,0.6049153208732605,0.0003,-10.656566619873047,76,54,115.83636555263156,34,24.973684210526315,1898
1975,-99.79624938964844,114.69439697265625,0.5763934254646301,0.0003,-11.414495468139648,80,53,120.26063128749999,38,25.95,2076
2116,-103.8466796875,140.87217712402344,0.554947018623352,0.0003,-12.042795181274414,84,53,122.3094568095238,41,26.392857142857142,2217
2279,-102.83329772949219,148.4289093017578,0.5314563512802124,0.0003,-12.77668285369873,88,53,125.90286813636364,44,27.045454545454547,2380
2449,-112.58846282958984,187.14303588867188,0.5080814957618713,0.0003,-13.269959449768066,92,53,128.98613468478263,47,27.717391304347824,2550
2566,-113.1963119506836,135.42803955078125,0.49224573373794556,0.0003,-13.671628952026367,96,53,129.22196183333332,50,27.78125,2667
2693,-113.2843017578125,205.93527221679688,0.4758700430393219,0.0003,-13.249433517456055,100,53,129.68527157,52,27.94,2794
2900,-116.06425476074219,178.44442749023438,0.4503953158855438,0.0003,-14.882963180541992,104,52,134.39418709,56,28.94,3001
3068,-118.04389953613281,204.46969604492188,0.4306970536708832,0.0003,-15.330985069274902,108,53,138.53135935,59,29.76,3169
3225,-120.57703399658203,225.5093994140625,0.41317451000213623,0.0003,-15.805957794189453,112,53,141.98900562,62,30.59,3326
3351,-118.42758178710938,265.4600830078125,0.3996971845626831,0.0003,-15.989204406738281,116,53,142.93612482,64,30.87,3452
3462,-121.39361572265625,214.8375244140625,0.3882582187652588,0.0003,-15.342615127563477,120,53,143.65406005,66,31.09,3563
3614,-122.34241485595703,251.73629760742188,0.37319639325141907,0.0003,-15.574446678161621,124,53,146.36750641999998,69,31.62,3715
3741,-121.23426055908203,228.92117309570312,0.36132776737213135,0.0003,-16.022449493408203,128,53,148.88471491,72,32.13,3842
3904,-122.87918853759766,226.43267822265625,0.3468928337097168,0.0003,-16.07323455810547,132,52,153.12435749,75,32.99,4005
4057,-122.09298706054688,355.4974060058594,0.3338816463947296,0.0003,-16.819561004638672,136,52,157.24165388,78,33.83,4158
4213,-123.17559814453125,235.70640563964844,0.32106760144233704,0.0003,-16.549213409423828,140,52,161.37032999000002,81,34.72,4314
4356,-124.08514404296875,248.83511352539062,0.3100779056549072,0.0003,-15.982298851013184,144,52,164.58523673,84,35.39,4457
