train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
10,-15.505817413330078,78.11973571777344,0.9972804188728333,0.0003,-0.07243649661540985,4,580,130.99526425,0,27.75,111
114,-31.169170379638672,13.370475769042969,0.9658966660499573,0.0003,-0.9827300310134888,8,106,124.41154087499999,2,26.875,215
211,-34.902587890625,17.748645782470703,0.9378703236579895,0.0003,-1.8210793733596802,12,79,119.96728566666667,3,26.0,312
295,-38.84714126586914,15.78076171875,0.9144367575645447,0.0003,-2.513772487640381,16,70,114.317132625,5,24.75,396
398,-42.926116943359375,11.165426254272461,0.8867049813270569,0.0003,-3.369588613510132,20,67,114.90563635000001,7,24.95,499
479,-45.52702331542969,27.29887580871582,0.8655354976654053,0.0003,-4.031614303588867,24,64,111.54524041666666,8,24.166666666666668,580
577,-50.57448959350586,22.17721176147461,0.8406027555465698,0.0003,-4.827771186828613,28,63,112.38155664285713,10,24.214285714285715,678
656,-54.47803497314453,17.452573776245117,0.8210621476173401,0.0003,-5.474593162536621,32,61,109.9544456875,12,23.65625,757
744,-58.589378356933594,15.987264633178711,0.7999205589294434,0.0003,-6.18287467956543,36,60,109.4335486111111,14,23.47222222222222,845
817,-61.57916259765625,16.953861236572266,0.78287672996521,0.0003,-6.68811559677124,40,59,107.00723175,15,22.95,918
901,-64.83507537841797,20.615755081176758,0.7638901472091675,0.0003,-7.252317905426025,44,59,106.1846449090909,16,22.772727272727273,1002
979,-67.82460021972656,23.38776397705078,0.7467986345291138,0.0003,-7.8561296463012695,48,58,104.86787302083333,18,22.5,1080
1064,-70.01619720458984,23.688793182373047,0.7286866903305054,0.0003,-8.327954292297363,52,57,104.47970153846154,20,22.403846153846153,1165
1169,-73.70575714111328,22.27730369567871,0.70705646276474,0.0003,-8.978973388671875,56,57,105.91786955357144,22,22.678571428571427,1270
1269,-76.78363800048828,29.295124053955078,0.6869983673095703,0.0003,-9.866153717041016,60,56,106.72319743333334,24,22.833333333333332,1370
1356,-83.6260757446289,25.365129470825195,0.6700034141540527,0.0003,-10.392562866210938,64,56,106.427810828125,25,22.765625,1457
1505,-84.20274353027344,28.685949325561523,0.6418154835700989,0.0003,-11.447633743286133,68,55,110.86253925,28,23.61764705882353,1606
1633,-85.88191986083984,21.19357681274414,0.6186296343803406,0.0003,-12.263337135314941,72,55,113.23792684722223,31,24.083333333333332,1734
1778,-90.44569396972656,28.13605499267578,0.5935093760490417,0.0003,-13.177631378173828,76,55,116.38152781578947,33,24.723684210526315,1879
1918,-96.58346557617188,22.578327178955078,0.5703132152557373,0.0003,-14.025447845458984,80,55,118.61996255000001,36,25.2375,2019
2049,-94.52149200439453,43.855323791503906,0.5493696928024292,0.0003,-14.90163516998291,84,55,119.99677336904763,39,25.595238095238095,2150
2163,-98.83146667480469,23.367671966552734,0.5317380428314209,0.0003,-15.61275863647461,88,55,120.29972236363638,40,25.727272727272727,2264
2319,-103.46610260009766,20.451316833496094,0.5083621740341187,0.0003,-16.957740783691406,92,55,123.08493004347828,43,26.304347826086957,2420
2572,-105.97891235351562,33.0804328918457,0.4726548492908478,0.0003,-18.346752166748047,96,55,130.97534020833334,48,27.84375,2673
2759,-109.0526123046875,47.89716339111328,0.4481487274169922,0.0003,-19.175609588623047,100,55,134.87009937999997,51,28.6,2860
3025,-113.35743713378906,24.234756469726562,0.41602882742881775,0.0003,-19.452682495117188,104,56,141.90982769,55,30.15,3126
3275,-117.38871765136719,29.327423095703125,0.3881852626800537,0.0003,-21.332569122314453,108,55,148.76640598,60,31.61,3376
3464,-120.27843475341797,33.094173431396484,0.36840829253196716,0.0003,-21.751739501953125,112,55,153.09196515999997,63,32.53,3565
3668,-125.48484802246094,48.54764938354492,0.34819743037223816,0.0003,-22.94389533996582,116,55,158.70375399,67,33.73,3769
3944,-125.20719909667969,35.85932159423828,0.32254326343536377,0.0003,-23.942577362060547,120,55,166.76723894,72,35.46,4045
4176,-126.0984115600586,59.87019729614258,0.3025078773498535,0.0003,-24.175514221191406,124,55,174.27778002,76,36.97,4277
4435,-124.87550354003906,30.507518768310547,0.28186464309692383,0.0003,-24.59014320373535,128,56,182.49930037,80,38.58,4536
4700,-130.20616149902344,26.72364044189453,0.2623441517353058,0.0003,-25.86455535888672,132,56,192.17285442,85,40.44,4801
4954,-122.1949691772461,31.642223358154297,0.24509106576442719,0.0003,-25.510936737060547,136,56,200.99411335000005,89,42.1,5055
5212,-132.7653045654297,29.405776977539062,0.22881007194519043,0.0003,-26.621559143066406,140,56,210.24477104,94,43.95,5313
