train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
4,-11.973651885986328,233.66195678710938,0.9991002678871155,0.0003,-0.02559732273221016,4,887,121.22454350000001,0,26.25,105
111,-28.882896423339844,11.911741256713867,0.9675233364105225,0.0003,-0.9409942626953125,8,135,123.203037375,1,26.5,212
196,-32.14464569091797,11.230145454406738,0.9432168006896973,0.0003,-1.6615747213363647,12,96,114.18309249999999,3,24.75,297
297,-35.82936477661133,19.653276443481445,0.9151887893676758,0.0003,-2.5001978874206543,16,77,115.0156014375,5,24.875,398
398,-40.01192855834961,16.041290283203125,0.8880079984664917,0.0003,-3.3509416580200195,20,69,115.46034645,7,24.95,499
511,-44.873870849609375,9.974050521850586,0.8587703108787537,0.0003,-4.227384567260742,24,64,117.88518758333335,9,25.5,612
652,-50.36293029785156,10.27959156036377,0.8238590955734253,0.0003,-5.326739311218262,28,61,124.94530017857143,12,26.892857142857142,753
801,-57.875396728515625,19.718372344970703,0.7887685298919678,0.0003,-6.350379943847656,32,59,130.04223075000002,15,28.1875,902
970,-65.51811218261719,7.035470485687256,0.7508841156959534,0.0003,-7.5913238525390625,36,60,137.01075880555558,17,29.75,1071
1143,-71.36065673828125,6.304781913757324,0.7142493724822998,0.0003,-8.847259521484375,40,60,142.54660867500002,20,31.1,1244
1305,-79.04087829589844,7.605861663818359,0.6814393401145935,0.0003,-10.010663986206055,44,58,146.9570975227273,23,31.954545454545453,1406
1452,-85.03600311279297,10.501884460449219,0.6529023051261902,0.0003,-10.970584869384766,48,58,148.99273770833335,26,32.354166666666664,1553
1636,-89.74714660644531,12.04334831237793,0.6189427375793457,0.0003,-12.448149681091309,52,58,154.64039944230768,29,33.40384615384615,1737
1868,-97.72300720214844,9.288654327392578,0.578607976436615,0.0003,-13.966984748840332,56,58,164.20200560714284,33,35.160714285714285,1969
2112,-108.55142211914062,8.785402297973633,0.5390908718109131,0.0003,-15.441649436950684,60,58,172.0535128333333,37,36.88333333333333,2213
2336,-114.54898834228516,10.12232780456543,0.505400538444519,0.0003,-17.228790283203125,64,58,178.268021375,41,38.078125,2437
2581,-118.57157897949219,16.599502563476562,0.471085786819458,0.0003,-18.190170288085938,68,58,185.8683993088235,46,39.44117647058823,2682
2857,-126.42322540283203,12.208633422851562,0.43556955456733704,0.0003,-19.855880737304688,72,58,194.80727349999998,50,41.083333333333336,2958
