train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
11,13.176961898803711,568.8134765625,1.0000466108322144,0.0003,0.0006819571135565639,4,492,132.11626725,0,28.0,112
112,-24.392047882080078,29.080028533935547,0.9667476415634155,0.0003,-0.9428865909576416,8,94,123.17576837500002,2,26.625,213
197,-29.495574951171875,32.444984436035156,0.9405998587608337,0.0003,-1.7205889225006104,12,75,115.53070816666668,3,24.833333333333332,298
300,-33.00336456298828,34.18125915527344,0.9107553362846375,0.0003,-2.6141788959503174,16,66,116.37305781250001,6,25.0625,401
411,-37.49164581298828,22.04513931274414,0.8805046677589417,0.0003,-3.4622061252593994,20,69,118.76195835000001,7,25.6,512
525,-41.79176330566406,22.130260467529297,0.8514548540115356,0.0003,-4.201183795928955,24,72,120.76175570833334,8,26.083333333333332,626
622,-46.71768569946289,21.177207946777344,0.8281164765357971,0.0003,-4.7736968994140625,28,73,118.5214095357143,9,25.821428571428573,723
712,-50.79859924316406,24.66771697998047,0.8069645166397095,0.0003,-5.496500015258789,32,69,116.47650418750001,11,25.40625,813
798,-54.021244049072266,12.778365135192871,0.7868284583091736,0.0003,-6.366947174072266,36,67,114.33235194444445,13,24.97222222222222,899
876,-56.253170013427734,18.16228675842285,0.768527626991272,0.0003,-7.081369400024414,40,66,111.754148325,14,24.425,977
944,-57.484588623046875,23.62615203857422,0.752758264541626,0.0003,-7.639325141906738,44,64,108.65163177272728,16,23.75,1045
1019,-61.325584411621094,48.77241516113281,0.7356303930282593,0.0003,-8.39816665649414,48,64,106.76420618750001,17,23.333333333333332,1120
1115,-65.59638977050781,135.56585693359375,0.7143265008926392,0.0003,-9.120377540588379,52,63,106.99434151923077,19,23.384615384615383,1216
1192,-66.25687408447266,60.85422897338867,0.6977100968360901,0.0003,-9.742048263549805,56,62,105.6866669107143,20,23.089285714285715,1293
1267,-66.6319580078125,41.381813049316406,0.681954562664032,0.0003,-10.41105842590332,60,61,104.29860750000002,22,22.8,1368
1337,-70.15821838378906,34.23286437988281,0.6675867438316345,0.0003,-10.954900741577148,64,62,102.83986043750001,22,22.46875,1438
1421,-75.19465637207031,39.7567024230957,0.6509195566177368,0.0003,-11.463005065917969,68,63,102.41839702941176,24,22.38235294117647,1522
1493,-74.6444091796875,51.67255401611328,0.6371129155158997,0.0003,-12.065326690673828,72,63,101.33634044444445,24,22.13888888888889,1594
1560,-75.38005065917969,35.76636505126953,0.6247004270553589,0.0003,-12.326183319091797,76,63,100.01771160526317,25,21.855263157894736,1661
1628,-79.33261108398438,33.69268798828125,0.6124714016914368,0.0003,-12.575531005859375,80,63,98.8881827,27,21.6125,1729
1705,-80.70620727539062,46.30693817138672,0.5989550948143005,0.0003,-13.16799259185791,84,62,98.38808155952381,28,21.5,1806
1816,-82.23493957519531,27.781089782714844,0.5799674391746521,0.0003,-13.981191635131836,88,61,99.71674468181817,30,21.78409090909091,1917
1976,-84.59529113769531,70.21525573730469,0.5537052154541016,0.0003,-15.15791130065918,92,61,103.72525844565213,33,22.57608695652174,2077
2127,-85.71540832519531,37.84616470336914,0.5301616787910461,0.0003,-16.07891845703125,96,60,107.12575342708334,36,23.208333333333332,2228
2211,-85.38365936279297,57.738739013671875,0.5173996686935425,0.0003,-16.688316345214844,100,60,106.70010844000002,38,23.12,2312
2311,-89.70310974121094,73.19464111328125,0.5025595426559448,0.0003,-17.31264877319336,104,59,106.22049207999997,40,23.0,2412
2400,-91.90003204345703,44.90401077270508,0.48971518874168396,0.0003,-17.92474365234375,108,59,105.94784081999997,42,22.88,2501
2583,-91.64176940917969,72.9332275390625,0.4642987549304962,0.0003,-19.184568405151367,112,58,110.97569451999999,45,23.86,2684
2703,-91.99644470214844,74.18959045410156,0.44854408502578735,0.0003,-19.615192413330078,116,57,111.72192043,48,24.03,2804
2919,-96.56134033203125,64.26885986328125,0.4218073785305023,0.0003,-20.927841186523438,120,57,116.62048666000001,52,25.08,3020
3131,-96.12443542480469,97.23118591308594,0.39723530411720276,0.0003,-22.23911476135254,124,57,121.66832470000001,56,26.06,3232
3310,-95.70901489257812,54.95408630371094,0.3777838945388794,0.0003,-22.145065307617188,128,57,125.90578399,59,26.88,3411
3451,-96.04811096191406,60.94371795654297,0.36343199014663696,0.0003,-22.620296478271484,132,56,128.80880427000002,62,27.39,3552
