train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
9,7.308381080627441,532.834716796875,0.9988848567008972,0.0003,-0.018051033839583397,4,625,129.8459235,0,27.5,110
107,-24.783740997314453,42.60091018676758,0.9666610360145569,0.0003,-0.9575597047805786,8,99,121.45967974999999,2,26.0,208
188,-27.01861572265625,34.15167999267578,0.9419375658035278,0.0003,-1.6801247596740723,12,78,112.79977983333333,3,24.083333333333332,289
254,-29.465133666992188,52.717411041259766,0.9229058623313904,0.0003,-2.1692147254943848,16,71,103.3525133125,4,22.1875,355
324,-33.139625549316406,73.31758117675781,0.9034472107887268,0.0003,-2.8020682334899902,20,68,98.8486316,6,21.25,425
387,-35.421051025390625,72.76419067382812,0.8865169286727905,0.0003,-3.2358016967773438,24,65,94.16780108333334,7,20.333333333333332,488
451,-39.551307678222656,55.80377960205078,0.8700566291809082,0.0003,-3.597424030303955,28,62,90.96217192857144,8,19.714285714285715,552
514,-44.245174407958984,99.12552642822266,0.8545156717300415,0.0003,-3.933650493621826,32,61,88.34116540625,10,19.21875,615
575,-47.71897506713867,85.55368041992188,0.8399412631988525,0.0003,-4.3766984939575195,36,60,86.05045836111111,11,18.77777777777778,676
635,-51.54857635498047,79.67411804199219,0.8259087204933167,0.0003,-4.744585990905762,40,59,83.8767413,12,18.4,736
697,-53.118438720703125,55.84712600708008,0.8115615248680115,0.0003,-5.216479301452637,44,58,82.52904550000001,13,18.136363636363637,798
758,-55.93203353881836,44.21906280517578,0.7975173592567444,0.0003,-5.632152557373047,48,58,81.26522779166667,14,17.895833333333332,859
821,-57.83249282836914,68.33381652832031,0.7831173539161682,0.0003,-6.1086812019348145,52,58,80.34355944230768,15,17.73076923076923,922
885,-62.34440612792969,47.352020263671875,0.7685518264770508,0.0003,-6.677055358886719,56,57,79.641857125,17,17.607142857142858,986
950,-63.667903900146484,35.47628402709961,0.7538636922836304,0.0003,-7.259143829345703,60,57,79.12297296666667,18,17.516666666666666,1051
1014,-65.82592010498047,56.074378967285156,0.7396208643913269,0.0003,-7.726494312286377,64,56,78.57100271875001,19,17.421875,1115
1079,-68.10808563232422,45.32505798339844,0.7254747152328491,0.0003,-8.334603309631348,68,56,78.117816,20,17.352941176470587,1180
1147,-67.60618591308594,57.26597595214844,0.7110004425048828,0.0003,-8.679558753967285,72,55,78.02132031944444,22,17.333333333333332,1248
1212,-73.08291625976562,61.308326721191406,0.6974322199821472,0.0003,-9.213678359985352,76,55,77.76325039473684,23,17.276315789473685,1313
1278,-73.25379180908203,41.29033279418945,0.6839126348495483,0.0003,-9.689262390136719,80,55,77.5000030875,24,17.2375,1379
1344,-72.05270385742188,38.46220016479492,0.6707348823547363,0.0003,-10.096269607543945,84,55,77.25458327380953,26,17.202380952380953,1445
1410,-75.85269165039062,51.07097625732422,0.6579180359840393,0.0003,-10.473928451538086,88,55,77.04486893181819,27,17.170454545454547,1511
1475,-77.63496398925781,36.33881378173828,0.6456184387207031,0.0003,-10.879945755004883,92,55,76.86061867391304,28,17.130434782608695,1576
1541,-79.12528228759766,40.652774810791016,0.6334095001220703,0.0003,-11.237909317016602,96,54,76.63326558333334,29,17.104166666666668,1642
1606,-79.26126861572266,36.02484130859375,0.6216369867324829,0.0003,-11.63728141784668,100,54,76.42988462,31,17.07,1707
1670,-80.89839172363281,27.307514190673828,0.6103122234344482,0.0003,-12.241822242736816,104,54,74.03602998000001,32,16.61,1771
1735,-88.72209167480469,27.775964736938477,0.5990080237388611,0.0003,-12.397668838500977,108,54,72.35032742,33,16.28,1836
1799,-82.1373291015625,30.12054443359375,0.5881086587905884,0.0003,-12.825128555297852,112,54,71.2781298,34,16.11,1900
1862,-81.29380798339844,40.29768371582031,0.5775564312934875,0.0003,-13.363473892211914,116,54,70.95347956,36,16.08,1963
1927,-82.82315826416016,48.79766082763672,0.5668700933456421,0.0003,-13.495572090148926,120,54,70.58279590000001,37,16.03,2028
1993,-85.50577545166016,30.255451202392578,0.5562689304351807,0.0003,-13.820716857910156,124,53,70.67866805,38,16.06,2094
2059,-86.6576919555664,34.075767517089844,0.5458436608314514,0.0003,-14.498022079467773,128,53,70.72273153,40,16.08,2160
2125,-87.77099609375,27.727764129638672,0.5355886220932007,0.0003,-14.734027862548828,132,53,70.85038379000001,41,16.11,2226
2191,-84.39419555664062,41.61085510253906,0.5254834294319153,0.0003,-15.465893745422363,136,53,71.05190599000001,42,16.16,2292
2256,-84.23136901855469,35.65691375732422,0.5156463384628296,0.0003,-15.755452156066895,140,53,71.33482901,43,16.21,2357
2321,-85.57980346679688,33.41416931152344,0.5059193968772888,0.0003,-16.468090057373047,144,53,71.48849105000001,45,16.24,2422
2389,-86.97393035888672,21.89940071105957,0.4959147274494171,0.0003,-16.805973052978516,148,53,71.84016822000001,46,16.31,2490
