train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
18,6.198885917663574,403.7529296875,0.999732494354248,0.0003,-0.004987542517483234,4,359,137.28394775,0,29.75,119
93,-23.715641021728516,33.2957763671875,0.9739152789115906,0.0003,-0.7334727048873901,8,105,112.254058875,1,24.25,194
194,-27.380069732666016,39.54899978637695,0.942364513874054,0.0003,-1.6503528356552124,12,78,114.90817341666667,3,24.583333333333332,295
269,-31.089298248291016,36.86933135986328,0.9202576279640198,0.0003,-2.3292789459228516,16,69,107.8102335625,5,23.125,370
344,-34.57960891723633,47.727195739746094,0.8988873958587646,0.0003,-2.9780988693237305,20,65,103.53952435000001,6,22.25,445
434,-37.22766876220703,61.46803665161133,0.8743112087249756,0.0003,-3.73128604888916,24,63,103.75649983333331,8,22.291666666666668,535
503,-41.32474136352539,45.45280456542969,0.856235146522522,0.0003,-4.216933250427246,28,61,100.21061478571427,9,21.571428571428573,604
570,-42.92934036254883,43.94549560546875,0.839497983455658,0.0003,-4.550746917724609,32,60,97.24487049999999,11,20.96875,671
633,-47.21250534057617,30.512359619140625,0.8246364593505859,0.0003,-4.833408355712891,36,59,94.40785288888887,12,20.38888888888889,734
700,-51.33843231201172,39.024169921875,0.809397280216217,0.0003,-5.163939952850342,40,58,92.614947325,13,20.025,801
768,-53.76103973388672,57.263206481933594,0.7941876649856567,0.0003,-5.674594402313232,44,58,91.15376059090909,14,19.75,869
842,-57.3525390625,59.558006286621094,0.7775329947471619,0.0003,-6.432901382446289,48,57,90.60759635416666,16,19.645833333333332,943
916,-57.55341339111328,45.06193923950195,0.7608423829078674,0.0003,-6.90199089050293,52,56,90.04368373076923,17,19.557692307692307,1017
991,-62.073463439941406,35.07490539550781,0.7441644072532654,0.0003,-7.712017059326172,56,56,89.43430135714286,19,19.5,1092
1077,-64.59284210205078,51.33179473876953,0.7253283262252808,0.0003,-8.270793914794922,60,55,89.90345746666665,21,19.633333333333333,1178
1167,-67.86050415039062,38.5415153503418,0.7061352133750916,0.0003,-9.161235809326172,64,55,90.648491765625,22,19.8125,1268
1241,-69.30799865722656,36.86222457885742,0.6906186938285828,0.0003,-9.760960578918457,68,54,90.30263735294116,24,19.735294117647058,1342
1326,-72.49764251708984,51.67338562011719,0.6731791496276855,0.0003,-10.312499046325684,72,54,90.83584804166667,26,19.819444444444443,1427
1413,-72.97966003417969,69.54528045654297,0.6558714509010315,0.0003,-10.962539672851562,76,54,91.44059189473683,27,19.92105263157895,1514
1482,-72.6361312866211,59.83644104003906,0.6425236463546753,0.0003,-11.625123023986816,80,54,90.8191919625,29,19.7875,1583
1549,-75.48019409179688,54.400047302246094,0.6299054622650146,0.0003,-11.748619079589844,84,53,90.14048857142856,30,19.642857142857142,1650
1626,-78.30388641357422,82.80322265625,0.6157364845275879,0.0003,-12.518411636352539,88,53,89.9857775,32,19.625,1727
1708,-76.14159393310547,56.609596252441406,0.6010075807571411,0.0003,-13.06639575958252,92,53,90.01491234782608,33,19.66304347826087,1809
1800,-77.3873062133789,69.52468872070312,0.5849894285202026,0.0003,-13.75876235961914,96,53,90.62717449999998,35,19.802083333333332,1901
1920,-79.21324157714844,61.189517974853516,0.5648123621940613,0.0003,-14.44686508178711,100,53,92.37064914999999,37,20.21,2021
2069,-86.51668548583984,88.40536499023438,0.5407319068908691,0.0003,-15.514874458312988,104,53,93.87729752,40,20.51,2170
2184,-88.84000396728516,50.179141998291016,0.522935152053833,0.0003,-16.04909896850586,108,53,95.74952753000001,42,20.91,2285
2320,-89.18975830078125,65.71116638183594,0.5027297735214233,0.0003,-16.995094299316406,112,53,97.2137751,45,21.26,2421
2438,-92.27433776855469,118.76712799072266,0.48589950799942017,0.0003,-17.099102020263672,116,53,99.1087822,47,21.69,2539
2540,-91.39505004882812,132.08694458007812,0.47225895524024963,0.0003,-17.652223587036133,120,53,100.25233101000002,49,21.96,2641
2645,-95.03235626220703,91.32479858398438,0.4585742950439453,0.0003,-18.09825897216797,124,53,100.86098511,51,22.11,2746
2745,-93.3901138305664,69.01997375488281,0.4458414316177368,0.0003,-19.07080078125,128,52,102.49604266,53,22.42,2846
2827,-94.52680969238281,119.14533996582031,0.43555811047554016,0.0003,-19.626338958740234,132,52,103.28292505000002,55,22.57,2928
2967,-97.73444366455078,76.72988891601562,0.41869452595710754,0.0003,-20.285137176513672,136,52,107.0325302,58,23.34,3068
3119,-100.17462158203125,107.58036804199219,0.40110522508621216,0.0003,-20.654834747314453,140,53,111.11655579,60,24.19,3220
3258,-97.24876403808594,83.37384033203125,0.3858632743358612,0.0003,-20.98963737487793,144,53,114.48148779000002,62,24.9,3359
3352,-97.11689758300781,100.38703918457031,0.3758664131164551,0.0003,-22.29001808166504,148,54,115.26687702,63,25.1,3453
3477,-99.09329986572266,134.68923950195312,0.36290618777275085,0.0003,-21.958370208740234,152,54,117.66399036999998,65,25.61,3578
3629,-98.50224304199219,82.92428588867188,0.3477634787559509,0.0003,-23.216299057006836,156,54,121.41196131000001,68,26.38,3730
3786,-96.39248657226562,85.32211303710938,0.3328060209751129,0.0003,-23.42514991760254,160,54,125.2027882,70,27.09,3887
3961,-98.09562683105469,129.0581817626953,0.31709718704223633,0.0003,-25.02918243408203,164,55,129.86592212,72,27.94,4062
4166,-100.05404663085938,65.00381469726562,0.29951196908950806,0.0003,-25.111915588378906,168,55,135.87528321999997,76,29.25,4267
4327,-98.99649810791016,106.20565032958984,0.2864834666252136,0.0003,-25.511367797851562,172,56,139.49135716,78,30.01,4428
4499,-99.84774017333984,70.5075454711914,0.27325358986854553,0.0003,-25.922779083251953,176,57,143.32081101000003,80,30.86,4600
4697,-98.50200653076172,68.11672973632812,0.2588457465171814,0.0003,-26.6729736328125,180,57,149.83769761000002,83,32.15,4798
4944,-98.53687286376953,70.86201477050781,0.24211622774600983,0.0003,-27.661224365234375,184,57,158.82338981,88,33.95,5045
5201,-96.86370849609375,70.77751159667969,0.22597411274909973,0.0003,-27.234100341796875,188,57,168.55252657,92,35.75,5302
5407,-102.51557159423828,60.24549102783203,0.21403998136520386,0.0003,-28.831865310668945,192,57,174.77397308999997,95,36.99,5508
5674,-100.81655883789062,68.78448486328125,0.1996922641992569,0.0003,-27.730724334716797,196,57,183.55262266000005,99,38.74,5775
5890,-102.30921936035156,73.79072570800781,0.1887558102607727,0.0003,-26.75286293029785,200,57,188.48375896000002,103,39.7,5991
6060,-107.96400451660156,123.67326354980469,0.18077006936073303,0.0003,-26.745229721069336,204,58,189.98265372999998,105,39.91,6161
6322,-105.17497253417969,70.66439056396484,0.16907578706741333,0.0003,-26.102310180664062,208,58,197.07024736000002,109,41.38,6423
6524,-108.49178314208984,94.0338363647461,0.16047626733779907,0.0003,-28.26987075805664,212,58,200.27879167999998,112,42.04,6625
6776,-99.51708221435547,91.46765899658203,0.15040814876556396,0.0003,-24.070798873901367,216,59,206.68405718999998,116,43.38,6877
6950,-108.17157745361328,66.35743713378906,0.1440965235233307,0.0003,-26.236101150512695,220,59,209.84366523,119,44.1,7051
7117,-97.62979125976562,107.78144836425781,0.13821813464164734,0.0003,-25.269073486328125,224,59,212.45740179,121,44.72,7218
7390,-101.13207244873047,93.31816101074219,0.12914013862609863,0.0003,-26.32719612121582,228,59,221.32443953,126,46.45,7491
7668,-103.54832458496094,79.79434967041016,0.12062006443738937,0.0003,-25.81144905090332,232,59,230.62973874999997,131,48.41,7769
7898,-101.29005432128906,71.67662048339844,0.11400844156742096,0.0003,-23.310075759887695,236,59,235.18851729999997,135,49.31,7999
8112,-105.00813293457031,316.9266662597656,0.10822481662034988,0.0003,-22.323467254638672,240,59,238.94738214,138,49.93,8213
8315,-105.66436767578125,84.45430755615234,0.10296228528022766,0.0003,-24.336999893188477,244,59,242.37081278000005,142,50.57,8416
8535,-104.03019714355469,80.46656799316406,0.09772687405347824,0.0003,-23.189651489257812,248,59,249.21406911000008,146,51.83,8636
8809,-108.90594482421875,79.47373962402344,0.09156453609466553,0.0003,-20.662261962890625,252,59,256.19130139000004,150,53.32,8910
9026,-107.99241638183594,88.02096557617188,0.08709046244621277,0.0003,-19.02366828918457,256,59,259.25999115999997,154,53.97,9127
9210,-112.28919219970703,77.3864517211914,0.08350558578968048,0.0003,-20.727828979492188,260,58,260.52138861,157,54.24,9311
9415,-107.05345153808594,88.71440887451172,0.07976672053337097,0.0003,-18.661052703857422,264,58,261.65686035999994,161,54.54,9516
9643,-108.26620483398438,98.33258819580078,0.07610094547271729,0.0003,-14.629586219787598,268,58,263.70710079,165,54.77,9744
9890,-101.78780364990234,102.5572509765625,0.07227368652820587,0.0003,-17.57474708557129,272,58,268.62111759,169,55.63,9991
10208,-105.6309585571289,90.82868957519531,0.06783033162355423,0.0003,-13.033467292785645,276,58,276.33944128,175,57.09,10309
10481,-108.88056945800781,83.00186157226562,0.06467233598232269,0.0003,-14.002406120300293,280,58,280.09014296,180,57.84,10582
10712,-110.66191101074219,92.40811157226562,0.062072642147541046,0.0003,-8.010555267333984,284,58,278.48619388,184,57.68,10813
10929,-107.12684631347656,89.66012573242188,0.0600547268986702,0.0003,-7.063515663146973,288,58,276.22108862000005,187,57.28,11030
11193,-104.3013687133789,85.70774841308594,0.05798471346497536,0.0003,-6.87113094329834,292,58,279.45462076,192,57.86,11294
11514,-107.39382934570312,96.64181518554688,0.05604838952422142,0.0003,-3.9560296535491943,296,58,282.3848483600001,198,58.4,11615
11758,-105.2762451171875,92.83366394042969,0.054369665682315826,0.0003,-5.134130954742432,300,58,284.81738114,202,58.68,11859
12050,-103.20671081542969,95.94288635253906,0.05280125513672829,0.0003,-3.881145715713501,304,58,290.60596000999993,207,59.9,12151
12275,-113.96397399902344,99.43323516845703,0.05157376825809479,0.0003,-2.3630080223083496,308,58,289.16006557000003,211,59.53,12376
12498,-109.68167114257812,85.43643951416016,0.05022599548101425,0.0003,-1.9351335763931274,312,58,290.87990028999997,215,59.74,12599
12721,-107.42060089111328,95.27566528320312,0.04929478093981743,0.0003,-3.2643392086029053,316,58,290.56124344999995,219,59.45,12822
12983,-106.59149169921875,85.4190673828125,0.04827673360705376,0.0003,-0.6829286813735962,320,58,296.4226959,224,60.33,13084
13289,-110.1194076538086,71.10517883300781,0.048196837306022644,0.0003,-3.2855305671691895,324,58,303.9904513700001,230,61.72,13390
13556,-108.93754577636719,94.72290802001953,0.04847979173064232,0.0003,1.6472746133804321,328,58,303.0837855,235,61.66,13657
13735,-109.26716613769531,117.92121124267578,0.048355501145124435,0.0003,-0.5772428512573242,332,58,299.38454254000004,238,60.67,13836
13924,-108.89305114746094,124.06130981445312,0.04841874539852142,0.0003,-3.0977790355682373,336,57,298.17168003,242,60.26,14025
14232,-111.68849182128906,96.97048950195312,0.04742690175771713,0.0003,0.6445440053939819,340,57,301.9609438300001,247,61.2,14333
14419,-110.98173522949219,74.84259033203125,0.046713732182979584,0.0003,1.4252121448516846,344,57,301.69267606,250,61.04,14520
14580,-108.1907958984375,96.77212524414062,0.04635550454258919,0.0003,2.606659412384033,348,57,299.12947124000004,253,60.45,14681
14823,-108.31078338623047,88.47067260742188,0.0462399460375309,0.0003,-4.850622177124023,352,57,298.06099115,258,60.14,14924
15135,-114.73393249511719,92.33521270751953,0.04532124474644661,0.0003,3.960338592529297,356,57,303.02164092,263,61.09,15236
15521,-108.31124877929688,79.4429702758789,0.04556477069854736,0.0003,-4.680555820465088,360,57,313.03702720999996,269,63.11,15622
15821,-108.73318481445312,106.72743225097656,0.04501432552933693,0.0003,-1.3917970657348633,364,57,317.48639418000005,274,64.06,15922
16082,-108.06547546386719,100.571044921875,0.04489649832248688,0.0003,1.2698136568069458,368,57,318.60290394,279,64.39,16183
16292,-108.09410858154297,78.29408264160156,0.044621020555496216,0.0003,-1.1550955772399902,372,57,316.36123361,283,64.02,16393
16521,-109.77998352050781,73.87727355957031,0.044715311378240585,0.0003,1.9145126342773438,376,57,312.25785945999996,287,63.13,16622
16826,-101.50164794921875,98.09000396728516,0.04478134214878082,0.0003,0.2408519983291626,380,57,313.49667653,293,63.45,16927
17065,-105.81522369384766,105.38082885742188,0.045767150819301605,0.0003,0.4715927243232727,384,57,315.04019565,297,63.53,17166
17304,-107.87127685546875,78.82888793945312,0.04626099765300751,0.0003,-4.128318786621094,388,57,315.96664207,301,63.75,17405
17571,-101.76454162597656,100.78572082519531,0.044493380934000015,0.0003,0.8120622634887695,392,57,316.7857377899999,306,63.78,17672
17800,-103.13351440429688,105.87417602539062,0.04470324516296387,0.0003,-2.5189075469970703,396,57,311.78726709,310,62.86,17901
18060,-107.65199279785156,135.668701171875,0.04419656842947006,0.0003,0.9819616079330444,400,57,311.33366015,315,63.02,18161
18395,-106.57410430908203,85.11283111572266,0.04470796883106232,0.0003,-0.5876554846763611,404,57,313.26739812,321,63.45,18496
18675,-109.11817932128906,92.53398132324219,0.04549540579319,0.0003,-1.0438154935836792,408,57,316.07675129999996,326,64.0,18776
18960,-106.6322250366211,93.578369140625,0.0441499762237072,0.0003,0.1959247589111328,412,57,318.8135607599999,331,64.62,19061
19264,-113.2688980102539,77.91033935546875,0.043720316141843796,0.0003,-3.283163070678711,416,57,321.90733618999997,336,65.43,19365
19526,-108.68701934814453,66.92384338378906,0.04431886970996857,0.0003,-0.4620841145515442,420,57,321.53731734,340,65.43,19627
19779,-105.74200439453125,93.27903747558594,0.04438631609082222,0.0003,1.4944567680358887,424,57,319.18414002,345,64.9,19880
