train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
15,-19.12614631652832,42.19151306152344,0.9957359433174133,0.0003,-0.11505329608917236,4,403,134.90096075,0,29.0,116
127,-32.142024993896484,15.643775939941406,0.961742639541626,0.0003,-1.10971999168396,8,92,132.01476524999998,2,28.5,228
226,-35.90031051635742,7.524162292480469,0.9331931471824646,0.0003,-1.9617985486984253,12,75,126.27420775,4,27.25,327
311,-39.26033020019531,9.368570327758789,0.9095154404640198,0.0003,-2.6734619140625,16,69,118.917509875,5,25.75,412
412,-44.276878356933594,12.698796272277832,0.8823263049125671,0.0003,-3.5168137550354004,20,65,119.42960305,7,25.65,513
536,-48.991233825683594,11.941826820373535,0.8503501415252686,0.0003,-4.4911346435546875,24,61,123.43386895833333,10,26.541666666666668,637
678,-55.57606887817383,8.986737251281738,0.815584123134613,0.0003,-5.582993984222412,28,59,129.61213514285717,13,27.821428571428573,779
837,-64.61460876464844,9.271272659301758,0.7783056497573853,0.0003,-6.806642532348633,32,59,137.15075393749999,15,29.3125,938
922,-65.24369812011719,23.027690887451172,0.7591385841369629,0.0003,-7.455033779144287,36,58,133.02106144444443,17,28.416666666666668,1023
1022,-71.48487854003906,19.620389938354492,0.737280547618866,0.0003,-8.11280632019043,40,58,131.34100225,19,28.075,1123
1162,-75.13157653808594,16.89919090270996,0.7078102827072144,0.0003,-9.102058410644531,44,57,134.15279572727275,21,28.704545454545453,1263
1276,-78.84341430664062,18.581912994384766,0.6847387552261353,0.0003,-10.005178451538086,48,56,133.87597254166667,24,28.6875,1377
1398,-83.23892974853516,22.905254364013672,0.6608684659004211,0.0003,-10.879009246826172,52,56,134.40820440384616,26,28.826923076923077,1499
1471,-83.090576171875,27.46977424621582,0.646994948387146,0.0003,-11.262645721435547,56,56,130.75766758928572,27,28.071428571428573,1572
1583,-89.17607116699219,20.168237686157227,0.6265033483505249,0.0003,-11.73929214477539,60,55,130.8197210333333,30,28.066666666666666,1684
1750,-94.68939971923828,18.240108489990234,0.5974788069725037,0.0003,-13.047731399536133,64,56,134.78402865625,32,28.921875,1851
1960,-104.22596740722656,15.358055114746094,0.5629271268844604,0.0003,-14.180173873901367,68,56,141.6576510735294,36,30.308823529411764,2061
2116,-108.32382202148438,25.06204605102539,0.5385739803314209,0.0003,-15.247346878051758,72,55,143.50873291666664,39,30.791666666666668,2217
2259,-108.07430267333984,29.737930297851562,0.5172892212867737,0.0003,-15.886765480041504,76,55,144.28360664473684,42,31.05263157894737,2360
2440,-116.8022232055664,27.36615562438965,0.49159368872642517,0.0003,-17.04073715209961,80,55,147.836538075,45,31.7625,2541
2702,-116.93470001220703,44.500404357910156,0.45671576261520386,0.0003,-17.763294219970703,84,55,156.40351672619047,50,33.36904761904762,2803
