train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
26,-27.031391143798828,23.17769432067871,0.9923588633537292,0.0003,-0.21395693719387054,4,292,144.0990825,0,31.75,127
148,-32.96302795410156,6.776920318603516,0.9558305740356445,0.0003,-1.2860543727874756,8,134,143.214069875,1,31.125,249
253,-37.26129913330078,3.952627420425415,0.9259036183357239,0.0003,-2.17311429977417,12,112,136.22158891666666,3,29.5,354
358,-41.64881134033203,9.596588134765625,0.8971410393714905,0.0003,-3.05643630027771,16,94,132.5473325,4,28.6875,459
449,-45.281761169433594,11.428915023803711,0.8730524778366089,0.0003,-3.816352605819702,20,85,127.5114844,6,27.5,550
553,-50.068328857421875,10.238554000854492,0.846286952495575,0.0003,-4.68803596496582,24,77,126.26906675,8,27.25,654
654,-53.90619659423828,7.3152618408203125,0.8211418390274048,0.0003,-5.476828098297119,28,73,124.64299310714286,10,26.964285714285715,755
743,-58.08802032470703,10.092771530151367,0.7998114228248596,0.0003,-6.146573066711426,32,70,121.97586081249999,11,26.375,844
847,-61.444366455078125,7.05310583114624,0.775571346282959,0.0003,-7.014612674713135,36,68,122.16903833333335,13,26.333333333333332,948
955,-66.12518310546875,9.85922622680664,0.7511270642280579,0.0003,-7.917110443115234,40,66,122.517924425,15,26.4,1056
1082,-72.43153381347656,6.182337760925293,0.7233487367630005,0.0003,-8.877710342407227,44,64,125.23473538636362,18,26.886363636363637,1183
1219,-78.08152770996094,7.136500835418701,0.694674015045166,0.0003,-9.909191131591797,48,62,128.357984125,21,27.5,1320
1379,-81.78914642333984,8.030569076538086,0.6626662015914917,0.0003,-11.27737045288086,52,61,133.26044328846152,24,28.46153846153846,1480
1524,-88.93101501464844,18.090423583984375,0.6348386406898499,0.0003,-12.405915260314941,56,60,135.7758505,26,29.017857142857142,1625
1720,-94.56990051269531,13.234357833862305,0.5991795063018799,0.0003,-13.735176086425781,60,60,142.09800986666667,30,30.35,1821
1931,-100.61891174316406,8.27326774597168,0.5633832812309265,0.0003,-15.102764129638672,64,59,148.804064796875,34,31.75,2032
2235,-109.1685791015625,10.070223808288574,0.5166178941726685,0.0003,-16.661895751953125,68,59,161.91596030882351,39,34.35294117647059,2336
2484,-118.58601379394531,14.310508728027344,0.48181039094924927,0.0003,-17.577054977416992,72,59,170.1853376111111,43,35.90277777777778,2585
2739,-124.00765991210938,21.99526596069336,0.4487738609313965,0.0003,-18.692914962768555,76,59,178.12929009210526,47,37.36842105263158,2840
3042,-130.85250854492188,13.588057518005371,0.4126215875148773,0.0003,-20.199951171875,80,59,187.2592167375,53,39.2875,3143
3382,-134.3232879638672,46.2220458984375,0.37571480870246887,0.0003,-21.18204689025879,84,58,197.94634435714283,59,41.464285714285715,3483
3662,-143.21119689941406,20.254480361938477,0.3477586805820465,0.0003,-22.761547088623047,88,58,204.60099702272728,64,42.76136363636363,3763
3986,-146.97679138183594,17.10167121887207,0.3178117573261261,0.0003,-24.08930015563965,92,58,212.63852911956522,69,44.42391304347826,4087
4285,-153.62454223632812,20.2457275390625,0.2923644185066223,0.0003,-25.567283630371094,96,59,219.38135465625,73,45.6875,4386
4558,-161.3386993408203,28.814655303955078,0.27096202969551086,0.0003,-27.49390411376953,100,59,223.16748892000004,78,46.59,4659
4831,-164.9516143798828,19.687702178955078,0.2512246370315552,0.0003,-27.458593368530273,104,59,230.7306066,82,48.05,4932
5096,-171.63658142089844,20.92467498779297,0.23343487083911896,0.0003,-28.817474365234375,108,59,237.83355036,87,49.48,5197
5392,-163.26223754882812,19.584396362304688,0.21523207426071167,0.0003,-28.07799530029297,112,59,247.61206676,92,51.39,5493
