rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
110.64409575,23.25,1584,93,0,4,,,,,,
103.795936,21.875,139,175,1,8,74,-24.59299087524414,21.076374053955078,0.9766788482666016,0.0003,-0.6613802313804626
110.60153633333334,23.5,91,282,3,12,181,-26.570228576660156,33.687923431396484,0.944435179233551,0.0003,-1.5871731042861938
107.4377805625,22.875,77,366,4,16,265,-31.85234260559082,22.85702896118164,0.9204153418540955,0.0003,-2.3304905891418457
104.80497765,22.35,72,447,6,20,346,-35.832618713378906,24.592830657958984,0.8979961276054382,0.0003,-2.971190929412842
100.69787708333332,21.541666666666668,68,517,7,24,416,-37.3779296875,23.24100112915039,0.8792935609817505,0.0003,-3.5309691429138184
97.89161692857142,21.0,65,588,8,28,487,-40.91609191894531,25.420686721801758,0.8608942627906799,0.0003,-4.045731544494629
96.2773434375,20.6875,64,662,10,32,561,-44.07810974121094,15.152168273925781,0.8422840237617493,0.0003,-4.673042297363281
94.80112583333333,20.38888888888889,63,734,11,36,633,-46.216121673583984,25.992977142333984,0.824590802192688,0.0003,-5.224188804626465
92.98055910000001,20.025,61,801,12,40,700,-49.625083923339844,32.777122497558594,0.808421790599823,0.0003,-5.791682243347168
92.2100460909091,19.886363636363637,60,875,14,44,774,-53.124244689941406,17.952829360961914,0.790816068649292,0.0003,-6.436819076538086
91.13570031249999,19.666666666666668,60,944,15,48,843,-55.56383514404297,22.343555450439453,0.7746906876564026,0.0003,-6.936282157897949
90.0176074423077,19.442307692307693,59,1011,17,52,910,-57.63454818725586,27.261253356933594,0.7593860030174255,0.0003,-7.485351085662842
88.72935885714286,19.196428571428573,58,1075,18,56,974,-59.51319122314453,21.332399368286133,0.745041012763977,0.0003,-7.964308261871338
88.30703491666667,19.1,58,1146,19,60,1045,-62.936676025390625,26.303192138671875,0.7294754981994629,0.0003,-8.574687957763672
87.617735671875,18.953125,57,1213,21,64,1112,-66.19209289550781,32.505157470703125,0.7151021957397461,0.0003,-9.05103874206543
87.75975535294117,18.985294117647058,57,1291,22,68,1190,-68.21693420410156,30.327777862548828,0.6987017393112183,0.0003,-9.496805191040039
87.5274515,18.944444444444443,56,1364,23,72,1263,-69.45864868164062,20.151851654052734,0.6837042570114136,0.0003,-10.312661170959473
87.55900025000001,18.960526315789473,56,1441,25,76,1340,-71.99453735351562,21.855960845947266,0.6682093739509583,0.0003,-10.814569473266602
89.14191604999999,19.2875,56,1543,27,80,1442,-74.18319702148438,33.2392578125,0.6481955051422119,0.0003,-11.603853225708008
89.15949579761906,19.297619047619047,56,1621,28,84,1520,-75.62723541259766,26.790103912353516,0.6333407759666443,0.0003,-12.16692066192627
89.70980042045454,19.420454545454547,56,1709,30,88,1608,-81.90512084960938,33.30549240112305,0.6169829368591309,0.0003,-12.929914474487305
90.63451763043477,19.608695652173914,55,1804,32,92,1703,-79.7192153930664,21.65496063232422,0.5997980237007141,0.0003,-13.457036018371582
92.15686334375,19.916666666666668,56,1912,34,96,1811,-84.6400146484375,33.54789352416992,0.5808758735656738,0.0003,-14.540475845336914
92.38170078000003,19.96,55,1996,35,100,1895,-85.06690979003906,27.71746826171875,0.5665846467018127,0.0003,-15.161991119384766
92.90792624,20.11,55,2104,37,104,2003,-90.8045654296875,31.57295036315918,0.5487293004989624,0.0003,-16.228229522705078
94.86818896000003,20.57,55,2232,40,108,2131,-92.70774841308594,32.90352249145508,0.5283516645431519,0.0003,-16.889659881591797
95.17834850000003,20.64,55,2346,42,112,2245,-93.08935546875,30.129152297973633,0.5109683871269226,0.0003,-17.41768455505371
97.32545033000001,21.17,55,2483,44,116,2382,-100.47100067138672,18.103788375854492,0.4909013509750366,0.0003,-18.617767333984375
101.72006676999999,22.11,55,2658,48,120,2557,-101.00682067871094,32.237308502197266,0.46658647060394287,0.0003,-19.434539794921875
106.39812329999997,23.12,55,2829,50,124,2728,-107.59220123291016,23.38316535949707,0.4441705346107483,0.0003,-20.566326141357422
112.79460266999999,24.39,55,3027,54,128,2926,-112.32128143310547,38.58486557006836,0.4199186861515045,0.0003,-20.964004516601562
117.65893294000001,25.43,55,3205,57,132,3104,-110.96189880371094,48.58390808105469,0.3996261954307556,0.0003,-21.14583396911621
121.8898452,26.37,55,3371,60,136,3270,-117.43732452392578,22.9447021484375,0.38187089562416077,0.0003,-22.083330154418945
127.7230809,27.57,55,3558,63,140,3457,-122.94432067871094,37.13936996459961,0.363081693649292,0.0003,-22.52853775024414
134.40335022,28.93,56,3768,66,144,3667,-136.6934814453125,24.91014289855957,0.34323498606681824,0.0003,-23.366901397705078
143.4012553,30.69,56,4013,70,148,3912,-132.91461181640625,32.390892028808594,0.32171791791915894,0.0003,-22.755308151245117
151.84705311,32.48,56,4259,75,152,4158,-137.97018432617188,47.339115142822266,0.3015344738960266,0.0003,-23.984230041503906
158.62273351000002,33.93,56,4468,78,156,4367,-136.5050811767578,73.6195068359375,0.28533804416656494,0.0003,-23.639129638671875
166.34687656999998,35.56,56,4702,82,160,4601,-142.4573974609375,37.764732360839844,0.2681749761104584,0.0003,-25.018396377563477
171.95028813000002,36.74,56,4887,85,164,4786,-149.346923828125,47.372467041015625,0.25519421696662903,0.0003,-25.73139190673828
181.1769179,38.67,56,5158,90,168,5057,-152.89979553222656,41.72154998779297,0.23727191984653473,0.0003,-27.040512084960938
190.09675744999996,40.35,56,5399,94,172,5298,-154.97048950195312,19.60761260986328,0.22238735854625702,0.0003,-28.798892974853516
201.78670497999997,42.65,57,5706,99,176,5605,-158.77081298828125,39.8929443359375,0.20460177958011627,0.0003,-28.068946838378906
208.23632542000004,43.74,57,5917,103,180,5816,-155.0257568359375,40.80857849121094,0.1933807134628296,0.0003,-27.6281681060791
218.28818375000003,45.53,57,6174,107,184,6073,-157.48489379882812,30.539026260375977,0.1806536763906479,0.0003,-28.208728790283203
225.64813114000003,46.85,57,6394,111,188,6293,-160.19305419921875,35.999698638916016,0.1705162227153778,0.0003,-27.531620025634766
234.37013101,48.47,57,6651,115,192,6550,-161.43801879882812,38.08680725097656,0.15937025845050812,0.0003,-26.62747573852539
244.03229355999997,50.26,57,6938,120,196,6837,-169.8874969482422,33.18365478515625,0.1477566808462143,0.0003,-28.296619415283203
255.47556802,52.34,57,7230,125,200,7129,-157.24923706054688,60.43159866333008,0.13714304566383362,0.0003,-24.40264320373535
262.42214032,53.69,57,7473,129,204,7372,-159.26380920410156,51.3507080078125,0.12898173928260803,0.0003,-23.498327255249023
268.84315791,54.81,57,7713,133,208,7612,-173.413330078125,40.83854675292969,0.12149704247713089,0.0003,-30.02973175048828
277.28597432,56.32,57,7978,138,212,7877,-172.4090576171875,48.592674255371094,0.11375823616981506,0.0003,-24.669776916503906
284.28744629,57.51,57,8234,142,216,8133,-171.5716552734375,63.19194793701172,0.10680083930492401,0.0003,-25.78451919555664
291.63878309,58.77,57,8535,147,220,8434,-183.37042236328125,34.80144500732422,0.09919571876525879,0.0003,-28.99103546142578
