train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
20,-16.319534301757812,128.84429931640625,0.9943103790283203,0.0003,-0.16276583075523376,4,332,145.12381249999999,0,30.25,121
94,-28.254241943359375,13.642704963684082,0.9724513292312622,0.0003,-0.7999773025512695,8,104,115.40005649999999,1,24.375,195
204,-32.726341247558594,9.062369346618652,0.9409175515174866,0.0003,-1.7339634895324707,12,76,119.43562583333333,3,25.416666666666668,305
279,-35.39253616333008,14.069708824157715,0.9200751185417175,0.0003,-2.356309652328491,16,71,111.47399287500001,5,23.75,380
367,-38.76982116699219,14.309041976928711,0.8963288068771362,0.0003,-3.077284336090088,20,69,110.36816195000002,6,23.4,468
456,-43.07000732421875,11.776246070861816,0.8730142116546631,0.0003,-3.7943592071533203,24,68,109.385712125,8,23.208333333333332,557
609,-49.07183074951172,18.477222442626953,0.8343104720115662,0.0003,-4.9986748695373535,28,68,120.70220014285714,10,25.357142857142858,710
691,-53.10797119140625,11.13820743560791,0.814420759677887,0.0003,-5.649089813232422,32,66,117.67781140625,11,24.75,792
793,-58.01570129394531,14.417795181274414,0.7903664708137512,0.0003,-6.446433067321777,36,64,117.95707233333334,13,24.833333333333332,894
933,-62.69660949707031,6.621769905090332,0.7586065530776978,0.0003,-7.420517921447754,40,61,122.81038267499999,16,25.85,1034
1094,-69.850830078125,15.952527046203613,0.7237486243247986,0.0003,-8.750728607177734,44,60,129.4024111590909,19,27.15909090909091,1195
1217,-75.92827606201172,8.632906913757324,0.6983850002288818,0.0003,-9.42721176147461,48,59,130.63334233333333,22,27.458333333333332,1318
1363,-80.76531982421875,12.134775161743164,0.6694847345352173,0.0003,-10.511287689208984,52,59,133.71430346153846,24,28.153846153846153,1464
1554,-88.92994689941406,44.70981216430664,0.6336226463317871,0.0003,-11.769506454467773,56,59,139.52072023214288,27,29.553571428571427,1655
1692,-97.99319458007812,12.43594741821289,0.6089402437210083,0.0003,-12.65617561340332,60,60,140.91934461666668,29,29.883333333333333,1793
1938,-103.97100067138672,20.234142303466797,0.5679520964622498,0.0003,-14.020606994628906,64,60,150.60296753125002,33,31.859375,2039
2133,-112.26850891113281,14.316664695739746,0.5377236604690552,0.0003,-15.169038772583008,68,59,154.80125829411764,37,32.85294117647059,2234
2368,-116.48091888427734,18.989627838134766,0.5033711791038513,0.0003,-16.289709091186523,72,58,161.15054979166666,42,34.291666666666664,2469
2660,-129.41058349609375,11.994306564331055,0.4642072319984436,0.0003,-17.641769409179688,76,58,170.81054714473683,47,36.328947368421055,2761
2920,-133.11990356445312,13.809866905212402,0.43191736936569214,0.0003,-18.64092445373535,80,58,177.3572161625,52,37.7625,3021
3168,-143.35226440429688,12.358611106872559,0.40285393595695496,0.0003,-21.011154174804688,84,57,183.49657023809525,56,38.916666666666664,3269
3435,-149.26766967773438,14.420982360839844,0.37372827529907227,0.0003,-22.275699615478516,88,57,190.67081742045454,61,40.18181818181818,3536
3663,-154.39877319335938,17.97194480895996,0.35068413615226746,0.0003,-22.767982482910156,92,57,194.28978303260868,65,40.91304347826087,3764
3868,-158.28009033203125,22.229061126708984,0.33128902316093445,0.0003,-23.104290008544922,96,57,197.14943394791666,68,41.34375,3969
