train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
16,-4.418527603149414,313.36407470703125,0.9955083131790161,0.0003,-0.10795272886753082,4,404,134.80877475,0,29.25,117
94,-26.953638076782227,21.390363693237305,0.9701563715934753,0.0003,-0.8562173247337341,8,107,112.3214665,1,24.375,195
182,-28.20012855529785,23.74983024597168,0.9435997009277344,0.0003,-1.6385418176651,12,85,108.88947574999999,3,23.583333333333332,283
274,-32.89719772338867,23.210708618164062,0.9173024296760559,0.0003,-2.4291810989379883,16,73,108.8483006875,5,23.4375,375
355,-35.602867126464844,30.359251022338867,0.8949186205863953,0.0003,-3.1241884231567383,20,68,106.00701225,6,22.8,456
425,-39.37102508544922,28.085437774658203,0.8761871457099915,0.0003,-3.663418769836426,24,65,101.70885637499998,8,21.916666666666668,526
494,-41.884735107421875,22.554597854614258,0.8581859469413757,0.0003,-4.213649272918701,28,63,98.55600724999996,9,21.25,595
564,-45.683135986328125,63.8436279296875,0.8404026627540588,0.0003,-4.818510055541992,32,61,96.16482546875,10,20.78125,665
630,-48.4619140625,38.18109130859375,0.8239761590957642,0.0003,-5.330966949462891,36,60,93.79528102777778,12,20.305555555555557,731
699,-50.00444030761719,42.35396957397461,0.807142436504364,0.0003,-5.902905464172363,40,59,92.33724815,13,20.0,800
777,-54.08177947998047,54.76955795288086,0.7884556651115417,0.0003,-6.584790229797363,44,59,92.16075790909089,14,19.954545454545453,878
856,-56.73237991333008,52.06886291503906,0.7699486017227173,0.0003,-7.310016632080078,48,58,92.08885833333333,16,19.9375,957
934,-58.71698760986328,59.57725143432617,0.7521594166755676,0.0003,-7.86706018447876,52,59,92.04690774999997,17,19.903846153846153,1035
1022,-61.847389221191406,73.19483184814453,0.7326958179473877,0.0003,-8.552720069885254,56,61,92.46767721428571,18,20.053571428571427,1123
1121,-66.25212097167969,70.24609375,0.7115117907524109,0.0003,-9.306082725524902,60,63,93.54178466666666,19,20.366666666666667,1222
1226,-70.44218444824219,48.71648406982422,0.6897860765457153,0.0003,-10.02546501159668,64,64,95.00114457812501,20,20.734375,1327
1332,-76.26994323730469,52.814144134521484,0.6686092019081116,0.0003,-10.906844139099121,68,64,96.74341641176471,22,21.073529411764707,1433
1425,-75.70242309570312,89.80844116210938,0.6506691575050354,0.0003,-11.465420722961426,72,65,97.43646169444445,23,21.194444444444443,1526
1524,-80.34706115722656,58.65835189819336,0.6320727467536926,0.0003,-12.174728393554688,76,65,98.54342534210527,24,21.38157894736842,1625
1610,-81.52978515625,52.69588088989258,0.6163489818572998,0.0003,-12.926513671875,80,66,98.68288125000001,25,21.3875,1711
1701,-82.2892837524414,119.20887756347656,0.6001914143562317,0.0003,-13.325737953186035,84,65,99.01995785714287,27,21.452380952380953,1802
1794,-91.1909408569336,79.89279174804688,0.5842618346214294,0.0003,-14.148843765258789,88,64,99.53039009090908,29,21.53409090909091,1895
1894,-91.00227355957031,63.63624572753906,0.5676150321960449,0.0003,-14.887687683105469,92,64,100.43865066304348,30,21.684782608695652,1995
2003,-92.73703002929688,95.27613830566406,0.5500125288963318,0.0003,-15.307913780212402,96,63,101.57226066666668,32,21.916666666666668,2104
2103,-93.03807067871094,39.923526763916016,0.5343402624130249,0.0003,-16.155994415283203,100,64,102.35838941000002,34,22.04,2204
2211,-99.34721374511719,64.25069427490234,0.5178808569908142,0.0003,-17.034984588623047,104,64,102.13437204,35,21.95,2312
2318,-95.65390014648438,35.88202667236328,0.5020117163658142,0.0003,-17.65671730041504,108,65,103.75902471,37,22.24,2419
2438,-103.57487487792969,57.74911880493164,0.48479416966438293,0.0003,-18.497089385986328,112,64,105.36872745,39,22.56,2539
2554,-104.45840454101562,40.641517639160156,0.4686915874481201,0.0003,-19.377153396606445,116,63,106.61412625000003,41,22.8,2655
2672,-102.91175842285156,48.37419128417969,0.45285096764564514,0.0003,-19.860946655273438,120,63,108.55111878999998,43,23.17,2773
2798,-105.39039611816406,56.93272399902344,0.4365651309490204,0.0003,-21.010967254638672,124,62,111.48592462999996,46,23.73,2899
2917,-106.27107238769531,62.70838165283203,0.42171815037727356,0.0003,-21.502025604248047,128,62,114.15458901999999,48,24.23,3018
3040,-108.56348419189453,42.00303268432617,0.40696433186531067,0.0003,-22.361228942871094,132,61,116.92070487000001,50,24.76,3141
3196,-113.53858947753906,24.42812728881836,0.3890210688114166,0.0003,-23.529460906982422,136,61,121.59443469,53,25.66,3297
3389,-110.13661193847656,36.38810729980469,0.36789223551750183,0.0003,-24.829647064208984,140,61,128.13970877,56,26.9,3490
3612,-115.91091918945312,39.81916809082031,0.34494778513908386,0.0003,-25.940568923950195,144,61,135.05252073,60,28.35,3713
3788,-112.842529296875,34.04301452636719,0.3279050588607788,0.0003,-26.49390411376953,148,61,139.38684589000002,63,29.32,3889
3941,-116.60725402832031,104.03977966308594,0.31403449177742004,0.0003,-25.909391403198242,152,60,142.75441735,66,30.07,4042
