train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
7,-12.416280746459961,237.5877685546875,0.998201310634613,0.0003,-0.051410920917987823,4,749,127.26088924999999,0,27.0,108
124,-29.577062606811523,13.093291282653809,0.963776707649231,0.0003,-1.052079677581787,8,93,132.23461337499998,2,28.125,225
212,-33.028507232666016,13.465879440307617,0.9387403130531311,0.0003,-1.7955379486083984,12,78,122.98456183333332,3,26.083333333333332,313
312,-37.13007354736328,19.708293914794922,0.9111971259117126,0.0003,-2.609046459197998,16,69,121.05964343749999,5,25.8125,413
388,-40.45209503173828,24.66214942932129,0.8908445239067078,0.0003,-3.2423667907714844,20,67,114.40935859999999,7,24.45,489
471,-43.857383728027344,19.830360412597656,0.8691863417625427,0.0003,-3.8914170265197754,24,64,111.44147216666666,8,23.833333333333332,572
592,-50.54197692871094,27.791913986206055,0.8386744856834412,0.0003,-4.909908294677734,28,61,115.61084039285713,11,24.75,693
665,-52.62691879272461,36.257354736328125,0.8206929564476013,0.0003,-5.497891902923584,32,60,111.73293975,12,23.9375,766
778,-56.89546585083008,35.16790008544922,0.7935822606086731,0.0003,-6.403617858886719,36,58,113.51576180555556,14,24.416666666666668,879
878,-62.433197021484375,42.08397674560547,0.7703421711921692,0.0003,-7.249629497528076,40,57,113.939930775,16,24.475,979
1026,-69.7862548828125,61.67218780517578,0.7372111678123474,0.0003,-8.352100372314453,44,56,119.4928289090909,19,25.613636363636363,1127
1201,-78.31773376464844,39.335968017578125,0.7000390887260437,0.0003,-9.802474975585938,48,56,127.19031764583333,22,27.125,1302
1322,-83.21654510498047,74.15081787109375,0.6755993962287903,0.0003,-10.601289749145508,52,56,127.87522642307694,25,27.365384615384617,1423
1470,-86.20765686035156,74.74961853027344,0.6470237970352173,0.0003,-11.460941314697266,56,56,131.0687719285714,27,28.053571428571427,1571
1610,-94.70362854003906,56.474143981933594,0.6214338541030884,0.0003,-12.523877143859863,60,57,133.31710061666666,30,28.516666666666666,1711
1760,-101.15593719482422,40.690040588378906,0.5953360199928284,0.0003,-13.255298614501953,64,56,136.17578525,32,29.078125,1861
1910,-106.87599182128906,67.01998901367188,0.570652186870575,0.0003,-14.01951789855957,68,56,138.99836572058825,35,29.573529411764707,2011
2096,-108.99702453613281,48.768463134765625,0.541816771030426,0.0003,-14.60759162902832,72,56,143.90671340277777,38,30.51388888888889,2197
2301,-121.32945251464844,37.01741027832031,0.5123428702354431,0.0003,-15.688100814819336,76,55,149.72476551315788,43,31.605263157894736,2402
2449,-120.58859252929688,57.896331787109375,0.49249038100242615,0.0003,-15.586336135864258,80,55,151.1898842625,45,31.875,2550
2615,-126.37080383300781,52.2391471862793,0.4710875153541565,0.0003,-16.543312072753906,84,55,153.50606220238092,48,32.333333333333336,2716
2761,-126.94882202148438,37.91944885253906,0.45288509130477905,0.0003,-17.52214813232422,88,55,154.65685152272727,51,32.52272727272727,2862
2906,-131.9459686279297,57.033329010009766,0.4349866509437561,0.0003,-18.43549346923828,92,55,155.54764388043478,54,32.68478260869565,3007
3085,-134.559326171875,34.809722900390625,0.4139612019062042,0.0003,-18.96779441833496,96,55,158.3021245,57,33.1875,3186
3253,-135.7801513671875,35.4710693359375,0.3954063653945923,0.0003,-19.899261474609375,100,55,160.60576075,60,33.54,3354
3445,-141.5997314453125,33.992286682128906,0.3752875030040741,0.0003,-21.498516082763672,104,55,165.58955778,63,34.38,3546
3661,-151.32681274414062,37.19091796875,0.3538929224014282,0.0003,-21.974023818969727,108,55,171.07267345,67,35.37,3762
3796,-155.5834197998047,78.93673706054688,0.34137579798698425,0.0003,-21.14588165283203,112,55,173.67359448999997,70,35.84,3897
3993,-158.01470947265625,33.685150146484375,0.32410213351249695,0.0003,-21.615367889404297,116,56,179.13284552000002,72,36.81,4094
4159,-162.74688720703125,63.88535690307617,0.31022778153419495,0.0003,-22.399621963500977,120,56,183.93539803000004,75,37.71,4260
4347,-164.81887817382812,30.857315063476562,0.29507970809936523,0.0003,-22.178695678710938,124,56,189.61896654,79,38.76,4448
4513,-169.1533660888672,42.49041748046875,0.28223732113838196,0.0003,-23.37625503540039,128,56,192.4008228,81,39.21,4614
4645,-174.89666748046875,38.47660827636719,0.2725726366043091,0.0003,-24.63996124267578,132,56,195.46340070000002,84,39.8,4746
4794,-170.09835815429688,47.271324157714844,0.2619049847126007,0.0003,-24.355670928955078,136,55,197.7905117,87,40.16,4895
4922,-177.80616760253906,35.67021942138672,0.25322747230529785,0.0003,-25.252029418945312,140,55,199.31903882000003,90,40.44,5023
5040,-170.97637939453125,36.56308364868164,0.24526622891426086,0.0003,-23.74281120300293,144,55,198.02740433,92,40.14,5141
5217,-173.94000244140625,53.03797912597656,0.23397676646709442,0.0003,-25.529970169067383,148,56,198.32626390999997,94,40.16,5318
5363,-173.7761688232422,76.40126037597656,0.22499488294124603,0.0003,-26.49884033203125,152,56,200.22688513999998,96,40.41,5464
5537,-184.110107421875,25.420238494873047,0.2152014523744583,0.0003,-25.042827606201172,156,56,201.64201204,99,40.67,5638
5723,-178.13314819335938,42.627197265625,0.20522066950798035,0.0003,-24.02092742919922,160,56,204.55310060999997,102,41.13,5824
5865,-179.63131713867188,35.15385437011719,0.19782483577728271,0.0003,-25.42310333251953,164,56,204.42618600999998,104,41.05,5966
6030,-182.9783935546875,41.13934326171875,0.18963319063186646,0.0003,-24.384998321533203,168,56,205.33317103,107,41.2,6131
6180,-186.17001342773438,29.426054000854492,0.1825839728116989,0.0003,-24.521774291992188,172,57,203.58490159000002,110,40.84,6281
6370,-186.154296875,50.91811752319336,0.174016535282135,0.0003,-23.907323837280273,176,57,202.68253529999998,112,40.69,6471
6556,-181.96665954589844,33.60696792602539,0.1660202443599701,0.0003,-26.202789306640625,180,57,204.88229744,115,41.07,6657
6825,-180.5789794921875,41.7330322265625,0.15542685985565186,0.0003,-23.69155502319336,184,57,209.71056284000002,120,42.1,6926
7048,-195.46142578125,28.774051666259766,0.14757473766803741,0.0003,-25.996780395507812,188,57,213.54407586999997,124,42.87,7149
7241,-189.77989196777344,33.7950553894043,0.1416020691394806,0.0003,-23.135940551757812,192,57,215.86827042000002,127,43.35,7342
7510,-196.9022216796875,49.630741119384766,0.13450290262699127,0.0003,-14.690254211425781,196,57,220.33753726999996,132,44.25,7611
7687,-197.63833618164062,42.6191520690918,0.1307956576347351,0.0003,-11.217245101928711,200,57,220.32514906,135,44.34,7788
7827,-194.59344482421875,43.402687072753906,0.12812578678131104,0.0003,-13.894915580749512,204,57,216.97267295,137,43.82,7928
7966,-200.26625061035156,45.53250503540039,0.12522055208683014,0.0003,-11.650924682617188,208,57,212.72171583,140,43.05,8067
8091,-199.0445556640625,56.27798080444336,0.12278638780117035,0.0003,-15.379667282104492,212,57,211.86336055,142,42.95,8192
8259,-197.8111114501953,68.25692749023438,0.11919299513101578,0.0003,-9.884053230285645,216,57,210.36364598000003,145,42.66,8360
8468,-194.35255432128906,79.15526580810547,0.11463796347379684,0.0003,-16.673381805419922,220,57,212.05492728000004,148,43.09,8569
8669,-204.57186889648438,42.678138732910156,0.11064575612545013,0.0003,-13.900735855102539,224,57,211.57021225,152,43.22,8770
8871,-200.88558959960938,86.74190521240234,0.1068778932094574,0.0003,-13.063377380371094,228,57,213.04080936000003,156,43.58,8972
9016,-206.48263549804688,71.90851593017578,0.10498084872961044,0.0003,-0.6547806262969971,232,57,213.52217654,158,43.71,9117
9106,-208.261474609375,101.22402954101562,0.10445009917020798,0.0003,-1.5360357761383057,236,57,210.16933442,160,43.12,9207
9177,-203.16357421875,122.35423278808594,0.10390922427177429,0.0003,-5.435557842254639,240,57,207.04534564999997,162,42.55,9278
9244,-205.417236328125,73.47538757324219,0.10354617238044739,0.0003,-5.593005180358887,244,57,204.25948631,163,42.04,9345
9309,-216.9731903076172,48.668392181396484,0.10364885628223419,0.0003,8.955278396606445,248,57,198.28966375999997,164,40.92,9410
9421,-217.53575134277344,143.90286254882812,0.10449468344449997,0.0003,1.1074118614196777,252,57,196.05261663000002,166,40.58,9522
9662,-223.84713745117188,58.50944137573242,0.10304505378007889,0.0003,-3.5646839141845703,256,57,197.94225099,170,41.25,9763
9841,-208.9334259033203,76.05995178222656,0.10303399711847305,0.0003,6.221826553344727,260,57,196.7304143,173,41.18,9942
9956,-223.24411010742188,64.7203369140625,0.10408417135477066,0.0003,4.233609676361084,264,57,194.83148778000003,176,40.91,10057
10100,-221.29708862304688,58.51959228515625,0.10491649061441422,0.0003,-3.037226915359497,268,56,192.72506694000003,179,40.7,10201
10199,-226.57586669921875,133.86297607421875,0.1056881994009018,0.0003,3.9087815284729004,272,56,189.78360465000003,181,40.19,10300
10306,-224.79531860351562,73.13068389892578,0.10695933550596237,0.0003,3.014890670776367,276,56,185.18486658999998,183,39.36,10407
10403,-230.01309204101562,117.70638275146484,0.10747070610523224,0.0003,5.382026672363281,280,56,180.18881936999998,185,38.47,10504
10475,-212.50445556640625,203.23516845703125,0.10825150460004807,0.0003,5.911365985870361,284,56,170.56484809999995,186,36.5,10576
10547,-227.1065673828125,150.14065551757812,0.10875853896141052,0.0003,-0.42541372776031494,288,56,162.84808312,188,34.99,10648
10635,-241.69456481933594,101.331298828125,0.10908739268779755,0.0003,2.639951229095459,292,56,157.30102405999997,189,33.94,10736
10754,-226.06661987304688,296.483642578125,0.10930206626653671,0.0003,0.8347053527832031,296,56,149.13390160999998,191,32.44,10855
10859,-236.1800079345703,98.0850830078125,0.10947534441947937,0.0003,4.171982765197754,300,56,144.90361435,194,31.72,10960
10969,-227.24688720703125,115.36807250976562,0.11001922190189362,0.0003,0.5684938430786133,304,56,143.11319486,196,31.42,11070
11083,-229.11636352539062,107.10360717773438,0.11098738014698029,0.0003,-0.19006824493408203,308,56,141.43635757,198,31.17,11184
11233,-241.56027221679688,192.25064086914062,0.11202611029148102,0.0003,-0.3246740698814392,312,56,142.45878129000002,201,31.42,11334
11383,-226.79183959960938,151.97152709960938,0.11187400668859482,0.0003,8.597830772399902,316,56,140.81448039999998,203,31.24,11484
11476,-252.34339904785156,100.62112426757812,0.11229097843170166,0.0003,0.49544215202331543,320,56,134.91983892,205,30.08,11577
11591,-240.01918029785156,117.90638732910156,0.1118263304233551,0.0003,5.78090763092041,324,56,130.82342975999998,207,29.22,11692
11703,-234.14169311523438,101.76945495605469,0.11251325160264969,0.0003,8.31696891784668,328,56,125.68758858,209,28.32,11804
11827,-250.67587280273438,265.01837158203125,0.11466548591852188,0.0003,-1.4162874221801758,332,56,124.52924084,211,28.11,11928
11944,-255.12832641601562,144.10247802734375,0.11659792065620422,0.0003,3.2459051609039307,336,56,125.77160689000002,214,28.38,12045
12035,-249.15525817871094,114.13919830322266,0.118608258664608,0.0003,1.7901952266693115,340,56,126.81542865000003,215,28.58,12136
12139,-249.81500244140625,230.899658203125,0.11999888718128204,0.0003,-1.8681461811065674,344,56,128.80140003,217,28.95,12240
12209,-253.74771118164062,119.64027404785156,0.12053634226322174,0.0003,-3.997620105743408,348,56,129.00079925,219,29.0,12310
12281,-257.5729675292969,165.47021484375,0.12059847265481949,0.0003,-3.6863694190979004,352,56,127.03181751,220,28.6,12382
12356,-257.8164367675781,167.300048828125,0.12078230082988739,0.0003,2.5743021965026855,356,56,120.03223804999998,222,26.94,12457
12439,-252.8115234375,190.45420837402344,0.1212298795580864,0.0003,-0.49825596809387207,360,56,115.2817274,223,25.98,12540
12506,-252.29039001464844,112.35765075683594,0.12128593772649765,0.0003,-2.4472761154174805,364,56,113.06387546,224,25.5,12607
12583,-250.12637329101562,333.55975341796875,0.12180721014738083,0.0003,2.266134738922119,368,56,110.27584643,226,24.83,12684
12653,-259.1046142578125,171.72076416015625,0.12356093525886536,0.0003,1.7594598531723022,372,56,108.95486277,227,24.54,12754
12726,-265.3736572265625,222.04241943359375,0.12450069934129715,0.0003,2.5775306224823,376,56,107.50577767,228,24.2,12827
12814,-254.24562072753906,153.7787322998047,0.12596285343170166,0.0003,3.6913585662841797,380,56,107.00575264,229,24.11,12915
12973,-266.403076171875,174.9033203125,0.12509439885616302,0.0003,2.1462910175323486,384,56,110.59963823999999,231,24.98,13074
13134,-259.7125244140625,188.63795471191406,0.12427309155464172,0.0003,-0.88118577003479,388,56,114.98845166,235,25.87,13235
13239,-267.4573059082031,371.7576904296875,0.12485131621360779,0.0003,-0.9197511672973633,392,56,116.11857626999999,236,26.04,13340
13379,-276.2862854003906,133.16368103027344,0.1260959655046463,0.0003,1.419289469718933,396,56,117.58088613000001,238,26.25,13480
13465,-256.5440673828125,117.39903259277344,0.12776628136634827,0.0003,0.09519791603088379,400,56,117.13041875000003,239,26.06,13566
13580,-280.246826171875,379.62353515625,0.12865197658538818,0.0003,-5.4199090003967285,404,56,117.62421465999999,241,26.11,13681
13732,-266.16143798828125,290.4706726074219,0.13177989423274994,0.0003,4.924095630645752,408,56,120.10200114999999,243,26.49,13833
13844,-267.7654724121094,122.43775939941406,0.1331338733434677,0.0003,1.202258825302124,412,56,118.28907233,245,26.11,13945
13965,-288.9038391113281,132.45333862304688,0.13317933678627014,0.0003,0.44194889068603516,416,56,117.20769659,247,25.82,14066
14077,-271.2283935546875,179.94192504882812,0.13183969259262085,0.0003,-0.8364954590797424,420,56,118.38311270999999,248,26.01,14178
14237,-275.97613525390625,201.59027099609375,0.12929056584835052,0.0003,-2.7851595878601074,424,57,120.81671435000003,250,26.46,14338
14361,-265.43939208984375,217.87657165527344,0.12875351309776306,0.0003,-2.040870428085327,428,57,121.82088649999997,252,26.58,14462
14524,-289.28082275390625,187.59832763671875,0.13142451643943787,0.0003,2.6305675506591797,432,57,123.87935477999997,256,26.97,14625
14647,-272.75579833984375,210.83059692382812,0.13445374369621277,0.0003,-0.5022069215774536,436,57,124.39605217999998,258,27.03,14748
14748,-287.6681213378906,248.50567626953125,0.13771483302116394,0.0003,2.119434118270874,440,56,124.9775798,260,27.13,14849
14864,-284.8104248046875,176.80130004882812,0.14012058079242706,0.0003,3.863586664199829,444,56,125.73368457000001,262,27.25,14965
14997,-282.724853515625,230.0542755126953,0.1431318074464798,0.0003,4.265394687652588,448,56,129.16379668000002,265,27.88,15098
15143,-291.26690673828125,206.03807067871094,0.1486067771911621,0.0003,2.3070271015167236,452,56,133.33789829,267,28.62,15244
15338,-287.4349060058594,208.64501953125,0.15581071376800537,0.0003,-1.4544403553009033,456,56,140.12598405999998,271,29.82,15439
15532,-287.2049560546875,192.234375,0.15904559195041656,0.0003,1.9102140665054321,460,57,146.91554073,274,30.93,15633
15746,-290.8057861328125,155.24046325683594,0.15996062755584717,0.0003,-0.758600652217865,464,57,155.04559147999998,277,32.4,15847
15932,-286.6141052246094,184.63687133789062,0.163627028465271,0.0003,0.7248501181602478,468,57,161.15416569999996,280,33.49,16033
16104,-310.05621337890625,156.7608642578125,0.1636277288198471,0.0003,-3.9176557064056396,472,57,166.97084800000002,283,34.51,16205
16260,-292.43359375,175.25033569335938,0.1663062572479248,0.0003,3.1464662551879883,476,57,171.63067988,285,35.34,16361
16470,-291.2784118652344,243.16966247558594,0.1664533168077469,0.0003,-0.9875051379203796,480,57,178.57997102000002,289,36.56,16571
16696,-288.0164794921875,147.22793579101562,0.1686791181564331,0.0003,-2.492879629135132,484,57,183.32400995000003,293,37.23,16797
16908,-308.61505126953125,224.1840057373047,0.17083293199539185,0.0003,-1.5773000717163086,488,57,186.34394566,297,37.74,17009
17149,-303.0772705078125,235.9866485595703,0.16879087686538696,0.0003,2.577040195465088,492,57,193.42631331999996,301,39.1,17250
17401,-320.4728698730469,169.23043823242188,0.17242904007434845,0.0003,0.8650195598602295,496,57,199.26972093999996,304,40.22,17502
17645,-311.99908447265625,504.2598876953125,0.17469845712184906,0.0003,2.0865321159362793,500,57,207.10004227,309,41.8,17746
17876,-314.3347473144531,251.6995391845703,0.17677824199199677,0.0003,1.953431248664856,504,57,213.09854295000005,313,42.96,17977
18129,-309.28594970703125,206.18600463867188,0.17856553196907043,0.0003,-3.338818311691284,508,57,217.47729111999993,317,43.97,18230
18303,-313.9878845214844,174.69119262695312,0.17891302704811096,0.0003,2.3328633308410645,512,57,220.46746345999998,320,44.59,18404
18480,-303.96826171875,217.30543518066406,0.18176627159118652,0.0003,-4.33841609954834,516,57,222.97197868,323,45.15,18581
18653,-324.29046630859375,399.09149169921875,0.18514667451381683,0.0003,2.6778340339660645,520,57,226.13359968999998,325,45.76,18754
18863,-318.32720947265625,251.05917358398438,0.188832089304924,0.0003,-0.3900832235813141,524,57,228.47670123,328,46.26,18964
19121,-332.0653076171875,365.69024658203125,0.19077694416046143,0.0003,-0.05978459119796753,528,57,235.17142272,332,47.6,19222
19318,-294.5539245605469,248.66055297851562,0.18908271193504333,0.0003,0.3650655150413513,532,57,236.56762653,335,47.94,19419
19551,-332.25732421875,293.2042236328125,0.19527828693389893,0.0003,1.04478120803833,536,57,240.86753877000004,339,49.04,19652
19750,-365.09619140625,374.02728271484375,0.1975097805261612,0.0003,-2.203947067260742,540,57,244.98515715999997,342,50.02,19851
