train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
22,-25.526363372802734,29.474632263183594,0.9936114549636841,0.0003,-0.1795351505279541,4,300,141.65433074999999,0,30.75,123
125,-30.83247947692871,31.03640365600586,0.9626893997192383,0.0003,-1.0786545276641846,8,103,131.11566937499998,2,28.25,226
214,-35.78587341308594,27.837337493896484,0.9370772242546082,0.0003,-1.8339760303497314,12,87,122.54502674999999,3,26.25,315
308,-40.385459899902344,19.52240753173828,0.9111327528953552,0.0003,-2.556628942489624,16,74,119.4101464375,5,25.5625,409
374,-43.240074157714844,16.969877243041992,0.8937176465988159,0.0003,-3.042328357696533,20,69,110.25561155,6,23.75,475
439,-47.45033264160156,9.550042152404785,0.8769770860671997,0.0003,-3.5459036827087402,24,66,104.07352845833333,8,22.5,540
505,-49.57569885253906,11.459277153015137,0.8601946830749512,0.0003,-4.0283966064453125,28,64,99.94901567857143,9,21.642857142857142,606
572,-52.56141662597656,8.39944839477539,0.8433710932731628,0.0003,-4.625737190246582,32,62,96.942570375,10,21.03125,673
638,-56.56727600097656,6.273431777954102,0.827068567276001,0.0003,-5.188702583312988,36,62,94.48393280555555,11,20.52777777777778,739
704,-58.167633056640625,6.238824367523193,0.8109737634658813,0.0003,-5.76990270614624,40,61,92.56182877500001,13,20.125,805
786,-60.879730224609375,10.03192138671875,0.7913600206375122,0.0003,-6.419647216796875,44,59,92.75662354545454,14,20.15909090909091,887
859,-61.20704650878906,12.306053161621094,0.7742904424667358,0.0003,-7.014422416687012,48,58,91.98732893750001,16,20.0,960
930,-62.980377197265625,11.002098083496094,0.7580618262290955,0.0003,-7.521177291870117,52,57,91.25252738461538,17,19.826923076923077,1031
1000,-68.00650024414062,8.884049415588379,0.7425259947776794,0.0003,-8.012279510498047,56,57,90.47232507142857,19,19.660714285714285,1101
1069,-70.71626281738281,11.172369003295898,0.7276036739349365,0.0003,-8.505615234375,60,56,89.73352178333334,20,19.5,1170
1147,-71.78427124023438,16.735370635986328,0.7111472487449646,0.0003,-9.087556838989258,64,56,89.81839103125,22,19.5,1248
1246,-75.39309692382812,16.97777557373047,0.690904974937439,0.0003,-9.596694946289062,68,56,91.49241807352942,23,19.808823529411764,1347
1330,-77.3612060546875,11.619697570800781,0.6742613315582275,0.0003,-10.196839332580566,72,55,91.84349226388889,25,19.875,1431
1457,-83.37140655517578,18.054378509521484,0.6499834060668945,0.0003,-11.184255599975586,76,55,95.0715957763158,27,20.5,1558
1678,-88.00822448730469,20.120323181152344,0.6103598475456238,0.0003,-12.239982604980469,80,55,103.85112318750001,31,22.2375,1779
1924,-96.99111938476562,22.982913970947266,0.5701183080673218,0.0003,-13.38517951965332,84,56,113.0272423452381,35,24.107142857142858,2025
2151,-103.06983947753906,55.69435501098633,0.5353891253471375,0.0003,-14.814796447753906,88,55,120.30431213636365,40,25.59090909090909,2252
2395,-111.13150024414062,43.74932861328125,0.5002070069313049,0.0003,-16.16067886352539,92,55,128.44503373913045,44,27.130434782608695,2496
2595,-114.85295867919922,53.98652648925781,0.47377893328666687,0.0003,-16.193511962890625,96,55,133.2637245625,48,28.083333333333332,2696
2833,-116.85572814941406,39.2587890625,0.44466671347618103,0.0003,-16.817861557006836,100,55,139.24267480999998,53,29.34,2934
3048,-128.68609619140625,57.96702575683594,0.4199587404727936,0.0003,-17.719146728515625,104,55,144.57588579,56,30.26,3149
3346,-129.61978149414062,48.254066467285156,0.38812056183815,0.0003,-18.553226470947266,108,55,154.80755914,62,32.21,3447
3618,-132.9025115966797,62.6458740234375,0.36121663451194763,0.0003,-19.091079711914062,112,55,163.01378233000003,67,34.04,3719
3766,-136.11964416503906,47.2562255859375,0.3474850654602051,0.0003,-19.508056640625,116,55,165.43386765,69,34.58,3867
3992,-140.86746215820312,65.77986145019531,0.32739344239234924,0.0003,-20.332794189453125,120,55,174.27494484,73,36.18,4093
4268,-140.12020874023438,68.11505126953125,0.30422383546829224,0.0003,-21.358295440673828,124,55,185.16222855,78,38.29,4369
4601,-145.3909454345703,58.95585632324219,0.2786671817302704,0.0003,-21.4960994720459,128,56,197.12589057999998,83,40.96,4702
4894,-147.95767211914062,81.20654296875,0.2580603361129761,0.0003,-22.416080474853516,132,56,208.07960159,88,43.22,4995
5189,-145.91213989257812,54.556114196777344,0.23900966346263885,0.0003,-22.317773818969727,136,56,219.51152141,93,45.51,5290
5459,-149.83676147460938,71.17630004882812,0.22298181056976318,0.0003,-23.129161834716797,140,56,229.99035738999999,97,47.55,5560
5698,-150.74462890625,67.31605529785156,0.20980654656887054,0.0003,-23.034862518310547,144,57,238.39265035,100,49.12,5799
5990,-147.86001586914062,90.1329574584961,0.19474001228809357,0.0003,-21.7097110748291,148,57,249.41888634000003,105,51.31,6091
6311,-145.82687377929688,70.84938049316406,0.17955711483955383,0.0003,-19.926450729370117,152,57,261.2985894599999,111,53.81,6412
6573,-157.29351806640625,65.99977111816406,0.16818806529045105,0.0003,-22.177223205566406,156,57,270.69721205999997,115,55.73,6674
6820,-157.068603515625,184.71615600585938,0.15833142399787903,0.0003,-19.102903366088867,160,57,279.7124897,120,57.51,6921
